1722726000 , SENSOR 2
1726879500 , window_factor 3.81
1727642000 , sensitivity high
2771173700 , target (50000) , 50781.25
2771173700 , threshold (30000) , 31250.00
2777445500 , 
3303088900 , Sensor, Temp , F_sens , F_ref, Rech_Count
3305131000 , 2 , 107 , 47565 , 42583 , 0
3827833600 , 2 , 107 , 47573 , 42583 , 0
4344915100 , 2 , 107 , 47573 , 42579 , 0
4869827200 , 2 , 107 , 47561 , 42575 , 0
5403837800 , 2 , 107 , 47565 , 42575 , 0
5929078600 , 2 , 107 , 47569 , 42583 , 0
6446665000 , 2 , 107 , 47576 , 42575 , 0
6977115300 , 2 , 107 , 47573 , 42575 , 0
7494013700 , 2 , 107 , 47569 , 42572 , 0
8024719100 , 2 , 107 , 47565 , 42579 , 0
8558214900 , 2 , 107 , 47569 , 42575 , 0
9083208600 , 2 , 107 , 47573 , 42579 , 0
9600935600 , 2 , 107 , 47573 , 42575 , 0
10134273500 , 2 , 107 , 47580 , 42579 , 0
10658248500 , 2 , 107 , 47565 , 42579 , 0
11184023400 , 2 , 107 , 47569 , 42579 , 0
11701649700 , 2 , 107 , 47557 , 42568 , 0
12236955400 , 2 , 107 , 47554 , 42568 , 0
12760959800 , 2 , 107 , 47561 , 42572 , 0
13278405900 , 2 , 107 , 47565 , 42575 , 0
13811634800 , 2 , 107 , 47569 , 42564 , 0
14336094000 , 2 , 107 , 47565 , 42575 , 0
14861110800 , 2 , 107 , 47573 , 42575 , 0
15390321400 , 2 , 107 , 47561 , 42572 , 0
15911064000 , 2 , 107 , 47565 , 42579 , 0
16436461800 , 2 , 107 , 47565 , 42575 , 0
16961705700 , 2 , 107 , 47573 , 42572 , 0
17486092200 , 2 , 107 , 47569 , 42575 , 0
18010960000 , 2 , 107 , 47561 , 42572 , 0
18543982100 , 2 , 107 , 47557 , 42575 , 0
19061860900 , 2 , 107 , 47573 , 42579 , 0
19587635000 , 2 , 107 , 47569 , 42583 , 0
20112840600 , 2 , 107 , 47557 , 42572 , 0
20643210100 , 2 , 107 , 47561 , 42572 , 0
21169752400 , 2 , 107 , 47550 , 42572 , 0
21697689900 , 2 , 107 , 47557 , 42575 , 0
22221719200 , 2 , 107 , 47565 , 42579 , 0
22732823700 , 2 , 107 , 47576 , 42583 , 0
23271621400 , 2 , 107 , 47576 , 42575 , 0
23795689500 , 2 , 107 , 47569 , 42575 , 0
24324281500 , 2 , 107 , 47573 , 42572 , 0
24848879300 , 2 , 107 , 47561 , 42579 , 0
25372480200 , 2 , 107 , 47561 , 42575 , 0
25900226300 , 2 , 107 , 47565 , 42575 , 0
26424204500 , 2 , 107 , 47565 , 42572 , 0
26939409100 , 2 , 107 , 47565 , 42568 , 0
27470637400 , 2 , 107 , 47557 , 42572 , 0
28002949200 , 2 , 107 , 47557 , 42572 , 0
28529274900 , 2 , 107 , 47561 , 42568 , 0
29042024300 , 2 , 107 , 47554 , 42564 , 0
29574516100 , 2 , 107 , 47557 , 42560 , 0
30106347500 , 2 , 107 , 47557 , 42564 , 0
30622881600 , 2 , 107 , 47561 , 42568 , 0
