1701544000 , SENSOR 2
1702526400 , window_factor 3.81
1703512200 , sensitivity high
2749740000 , target (50000) , 50781.25
2753604600 , threshold (30000) , 31250.00
2753604600 , 
3278323900 , Sensor, Temp , F_sens , F_ref, Rech_Count
3278916900 , 2 , 107 , 47550 , 42491 , 0
3802521100 , 2 , 107 , 47557 , 42488 , 0
4326118900 , 2 , 107 , 47550 , 42488 , 0
4850758300 , 2 , 107 , 47531 , 42484 , 0
5375354300 , 2 , 107 , 47527 , 42484 , 0
5903991100 , 2 , 107 , 47527 , 42484 , 0
6427593300 , 2 , 107 , 47515 , 42480 , 0
6952217400 , 2 , 107 , 47519 , 42480 , 0
7475790000 , 2 , 107 , 47515 , 42472 , 0
8004629500 , 2 , 107 , 47508 , 42472 , 0
8528259200 , 2 , 107 , 47512 , 42472 , 0
9052855600 , 2 , 107 , 47515 , 42469 , 0
9577424300 , 2 , 107 , 47515 , 42472 , 0
10105051100 , 2 , 107 , 47519 , 42469 , 0
10630674200 , 2 , 107 , 47512 , 42476 , 0
11154278600 , 2 , 107 , 47515 , 42476 , 0
11678436600 , 2 , 107 , 47519 , 42469 , 0
12203067700 , 2 , 107 , 47512 , 42472 , 0
12730980300 , 2 , 107 , 47508 , 42472 , 0
13254744500 , 2 , 107 , 47512 , 42469 , 0
13779477300 , 2 , 107 , 47504 , 42461 , 0
14304112000 , 2 , 107 , 47512 , 42465 , 0
14831555400 , 2 , 107 , 47515 , 42465 , 0
15355994400 , 2 , 107 , 47515 , 42472 , 0
15880804600 , 2 , 107 , 47515 , 42472 , 0
16405855700 , 2 , 107 , 47512 , 42469 , 0
16929453100 , 2 , 107 , 47508 , 42476 , 0
17457384600 , 2 , 107 , 47512 , 42465 , 0
17981986000 , 2 , 107 , 47508 , 42469 , 0
18505612500 , 2 , 107 , 47496 , 42461 , 0
19030181800 , 2 , 107 , 47500 , 42461 , 0
19558685100 , 2 , 107 , 47508 , 42461 , 0
20082786800 , 2 , 107 , 47508 , 42461 , 0
20607424300 , 2 , 107 , 47496 , 42457 , 0
21130985900 , 2 , 107 , 47500 , 42465 , 0
21655889300 , 2 , 107 , 47500 , 42461 , 0
22184056000 , 2 , 107 , 47500 , 42465 , 0
22708793500 , 2 , 107 , 47489 , 42457 , 0
23232392600 , 2 , 107 , 47489 , 42461 , 0
23756957000 , 2 , 107 , 47489 , 42453 , 0
24281580800 , 2 , 107 , 47496 , 42453 , 0
24809416000 , 2 , 107 , 47492 , 42453 , 0
25333978500 , 2 , 107 , 47492 , 42457 , 0
25858576700 , 2 , 107 , 47485 , 42457 , 0
26381915600 , 2 , 107 , 47473 , 42446 , 0
26910533500 , 2 , 107 , 47473 , 42446 , 0
27435132600 , 2 , 107 , 47485 , 42453 , 0
27958768000 , 2 , 107 , 47485 , 42457 , 0
28483362300 , 2 , 107 , 47485 , 42461 , 0
29007931800 , 2 , 107 , 47485 , 42461 , 0
29535618800 , 2 , 107 , 47485 , 42453 , 0
30060219700 , 2 , 107 , 47477 , 42449 , 0
30584815800 , 2 , 107 , 47481 , 42453 , 0
31108415500 , 2 , 107 , 47481 , 42449 , 0
31637229700 , 2 , 107 , 47473 , 42449 , 0
32161573600 , 2 , 107 , 47470 , 42446 , 0
32685200400 , 2 , 107 , 47470 , 42446 , 0
33209768500 , 2 , 107 , 47466 , 42446 , 0
33734412700 , 2 , 107 , 47473 , 42446 , 0
34262375500 , 2 , 107 , 47485 , 42449 , 0
34786977800 , 2 , 107 , 47492 , 42449 , 0
35311574200 , 2 , 107 , 47477 , 42442 , 0
35835200700 , 2 , 107 , 47466 , 42438 , 0
36363421900 , 2 , 107 , 47470 , 42438 , 0
36888046300 , 2 , 107 , 47470 , 42438 , 0
37412858800 , 2 , 107 , 47473 , 42442 , 0
37936455700 , 2 , 107 , 47466 , 42434 , 0
38464875500 , 2 , 107 , 47470 , 42434 , 0
38988520600 , 2 , 107 , 47470 , 42438 , 0
39514056400 , 2 , 107 , 47473 , 42434 , 0
