1601745200 , SENSOR 2
1602709200 , window_factor 3.81
1603705800 , sensitivity high
1047286100 , target (50000) , 50781.25
1048284100 , threshold (30000) , 31250.00
1049299500 , 
1051317200 , Sensor, Temp , F_sens , F_ref, Rech_Count
1053303300 , 2 , 107 , 47508 , 42461 , 0
997299000 , 2 , 107 , 47504 , 42453 , 0
1003327600 , 2 , 107 , 47492 , 42449 , 0
1003413200 , 2 , 107 , 47500 , 42449 , 0
999364100 , 2 , 107 , 47485 , 42449 , 0
1003383600 , 2 , 107 , 47504 , 42453 , 0
999331200 , 2 , 107 , 47496 , 42453 , 0
1003371600 , 2 , 107 , 47489 , 42453 , 0
998364900 , 2 , 107 , 47496 , 42457 , 0
1002878500 , 2 , 107 , 47496 , 42453 , 0
999327100 , 2 , 107 , 47496 , 42453 , 0
1003348700 , 2 , 107 , 47500 , 42461 , 0
998365800 , 2 , 107 , 47504 , 42457 , 0
1002354700 , 2 , 107 , 47500 , 42457 , 0
998331300 , 2 , 107 , 47489 , 42453 , 0
1002346500 , 2 , 107 , 47504 , 42457 , 0
1002942000 , 2 , 107 , 47492 , 42446 , 0
