02:27:37 , unknown command: 4
02:27:40 , SENSOR 1 NOT CONNECTED
02:27:42 , Sensor, Temp , F_sens , F_ref, Rech_Count
02:27:42 , 2 , 108 , 653827 , 29045 , 0
02:27:44 , 2 , 108 , 653827 , 29045 , 0
02:27:46 , RESET: SENSOR 2
02:27:46 , window_factor 3.81
02:27:46 , sensitivity high
02:27:46 , 
02:27:51 , Sensor, Temp , F_sens , F_ref, Rech_Count
02:27:51 , 2 , 108 , 47370 , 42434 , 0
02:27:52 , 2 , 108 , 47370 , 42427 , 0
02:27:52 , 2 , 108 , 47363 , 42423 , 0
02:27:53 , 2 , 108 , 47355 , 42419 , 0
