2632263900 , ---------------------
2632829200 , SENSOR 2
2633832100 , window_factor 7.63
2634827300 , sensitivity: low
521698800 , target (180000) , 179687.50
522690200 , threshold (140000) , 132812.50
523686600 , 
272328400 , SENSOR 1
276318600 , window_factor 7.63
277316500 , sensitivity: low
523671300 , target (180000) , 179687.50
524686900 , threshold (140000) , 132812.50
525669700 , 
276717500 , Sensor, Temp , F_sens , F_ref, Rech_Count
277717600 , 1 , 81 , 170173 , 168617 , 0
278714300 , 2 , 85 , 171340 , 168952 , 0
229691800 , 2 , 85 , 171417 , 168945 , 0
11998300 , 1 , 81 , 170204 , 168632 , 0
248648000 , 2 , 85 , 171333 , 168945 , 0
10965900 , 1 , 81 , 170204 , 168624 , 0
249705900 , 2 , 85 , 171318 , 168945 , 0
15759200 , 1 , 81 , 170219 , 168632 , 0
245908800 , 2 , 85 , 171318 , 168952 , 0
16000200 , 1 , 81 , 170211 , 168647 , 0
245373100 , 2 , 85 , 171318 , 168952 , 0
16365300 , 1 , 81 , 170227 , 168647 , 0
245347100 , 2 , 85 , 171325 , 168952 , 0
16164500 , 1 , 81 , 170211 , 168640 , 0
245376900 , 2 , 85 , 171340 , 168960 , 0
14995400 , 1 , 81 , 170204 , 168640 , 0
249344500 , 2 , 85 , 171356 , 168952 , 0
11009500 , 1 , 81 , 170196 , 168632 , 0
248433400 , 2 , 85 , 171302 , 168945 , 0
12981800 , 1 , 81 , 170219 , 168640 , 0
248931200 , 2 , 85 , 171348 , 168952 , 0
10997400 , 1 , 81 , 170219 , 168647 , 0
249172900 , 2 , 85 , 171348 , 168952 , 0
10969200 , 1 , 81 , 170219 , 168647 , 0
249349200 , 2 , 85 , 171440 , 168952 , 0
16943900 , 1 , 81 , 170211 , 168647 , 0
244358500 , 2 , 85 , 171333 , 168960 , 0
16018600 , 1 , 81 , 170211 , 168640 , 0
245850800 , 2 , 85 , 171348 , 168960 , 0
16110500 , 1 , 81 , 170211 , 168640 , 0
244411200 , 2 , 85 , 171348 , 168952 , 0
16034100 , 1 , 81 , 170188 , 168632 , 0
248540500 , 2 , 85 , 171348 , 168945 , 0
