1639536685221.6294 , ---------------------
1639536685222.63 , SENSOR 2
1639536685223.636 , window_factor 7.63
1639536685224.6274 , sensitivity: low
1639536685745.2578 , target (180000) , 179687.50
1639536685749.2556 , threshold (140000) , 132812.50
1639536685750.4204 , 
1639536686023.693 , SENSOR 1
1639536686024.6895 , window_factor 7.63
1639536686025.6875 , sensitivity: low
1639536686548.6023 , target (180000) , 179687.50
1639536686549.598 , threshold (140000) , 132812.50
1639536686551.6208 , 
1639536686827.396 , Sensor, Temp , F_sens , F_ref, Rech_Count
1639536686830.388 , 1 , 82 , 170013 , 168449 , 0
1639536686832.3818 , 2 , 85 , 171325 , 168922 , 0
1639536687059.823 , 2 , 85 , 171394 , 168914 , 0
1639536687077.0847 , 1 , 82 , 170013 , 168449 , 0
1639536687322.433 , 2 , 85 , 171401 , 168930 , 0
1639536687338.3894 , 1 , 82 , 170021 , 168457 , 0
1639536687584.7637 , 2 , 85 , 171310 , 168914 , 0
1639536687600.7222 , 1 , 82 , 170028 , 168457 , 0
1639536687850.6875 , 2 , 85 , 171302 , 168922 , 0
1639536687862.693 , 1 , 82 , 170051 , 168457 , 0
1639536688113.2617 , 2 , 85 , 171302 , 168914 , 0
1639536688125.2278 , 1 , 82 , 170021 , 168449 , 0
1639536688375.1558 , 2 , 85 , 171287 , 168907 , 0
1639536688387.1267 , 1 , 82 , 170043 , 168441 , 0
1639536688637.09 , 2 , 85 , 171287 , 168914 , 0
1639536688649.0955 , 1 , 82 , 170036 , 168457 , 0
1639536688899.0396 , 2 , 85 , 171318 , 168922 , 0
1639536688915.3242 , 1 , 82 , 170028 , 168464 , 0
1639536689161.6663 , 2 , 85 , 171409 , 168922 , 0
1639536689177.7136 , 1 , 82 , 170043 , 168464 , 0
1639536689423.9014 , 2 , 85 , 171272 , 168922 , 0
1639536689439.8652 , 1 , 82 , 170028 , 168464 , 0
1639536689686.1716 , 2 , 85 , 171302 , 168922 , 0
1639536689702.13 , 1 , 82 , 170036 , 168464 , 0
1639536689948.1003 , 2 , 85 , 171318 , 168922 , 0
1639536689964.0857 , 1 , 82 , 170051 , 168457 , 0
1639536690213.9714 , 2 , 85 , 171287 , 168922 , 0
1639536690225.9417 , 1 , 82 , 170036 , 168464 , 0
1639536690476.037 , 2 , 85 , 171295 , 168922 , 0
1639536690489.0242 , 1 , 82 , 170021 , 168457 , 0
1639536690738.6687 , 2 , 85 , 171318 , 168922 , 0
1639536690750.635 , 1 , 82 , 170051 , 168457 , 0
1639536691000.4966 , 2 , 85 , 171272 , 168922 , 0
1639536691016.8184 , 1 , 82 , 170051 , 168457 , 0
1639536691262.196 , 2 , 85 , 171340 , 168914 , 0
1639536691279.153 , 1 , 82 , 170051 , 168457 , 0
1639536691524.0652 , 2 , 85 , 171264 , 168914 , 0
1639536691541.2764 , 1 , 82 , 170043 , 168457 , 0
1639536691786.886 , 2 , 85 , 171310 , 168907 , 0
1639536691803.1162 , 1 , 82 , 169998 , 168441 , 0
1639536692048.4856 , 2 , 85 , 171295 , 168907 , 0
1639536692065.474 , 1 , 82 , 170021 , 168449 , 0
1639536692314.5571 , 2 , 85 , 171348 , 168914 , 0
1639536692327.5322 , 1 , 82 , 170021 , 168449 , 0
1639536692577.0942 , 2 , 85 , 171310 , 168907 , 0
1639536692590.0918 , 1 , 82 , 170043 , 168449 , 0
1639536692839.5303 , 2 , 85 , 171287 , 168914 , 0
1639536692851.5002 , 1 , 82 , 170021 , 168457 , 0
1639536693101.298 , 2 , 85 , 171272 , 168914 , 0
1639536693117.937 , 1 , 82 , 170028 , 168457 , 0
1639536693363.4946 , 2 , 85 , 171310 , 168914 , 0
1639536693380.095 , 1 , 82 , 170028 , 168464 , 0
1639536693626.052 , 2 , 85 , 171302 , 168914 , 0
1639536693642.2932 , 1 , 82 , 170021 , 168457 , 0
1639536693887.6616 , 2 , 85 , 171279 , 168914 , 0
1639536693904.4639 , 1 , 82 , 170051 , 168464 , 0
1639536694149.8682 , 2 , 85 , 171409 , 168914 , 0
1639536694166.7473 , 1 , 82 , 170021 , 168449 , 0
1639536694411.7747 , 2 , 85 , 171310 , 168914 , 0
1639536694428.7554 , 1 , 82 , 170043 , 168464 , 0
1639536694678.7444 , 2 , 85 , 171257 , 168914 , 0
1639536694691.0757 , 1 , 82 , 170043 , 168457 , 0
1639536694940.602 , 2 , 85 , 171295 , 168914 , 0
1639536694953.5762 , 1 , 82 , 170005 , 168449 , 0
1639536695202.7344 , 2 , 85 , 171310 , 168907 , 0
1639536695217.8843 , 1 , 82 , 170021 , 168449 , 0
1639536695465.0022 , 2 , 85 , 171287 , 168914 , 0
1639536695481.2312 , 1 , 82 , 169998 , 168457 , 0
1639536695727.1995 , 2 , 85 , 171272 , 168914 , 0
1639536695743.285 , 1 , 82 , 170043 , 168457 , 0
1639536695989.3535 , 2 , 85 , 171287 , 168914 , 0
1639536696005.8018 , 1 , 82 , 170051 , 168464 , 0
1639536696250.7263 , 2 , 85 , 171279 , 168907 , 0
1639536696267.68 , 1 , 82 , 170135 , 168457 , 0
1639536696513.5884 , 2 , 85 , 171287 , 168914 , 0
1639536696529.5203 , 1 , 82 , 170021 , 168464 , 0
1639536696779.447 , 2 , 85 , 171287 , 168922 , 0
1639536696791.4153 , 1 , 82 , 169998 , 168464 , 0
1639536697042.0762 , 2 , 85 , 171279 , 168914 , 0
1639536697054.0752 , 1 , 82 , 170028 , 168464 , 0
