2630601700 , ---------------------
2631597300 , SENSOR 2
2632595400 , window_factor 7.63
2632595400 , sensitivity: HIGH
521605200 , target (90000) , 85937.50
522796100 , threshold (50000) , 46875.00
523797500 , 
523797500 , SENSOR 1
524794600 , window_factor 7.63
525791900 , sensitivity: HIGH
524582100 , target (90000) , 85937.50
525402900 , threshold (50000) , 46875.00
526398300 , 
528428100 , Sensor, Temp , F_sens , F_ref, Rech_Count
529389600 , 1 , 87 , 71899 , 72181 , 0
530389000 , 2 , 86 , 73806 , 69244 , 0
256160000 , 2 , 86 , 73791 , 69229 , 0
257161200 , 1 , 87 , 190 , 72181 , 10000000
260051400 , 2 , 86 , 73822 , 69252 , 0
262277300 , 2 , 86 , 73791 , 69244 , 0
260819000 , 2 , 86 , 73783 , 69236 , 0
260949900 , 2 , 86 , 73776 , 69213 , 0
261363200 , 2 , 86 , 73776 , 69229 , 0
266346200 , 2 , 86 , 73791 , 69236 , 0
262068500 , 2 , 86 , 73783 , 69236 , 0
260522100 , 2 , 86 , 73760 , 69221 , 0
261809100 , 2 , 86 , 73745 , 69236 , 0
262325100 , 2 , 86 , 73791 , 69244 , 0
261307200 , 2 , 86 , 73753 , 69236 , 0
265748800 , 2 , 86 , 73753 , 69236 , 0
261794500 , 2 , 86 , 73783 , 69236 , 0
261296900 , 2 , 86 , 73760 , 69229 , 0
261333400 , 2 , 86 , 73776 , 69229 , 0
261390400 , 2 , 86 , 73783 , 69267 , 0
261601500 , 2 , 86 , 73768 , 69259 , 0
265790500 , 2 , 86 , 73760 , 69221 , 0
262368700 , 2 , 86 , 73745 , 69244 , 0
261304900 , 2 , 86 , 73760 , 69221 , 0
261824900 , 2 , 86 , 73738 , 69221 , 0
261903000 , 2 , 86 , 73760 , 69236 , 0
261286900 , 2 , 86 , 73791 , 69236 , 0
265256800 , 2 , 86 , 73730 , 69236 , 0
261511100 , 2 , 86 , 73730 , 69213 , 0
261313400 , 2 , 86 , 73760 , 69229 , 0
261302000 , 2 , 86 , 73776 , 69229 , 0
262033900 , 2 , 86 , 73760 , 69206 , 0
261424900 , 2 , 86 , 73760 , 69221 , 0
265343700 , 2 , 86 , 73753 , 69229 , 0
261301600 , 2 , 86 , 73799 , 69213 , 0
261415200 , 2 , 86 , 73776 , 69221 , 0
262573700 , 2 , 86 , 73783 , 69236 , 0
261324300 , 2 , 86 , 73814 , 69244 , 0
266456300 , 2 , 86 , 73799 , 69229 , 0
261816800 , 2 , 86 , 73783 , 69236 , 0
261828000 , 2 , 86 , 73791 , 69206 , 0
260840200 , 2 , 86 , 73776 , 69244 , 0
261030700 , 2 , 86 , 73730 , 69236 , 0
261841800 , 2 , 86 , 73776 , 69236 , 0
