630547400 , ---------------------
631549100 , SENSOR 2
632546200 , window_factor 7.63
633546500 , sensitivity: high
521601800 , target (90000) , 85937.50
522598800 , threshold (50000) , 46875.00
522598800 , 
523603100 , SENSOR 1
524593500 , window_factor 7.63
525599300 , sensitivity: high
524092100 , target (90000) , 85937.50
525898600 , threshold (50000) , 46875.00
525898600 , 
527846400 , Sensor, Temp , F_sens , F_ref, Rech_Count
528870800 , 1 , 82 , 72509 , 74905 , 0
530848000 , 2 , 83 , 0 , 79689 , 10000000
254310600 , 1 , 82 , 72563 , 74920 , 0
261324500 , 1 , 82 , 72502 , 74913 , 0
261326700 , 1 , 82 , 72486 , 74913 , 0
265308400 , 1 , 82 , 72517 , 74928 , 0
262387400 , 1 , 82 , 72532 , 74920 , 0
261148800 , 1 , 82 , 72486 , 74897 , 0
261326800 , 1 , 82 , 72494 , 74882 , 0
261301300 , 1 , 82 , 72456 , 74890 , 0
261301000 , 1 , 82 , 72471 , 74897 , 0
265568200 , 1 , 82 , 72471 , 74913 , 0
262241900 , 1 , 82 , 72502 , 74905 , 0
261105400 , 1 , 82 , 72509 , 74913 , 0
261304700 , 1 , 82 , 72502 , 74890 , 0
262298800 , 1 , 82 , 72448 , 74890 , 0
262325400 , 1 , 82 , 72502 , 74897 , 0
265808100 , 1 , 82 , 72486 , 74890 , 0
262234500 , 1 , 82 , 72479 , 74890 , 0
261177000 , 1 , 82 , 72502 , 74905 , 0
261309700 , 1 , 82 , 72517 , 74913 , 0
261274500 , 1 , 82 , 72448 , 74897 , 0
261331700 , 1 , 82 , 72471 , 74874 , 0
265547500 , 1 , 82 , 72471 , 74897 , 0
262103200 , 1 , 82 , 72479 , 74882 , 0
262150500 , 1 , 82 , 72479 , 74882 , 0
261305600 , 1 , 82 , 72494 , 74867 , 0
260938300 , 1 , 82 , 72463 , 74890 , 0
261250500 , 1 , 82 , 72517 , 74882 , 0
265612800 , 1 , 82 , 72486 , 74897 , 0
262303400 , 1 , 82 , 72517 , 74905 , 0
262423900 , 1 , 82 , 72509 , 74905 , 0
260319000 , 1 , 82 , 72456 , 74897 , 0
261296500 , 1 , 82 , 72471 , 74890 , 0
261346900 , 1 , 82 , 72471 , 74905 , 0
264499700 , 1 , 82 , 72502 , 74897 , 0
262065800 , 1 , 82 , 72479 , 74897 , 0
261403500 , 1 , 82 , 72425 , 74897 , 0
261330500 , 1 , 82 , 72486 , 74890 , 0
261351900 , 1 , 82 , 72448 , 74913 , 0
262270600 , 1 , 82 , 72441 , 74897 , 0
265993300 , 1 , 82 , 72479 , 74905 , 0
262233400 , 1 , 82 , 72494 , 74905 , 0
261326100 , 1 , 82 , 72486 , 74905 , 0
261307100 , 1 , 82 , 72456 , 74890 , 0
261336200 , 1 , 82 , 72456 , 74890 , 0
261334300 , 1 , 82 , 72463 , 74905 , 0
265291000 , 1 , 82 , 72486 , 74874 , 0
262223500 , 1 , 82 , 72471 , 74874 , 0
261256600 , 1 , 82 , 72441 , 74867 , 0
262333800 , 1 , 82 , 72441 , 74882 , 0
261293100 , 1 , 82 , 72456 , 74874 , 0
261305000 , 1 , 82 , 72448 , 74867 , 0
265595200 , 1 , 82 , 72456 , 74905 , 0
262210700 , 1 , 82 , 72456 , 74882 , 0
261253500 , 1 , 82 , 72456 , 74920 , 0
261327100 , 1 , 82 , 72471 , 74897 , 0
261306900 , 1 , 82 , 72448 , 74897 , 0
261319200 , 1 , 82 , 72448 , 74905 , 0
265444400 , 1 , 82 , 72456 , 74890 , 0
262138700 , 1 , 82 , 72456 , 74890 , 0
261332100 , 1 , 82 , 72456 , 74890 , 0
261333600 , 1 , 82 , 72486 , 74897 , 0
261302200 , 1 , 82 , 72471 , 74897 , 0
261303200 , 1 , 82 , 72441 , 74882 , 0
265321300 , 1 , 82 , 72479 , 74897 , 0
262447700 , 1 , 82 , 72471 , 74890 , 0
261300200 , 1 , 82 , 72463 , 74897 , 0
261327100 , 1 , 82 , 72486 , 74874 , 0
262263600 , 1 , 82 , 72433 , 74882 , 0
261327300 , 1 , 82 , 72425 , 74874 , 0
265432300 , 1 , 82 , 72456 , 74882 , 0
261167000 , 1 , 82 , 72471 , 74897 , 0
