05:20:07 , 
05:20:08 , 
05:20:08 , 
05:20:09 , -SENSOR 2
05:20:09 , -window_factor 3.81
05:20:10 , -sensitivity high
05:20:11 , -target (50000) , 50781.25
05:20:11 , -threshold (30000) , 31250.00
05:20:12 , 
05:20:12 , Sensor, Temp , F_sens , F_ref, Rech_Count
05:20:13 , 2 , 105 , 47908 , 42713 , 0
05:20:13 , 2 , 105 , 47908 , 42720 , 0
05:20:14 , 2 , 105 , 47904 , 42716 , 0
05:20:14 , 2 , 105 , 47897 , 42713 , 0
05:20:15 , 2 , 105 , 47901 , 42716 , 0
05:20:15 , 2 , 105 , 47901 , 42713 , 0
05:20:16 , 
05:20:16 , 2 , 105 , 47897 , 42713 , 0
05:20:17 , 2 , 105 , 47908 , 42716 , 0
05:20:17 , 
05:20:18 , 2 , 105 , 47908 , 42724 , 0
05:20:19 , 
05:20:19 , 2 , 105 , 47897 , 42720 , 0
05:20:20 , 
05:20:20 , 2 , 105 , 47904 , 42720 , 0
05:20:21 , 2 , 105 , 47893 , 42713 , 0
05:20:21 , 
05:20:22 , 2 , 106 , 47882 , 42713 , 0
05:20:23 , 
05:20:23 , 2 , 106 , 47863 , 42686 , 0
05:20:24 , 
05:20:24 , 2 , 108 , 47691 , 42667 , 0
05:20:25 , 2 , 110 , 47157 , 42339 , 0
05:20:25 , 
05:20:26 , 2 , 109 , 47107 , 42221 , 0
05:20:27 , 
05:20:27 , 2 , 109 , 47168 , 42266 , 0
05:20:28 , 
05:20:28 , 2 , 109 , 47229 , 42297 , 0
05:20:29 , 2 , 109 , 47260 , 42327 , 0
05:20:29 , 
05:20:30 , 2 , 108 , 47267 , 42346 , 0
05:20:31 , 
05:20:31 , 2 , 108 , 47294 , 42354 , 0
05:20:32 , 
05:20:32 , 2 , 108 , 47306 , 42362 , 0
05:20:33 , 2 , 108 , 47340 , 42388 , 0
05:20:33 , 
05:20:34 , 2 , 108 , 47359 , 42392 , 0
05:20:35 , 
05:20:35 , 2 , 108 , 47374 , 42396 , 0
05:20:36 , 
05:20:36 , 2 , 108 , 47389 , 42411 , 0
05:20:37 , 2 , 108 , 47401 , 42419 , 0
05:20:37 , 
05:20:38 , 2 , 108 , 47416 , 42427 , 0
05:20:39 , 
05:20:39 , 2 , 108 , 47420 , 42430 , 0
