997.5 , 2 , 121650 , 75073 , 0
2541.5 , 2 , 84 , 131744 , 70335 , 0
3539.5 , 1 , 82 , 121566 , 75065 , 0
3539.5 ,  75073 , 0
5534.4 , 2 , 84 , 131782 , 70327 , 0
6533.5 , 1 , 82 , 121650 , 75073 , 0
8528.4 , 2 , 84 , 131744 , 70335 , 0
9523.5 , 1 , 82 , 121566 , 75065 , 0
9523.5 ,  75073 , 0
11518.4 , 2 , 84 , 131782 , 70327 , 0
12515.6 , 1 , 82 , 121650 , 75073 , 0
13514.1 , 2 , 84 , 131744 , 70335 , 0
14509.5 , 1 , 82 , 121566 , 75065 , 0
2621271.6 , ---------------------
2621271.6 , SENSOR 2
2633699.4 , window_factor 7.63
2634697.7 , sensitivity: high
3153862.8 , target (90000) , 85937.50
3158551.4 , threshold (50000) , 46875.00
3158551.4 , 
3426271.5 , SENSOR 1
3426271.5 , window_factor 7.63
3432813.3 , sensitivity: high
3951571.0 , target (90000) , 85937.50
3959629.2 , threshold (50000) , 46875.00
3959629.2 , 
4228564.5 , Sensor, Temp , F_sens , F_ref, Rech_Count
4239617.0 , 1 , 82 , 121444 , 75088 , 0
4239617.0 , 2 , 84 , 131790 , 70350 , 0
4241188.7 , Read all registers sensor 7
4244076.2 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4246160.3 , 82,0,0,114,38,0,46,62,0,11,6,205,121,68,6,0,122,0,0,129,0,
4246160.3 , Read all registers sensor 8
4252177.3 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4254507.9 , 84,0,0,5,36,0,122,67,0,11,6,205,121,68,6,0,0,0,0,129,0,
4459540.9 , 2 , 84 , 131767 , 70327 , 0
4484313.0 , 1 , 82 , 121490 , 75065 , 0
4720028.8 , 2 , 84 , 131767 , 70327 , 0
4746410.9 , 1 , 82 , 121604 , 75080 , 0
4989151.6 , 2 , 84 , 131759 , 70327 , 0
5008524.5 , 1 , 82 , 121604 , 75042 , 0
5250202.2 , 2 , 84 , 131843 , 70327 , 0
5270141.6 , 1 , 82 , 121589 , 75073 , 0
5513840.4 , 2 , 84 , 131797 , 70327 , 0
5535622.7 , 1 , 82 , 121604 , 75080 , 0
5782248.8 , 2 , 84 , 131774 , 70343 , 0
5798442.2 , 1 , 82 , 121620 , 75080 , 0
6038049.0 , 2 , 84 , 131767 , 70343 , 0
6060663.4 , 1 , 82 , 121635 , 75080 , 0
6298349.3 , 2 , 84 , 131774 , 70320 , 0
6322655.4 , 1 , 82 , 121627 , 75073 , 0
6572913.1 , 2 , 84 , 131767 , 70312 , 0
6584902.8 , 1 , 82 , 121635 , 75073 , 0
6833136.4 , 2 , 84 , 131782 , 70327 , 0
6847486.2 , 1 , 82 , 121643 , 75057 , 0
7096818.4 , 2 , 84 , 131752 , 70327 , 0
7109784.2 , 1 , 82 , 121620 , 75057 , 0
7358478.0 , 2 , 84 , 131774 , 70327 , 0
7371012.9 , 1 , 82 , 121597 , 75042 , 0
7621095.3 , 2 , 84 , 131851 , 70327 , 0
7637052.3 , 1 , 82 , 121620 , 75057 , 0
7875530.0 , 2 , 84 , 131752 , 70320 , 0
7899890.0 , 1 , 82 , 121604 , 75073 , 0
8140355.3 , 2 , 84 , 131759 , 70320 , 0
8162356.3 , 1 , 82 , 121604 , 75088 , 0
8411352.0 , 2 , 84 , 131782 , 70289 , 0
8424306.5 , 1 , 82 , 121665 , 75103 , 0
8673635.3 , 2 , 84 , 131752 , 70289 , 0
8686606.5 , 1 , 82 , 121635 , 75088 , 0
8935946.0 , 2 , 84 , 131767 , 70281 , 0
8947901.7 , 1 , 82 , 121658 , 75080 , 0
9198234.8 , 2 , 84 , 131782 , 70281 , 0
9210200.1 , 1 , 82 , 121665 , 75096 , 0
9460288.2 , 2 , 84 , 131774 , 70297 , 0
9473253.5 , 1 , 82 , 121574 , 75057 , 0
9720921.9 , 2 , 84 , 131774 , 70304 , 0
9738277.1 , 1 , 82 , 121627 , 75073 , 0
9984146.6 , 2 , 84 , 131759 , 70274 , 0
10000628.6 , 1 , 82 , 121597 , 75088 , 0
10239873.7 , 2 , 84 , 131774 , 70274 , 0
10262565.4 , 1 , 82 , 121566 , 75073 , 0
10507857.9 , 2 , 84 , 131805 , 70259 , 0
10525584.5 , 1 , 82 , 121589 , 75073 , 0
10771764.5 , 2 , 84 , 131744 , 70274 , 0
10788106.6 , 1 , 82 , 121597 , 75080 , 0
11028777.2 , 2 , 84 , 131774 , 70289 , 0
11049668.2 , 1 , 82 , 121574 , 75096 , 0
11293722.9 , 2 , 84 , 131767 , 70312 , 0
11311880.0 , 1 , 82 , 121612 , 75057 , 0
11553359.9 , 2 , 84 , 131736 , 70281 , 0
11573618.2 , 1 , 82 , 121620 , 75088 , 0
11823483.4 , 2 , 84 , 131759 , 70304 , 0
11839469.1 , 1 , 82 , 121559 , 75073 , 0
12084593.3 , 2 , 84 , 131752 , 70312 , 0
12101766.8 , 1 , 82 , 121597 , 75057 , 0
12343062.6 , 2 , 84 , 131774 , 70327 , 0
12364586.0 , 1 , 82 , 121658 , 75080 , 0
