2626764.5 , ---------------------
2626764.5 , SENSOR 2
2629087.1 , window_factor 7.63
2631491.3 , sensitivity: high
3155570.1 , target (90000) , 85937.50
3157210.0 , threshold (50000) , 46875.00
3157210.0 , 
3417267.0 , SENSOR 1
3431170.4 , window_factor 7.63
3432168.2 , sensitivity: high
3943755.2 , target (90000) , 85937.50
3956355.0 , threshold (50000) , 46875.00
3956355.0 , 
4233028.9 , Sensor, Temp , F_sens , F_ref, Rech_Count
4234026.5 , 1 , 81 , 122276 , 75393 , 0
4237018.3 , 2 , 83 , 132446 , 70465 , 0
4238017.1 , Read all registers sensor 7
4242007.6 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4245000.4 , 81,0,0,154,38,0,155,62,0,11,6,205,121,68,6,0,122,0,0,129,0,
4245996.1 , Read all registers sensor 8
4249984.8 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4252976.9 , 83,0,0,20,36,0,208,67,0,11,6,205,121,68,6,0,0,0,0,129,0,
4466405.2 , 2 , 83 , 132431 , 70465 , 0
4482363.5 , 1 , 81 , 122558 , 75401 , 0
4728704.0 , 2 , 83 , 132469 , 70472 , 0
4744661.3 , 1 , 81 , 122459 , 75393 , 0
4993994.6 , 2 , 83 , 132453 , 70495 , 0
5006959.9 , 1 , 81 , 122459 , 75393 , 0
5257290.3 , 2 , 83 , 132522 , 70472 , 0
5269259.6 , 1 , 81 , 122421 , 75393 , 0
5518591.1 , 2 , 83 , 132431 , 70480 , 0
5531556.0 , 1 , 81 , 122467 , 75393 , 0
5780889.2 , 2 , 83 , 132453 , 70472 , 0
5793861.5 , 1 , 81 , 122467 , 75401 , 0
6043193.2 , 2 , 83 , 132431 , 70465 , 0
6055157.2 , 1 , 81 , 122467 , 75401 , 0
6305489.1 , 2 , 83 , 132423 , 70457 , 0
6321444.7 , 1 , 81 , 122459 , 75393 , 0
6567785.5 , 2 , 83 , 132438 , 70442 , 0
6583743.0 , 1 , 81 , 122451 , 75393 , 0
6830085.0 , 2 , 83 , 132469 , 70449 , 0
6846044.7 , 1 , 81 , 122467 , 75401 , 0
7092383.4 , 2 , 83 , 132423 , 70457 , 0
7108340.0 , 1 , 81 , 122489 , 75408 , 0
7357672.4 , 2 , 83 , 132461 , 70465 , 0
7369640.5 , 1 , 81 , 122482 , 75416 , 0
7619999.6 , 2 , 83 , 132469 , 70457 , 0
7632937.3 , 1 , 81 , 122497 , 75393 , 0
7882269.6 , 2 , 83 , 132431 , 70465 , 0
7894241.8 , 1 , 81 , 122459 , 75401 , 0
8144570.6 , 2 , 83 , 132453 , 70480 , 0
8156537.5 , 1 , 81 , 122428 , 75401 , 0
8405869.9 , 2 , 83 , 132438 , 70480 , 0
8418834.9 , 1 , 81 , 122474 , 75393 , 0
8669194.8 , 2 , 83 , 132537 , 70480 , 0
8685124.3 , 1 , 81 , 122474 , 75401 , 0
8931465.4 , 2 , 83 , 132446 , 70480 , 0
8947423.3 , 1 , 81 , 122467 , 75416 , 0
9192766.0 , 2 , 83 , 132438 , 70480 , 0
9208723.8 , 1 , 81 , 122474 , 75401 , 0
9458056.9 , 2 , 83 , 132392 , 70480 , 0
9471022.2 , 1 , 81 , 122467 , 75401 , 0
9720355.9 , 2 , 83 , 132453 , 70472 , 0
9733321.7 , 1 , 81 , 122444 , 75401 , 0
9983652.3 , 2 , 83 , 132453 , 70465 , 0
9995620.9 , 1 , 81 , 122444 , 75393 , 0
10244953.1 , 2 , 83 , 132514 , 70449 , 0
10257917.9 , 1 , 81 , 122436 , 75386 , 0
10507251.5 , 2 , 83 , 132408 , 70472 , 0
10520216.1 , 1 , 81 , 122467 , 75393 , 0
10769549.5 , 2 , 83 , 132423 , 70465 , 0
10785508.0 , 1 , 81 , 122467 , 75393 , 0
11031849.3 , 2 , 83 , 132438 , 70465 , 0
11047806.2 , 1 , 81 , 122451 , 75401 , 0
11294146.0 , 2 , 83 , 132423 , 70472 , 0
11310103.3 , 1 , 81 , 122467 , 75393 , 0
11556282.3 , 2 , 83 , 132453 , 70465 , 0
11572239.5 , 1 , 81 , 122467 , 75401 , 0
11843515.3 , 2 , 83 , 132446 , 70457 , 0
11845509.4 , 1 , 81 , 122482 , 75408 , 0
12083872.5 , 2 , 83 , 132438 , 70472 , 0
12096837.5 , 1 , 81 , 122474 , 75401 , 0
12346170.6 , 2 , 83 , 132446 , 70465 , 0
12359136.0 , 1 , 81 , 122497 , 75416 , 0
12608554.7 , 2 , 83 , 132453 , 70487 , 0
12620495.2 , 1 , 81 , 122474 , 75424 , 0
12870825.5 , 2 , 83 , 132431 , 70487 , 0
12886785.0 , 1 , 81 , 122497 , 75424 , 0
13133321.4 , 2 , 83 , 132423 , 70465 , 0
13149277.9 , 1 , 81 , 122489 , 75408 , 0
