2625985.9 , ---------------------
2626978.5 , SENSOR 2
2627973.2 , window_factor 7.63
2627973.2 , sensitivity: high
3150573.8 , target (90000) , 85937.50
3151571.1 , threshold (50000) , 46875.00
3152568.7 , 
3424841.5 , SENSOR 1
3425838.0 , window_factor 7.63
3427833.5 , sensitivity: high
3949438.3 , target (90000) , 85937.50
3953427.1 , threshold (50000) , 46875.00
3953427.1 , 
4231688.0 , Sensor, Temp , F_sens , F_ref, Rech_Count
4233677.9 , 1 , 80 , 120422 , 75454 , 0
4235673.3 , 2 , 82 , 130477 , 70533 , 0
4236671.0 , Read all registers sensor 7
4240660.0 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4243652.3 , 80,0,0,162,38,0,168,61,0,11,6,205,121,68,6,0,122,0,0,129,0,
4245649.6 , Read all registers sensor 8
4249636.7 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4253630.3 , 82,0,0,29,36,0,206,66,0,11,6,205,121,68,6,0,0,0,0,129,0,
4466058.7 , 2 , 82 , 130424 , 70533 , 0
4478025.1 , 1 , 80 , 120620 , 75454 , 0
4727357.6 , 2 , 82 , 130470 , 70549 , 0
4740322.9 , 1 , 80 , 120620 , 75431 , 0
4988658.1 , 2 , 82 , 130470 , 70526 , 0
5001623.9 , 1 , 80 , 120582 , 75416 , 0
5250957.0 , 2 , 82 , 130477 , 70533 , 0
5263925.7 , 1 , 80 , 120582 , 75416 , 0
5514255.4 , 2 , 82 , 130485 , 70549 , 0
5529214.9 , 1 , 80 , 120567 , 75416 , 0
5775553.6 , 2 , 82 , 130523 , 70533 , 0
5791512.6 , 1 , 80 , 120582 , 75431 , 0
6038851.6 , 2 , 82 , 130485 , 70541 , 0
6054809.6 , 1 , 80 , 120567 , 75424 , 0
6303144.3 , 2 , 82 , 130538 , 70541 , 0
6317107.8 , 1 , 80 , 120529 , 75416 , 0
