996.2 , 1 , 63934 , 70686 , 10100111
2990.7 , 2 , 83 , 108879 , 695686 , 10000011
3989.1 , 2 , 211 , 63941 , 70678 , 10100111
4987.1 , 695686 , 10000011
5983.0 , 2 , 211 , 63934 , 70686 , 10100111
6981.2 , 2 , 83 , 108879 , 695686 , 10000011
7978.1 , 2 , 211 , 63941 , 70678 , 10100111
2625979.2 , ---------------------
2625979.2 , SENSOR 2
2626973.8 , window_factor 7.63
2627971.2 , sensitivity: high
3150573.4 , target (90000) , 85937.50
3151570.6 , threshold (50000) , 46875.00
3151570.6 , 
3424843.1 , SENSOR 1
3425837.1 , window_factor 7.63
3426836.6 , sensitivity: high
3949436.6 , target (90000) , 85937.50
3952429.3 , threshold (50000) , 46875.00
3953426.8 , 
4228691.1 , Sensor, Temp , F_sens , F_ref, Rech_Count
4231682.1 , 1 , 80 , 256286 , 75431 , 0
4232679.0 , 2 , 82 , 63919 , 70701 , 0
4233679.0 , Read all registers sensor 7
4237666.3 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4240663.9 , 80,0,0,159,38,0,56,131,0,11,6,205,121,68,6,0,122,0,0,129,0,
4242653.2 , Read all registers sensor 8
4244648.3 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4247639.0 , 82,0,0,51,36,0,186,32,0,11,6,205,121,68,6,0,0,0,0,129,0,
4464062.3 , 2 , 82 , 63919 , 70693 , 0
4477025.4 , 1 , 80 , 257034 , 75439 , 0
4727356.1 , 2 , 82 , 63926 , 70693 , 0
4740322.1 , 1 , 80 , 256919 , 75439 , 0
4988659.6 , 2 , 82 , 63934 , 70693 , 0
5001623.6 , 1 , 80 , 256927 , 75431 , 0
5251955.0 , 2 , 82 , 63941 , 70709 , 0
5263921.9 , 1 , 80 , 256973 , 75424 , 0
5513254.1 , 2 , 82 , 63934 , 70701 , 0
5526220.5 , 1 , 80 , 256965 , 75439 , 0
5775555.8 , 2 , 82 , 63934 , 70701 , 0
5791535.4 , 1 , 80 , 256927 , 75431 , 0
6037854.1 , 2 , 82 , 63911 , 70709 , 0
6053810.9 , 1 , 80 , 256950 , 75424 , 0
6300150.2 , 2 , 82 , 63926 , 70701 , 0
6316107.5 , 1 , 80 , 256973 , 75424 , 0
6565442.1 , 2 , 82 , 63911 , 70701 , 0
6578406.5 , 1 , 80 , 256912 , 75416 , 0
6827743.3 , 2 , 82 , 63911 , 70732 , 0
6840706.1 , 1 , 80 , 256927 , 75401 , 0
7090038.5 , 2 , 82 , 63919 , 70724 , 0
7103005.6 , 1 , 80 , 256896 , 75393 , 0
7352336.0 , 2 , 82 , 63941 , 70732 , 0
7365302.3 , 1 , 80 , 256889 , 75408 , 0
7614636.3 , 2 , 82 , 63926 , 70716 , 0
7626606.5 , 1 , 80 , 256973 , 75431 , 0
7876934.2 , 2 , 82 , 63926 , 70716 , 0
7892895.6 , 1 , 80 , 256965 , 75424 , 0
8139232.9 , 2 , 82 , 63926 , 70716 , 0
8155189.8 , 1 , 80 , 256919 , 75416 , 0
8401530.7 , 2 , 82 , 63903 , 70716 , 0
8417487.7 , 1 , 80 , 256904 , 75431 , 0
8662835.8 , 2 , 82 , 63896 , 70716 , 0
8679790.8 , 1 , 80 , 256935 , 75416 , 0
8929122.4 , 2 , 82 , 63919 , 70739 , 0
8942089.6 , 1 , 80 , 256935 , 75439 , 0
9191419.5 , 2 , 82 , 63911 , 70747 , 0
9203388.4 , 1 , 80 , 256935 , 75431 , 0
9453718.0 , 2 , 82 , 63888 , 70732 , 0
9465685.7 , 1 , 80 , 256912 , 75431 , 0
9716015.9 , 2 , 82 , 63903 , 70747 , 0
9727985.7 , 1 , 80 , 256874 , 75424 , 0
9978316.6 , 2 , 82 , 63896 , 70747 , 0
9990281.6 , 1 , 80 , 256896 , 75431 , 0
10239616.2 , 2 , 82 , 63926 , 70732 , 0
10255572.0 , 1 , 80 , 256942 , 75431 , 0
10501916.1 , 2 , 82 , 63919 , 70739 , 0
10517874.2 , 1 , 80 , 256958 , 75447 , 0
10764213.3 , 2 , 82 , 63903 , 70732 , 0
10781170.5 , 1 , 80 , 256919 , 75431 , 0
11026512.2 , 2 , 82 , 63926 , 70732 , 0
11042469.6 , 1 , 80 , 256927 , 75431 , 0
11291803.3 , 2 , 82 , 63903 , 70739 , 0
11304767.2 , 1 , 80 , 256881 , 75439 , 0
11554100.6 , 2 , 82 , 63949 , 70724 , 0
11567070.1 , 1 , 80 , 256927 , 75447 , 0
11816404.6 , 2 , 82 , 63926 , 70724 , 0
11829366.8 , 1 , 80 , 256904 , 75439 , 0
12078701.9 , 2 , 82 , 63926 , 70739 , 0
12090665.0 , 1 , 80 , 256889 , 75439 , 0
12340997.8 , 2 , 82 , 63919 , 70747 , 0
12356956.3 , 1 , 80 , 256881 , 75424 , 0
12603295.4 , 2 , 82 , 63896 , 70747 , 0
12619255.1 , 1 , 80 , 256858 , 75416 , 0
12865597.1 , 2 , 82 , 63911 , 70739 , 0
12882552.5 , 1 , 80 , 256889 , 75416 , 0
13126895.6 , 2 , 82 , 63919 , 70747 , 0
13143850.3 , 1 , 80 , 256881 , 75416 , 0
13389194.2 , 2 , 82 , 63888 , 70747 , 0
13406149.4 , 1 , 80 , 256889 , 75431 , 0
13655481.6 , 2 , 82 , 63873 , 70739 , 0
13668448.5 , 1 , 80 , 256874 , 75408 , 0
13917779.9 , 2 , 82 , 63858 , 70747 , 0
13930746.3 , 1 , 80 , 256866 , 75416 , 0
14180079.0 , 2 , 82 , 63896 , 70747 , 0
14192047.4 , 1 , 80 , 256919 , 75439 , 0
14442376.9 , 2 , 82 , 63926 , 70739 , 0
14458335.0 , 1 , 80 , 256919 , 75424 , 0
14704676.1 , 2 , 82 , 63903 , 70747 , 0
14720633.4 , 1 , 80 , 256912 , 75424 , 0
14966977.4 , 2 , 82 , 63880 , 70747 , 0
14982935.4 , 1 , 80 , 256851 , 75431 , 0
15229272.8 , 2 , 82 , 63903 , 70739 , 0
15245229.0 , 1 , 80 , 256828 , 75431 , 0
15490573.8 , 2 , 82 , 63888 , 70732 , 0
15507528.8 , 1 , 80 , 256896 , 75431 , 0
15752875.0 , 2 , 82 , 63888 , 70716 , 0
15769828.6 , 1 , 80 , 256912 , 75431 , 0
16018168.0 , 2 , 82 , 63865 , 70701 , 0
16031129.7 , 1 , 80 , 256896 , 75424 , 0
16280461.7 , 2 , 82 , 63865 , 70716 , 0
