2626974.3 , ---------------------
2627970.9 , SENSOR 2
2628968.4 , window_factor 7.63
2629966.5 , sensitivity: high
3151571.1 , target (240000) , 234375.00
3154563.5 , threshold (10000) , 7812.50
3155559.2 , 
3424840.0 , SENSOR 1
3429827.0 , window_factor 7.63
3429827.0 , sensitivity: high
3954424.9 , target (240000) , 234375.00
3955421.1 , threshold (10000) , 7812.50
3955421.1 , 
4233677.0 , Sensor, Temp , F_sens , F_ref, Rech_Count
4234676.1 , 1 , 79 , 233436 , 75431 , 0
4235671.9 , 2 , 82 , 233764 , 70785 , 0
4236674.1 , Read all registers sensor 7
4240658.2 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4243650.1 , 79,0,0,159,38,0,133,119,0,30,1,205,121,68,6,0,122,0,0,129,0,
4244647.7 , Read all registers sensor 8
4248636.1 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4250633.0 , 82,0,0,62,36,0,176,119,0,30,1,205,121,68,6,0,0,0,0,129,0,
4466055.3 , 2 , 82 , 233871 , 70793 , 0
4478023.7 , 1 , 80 , 234092 , 75439 , 0
4728354.8 , 2 , 82 , 233772 , 70793 , 0
4744311.7 , 1 , 80 , 234069 , 75431 , 0
4990653.4 , 2 , 82 , 233757 , 70785 , 0
5006609.4 , 1 , 80 , 234062 , 75416 , 0
5252952.2 , 2 , 82 , 233772 , 70770 , 0
5268910.8 , 1 , 80 , 234039 , 75431 , 0
5518242.4 , 2 , 82 , 233734 , 70770 , 0
5531207.0 , 1 , 80 , 234046 , 75416 , 0
5780541.3 , 2 , 82 , 233726 , 70762 , 0
5792509.1 , 1 , 80 , 234016 , 75401 , 0
6054809.0 , 2 , 82 , 233734 , 70755 , 0
6057804.3 , 1 , 80 , 234039 , 75393 , 0
6305139.5 , 2 , 82 , 233879 , 70762 , 0
6317106.3 , 1 , 80 , 234001 , 75424 , 0
6566439.4 , 2 , 82 , 233764 , 70762 , 0
6579405.0 , 1 , 80 , 234069 , 75416 , 0
6828739.2 , 2 , 82 , 233711 , 70755 , 0
6841702.5 , 1 , 80 , 234054 , 75416 , 0
7091038.3 , 2 , 82 , 233749 , 70755 , 0
7106995.1 , 1 , 80 , 234046 , 75416 , 0
7353334.4 , 2 , 82 , 233734 , 70755 , 0
7369293.2 , 1 , 80 , 234054 , 75431 , 0
7618624.4 , 2 , 82 , 233757 , 70755 , 0
7632588.8 , 1 , 80 , 234054 , 75454 , 0
7881921.3 , 2 , 82 , 233772 , 70770 , 0
7894887.6 , 1 , 80 , 234077 , 75431 , 0
8144220.0 , 2 , 82 , 233749 , 70777 , 0
8157185.6 , 1 , 80 , 234054 , 75447 , 0
8406520.3 , 2 , 82 , 233726 , 70777 , 0
8418486.3 , 1 , 80 , 234054 , 75447 , 0
8667818.2 , 2 , 82 , 233726 , 70777 , 0
8680784.5 , 1 , 80 , 234054 , 75447 , 0
8930118.5 , 2 , 82 , 233734 , 70770 , 0
8942087.6 , 1 , 80 , 234085 , 75439 , 0
9192419.3 , 2 , 82 , 233741 , 70770 , 0
9204383.7 , 1 , 80 , 234039 , 75424 , 0
9454715.8 , 2 , 82 , 233695 , 70762 , 0
9470673.1 , 1 , 80 , 234077 , 75439 , 0
9726012.8 , 2 , 82 , 233726 , 70793 , 0
9732972.1 , 1 , 80 , 234039 , 75431 , 0
9982304.3 , 2 , 82 , 233741 , 70770 , 0
9995273.0 , 1 , 80 , 234046 , 75431 , 0
10244603.4 , 2 , 82 , 233741 , 70800 , 0
10257569.5 , 1 , 80 , 234092 , 75431 , 0
10506901.4 , 2 , 82 , 233734 , 70800 , 0
10519867.4 , 1 , 80 , 234085 , 75431 , 0
10769201.0 , 2 , 82 , 233764 , 70816 , 0
10781168.0 , 1 , 80 , 234230 , 75447 , 0
11031499.0 , 2 , 82 , 233856 , 70800 , 0
11044466.3 , 1 , 80 , 234115 , 75447 , 0
11293801.1 , 2 , 82 , 233757 , 70808 , 0
11305765.7 , 1 , 80 , 234062 , 75462 , 0
11555098.4 , 2 , 82 , 233703 , 70808 , 0
11571055.3 , 1 , 80 , 234092 , 75447 , 0
11818395.0 , 2 , 82 , 233726 , 70793 , 0
11833357.5 , 1 , 80 , 234069 , 75439 , 0
12083686.9 , 2 , 82 , 233863 , 70808 , 0
12095656.3 , 1 , 80 , 234115 , 75424 , 0
12345986.7 , 2 , 82 , 233718 , 70793 , 0
12357951.3 , 1 , 80 , 234046 , 75431 , 0
12608282.3 , 2 , 82 , 233734 , 70800 , 0
12620250.6 , 1 , 80 , 234062 , 75424 , 0
12870580.8 , 2 , 82 , 233779 , 70800 , 0
12882550.0 , 1 , 80 , 234016 , 75431 , 0
13132880.1 , 2 , 82 , 233734 , 70808 , 0
13144848.9 , 1 , 80 , 234069 , 75439 , 0
13395177.7 , 2 , 82 , 233703 , 70793 , 0
13407145.8 , 1 , 80 , 234085 , 75424 , 0
13657476.3 , 2 , 82 , 233726 , 70800 , 0
13668447.6 , 1 , 80 , 234207 , 75447 , 0
13918778.0 , 2 , 82 , 233734 , 70777 , 0
13934734.4 , 1 , 80 , 234024 , 75431 , 0
14181077.7 , 2 , 82 , 233757 , 70785 , 0
