9971.1 , I2625976.8 , ---------------------
2629004.8 , SENSOR 2
2629964.5 , window_factor 7.63
2630961.5 , sensitivity: high
3153562.0 , target (90000) , 85937.50
3155570.9 , threshold (50000) , 46875.00
3155570.9 , 
3427830.2 , SENSOR 1
3428849.6 , window_factor 7.63
3429826.5 , sensitivity: high
3952427.4 , target (90000) , 85937.50
3956416.4 , threshold (50000) , 46875.00
3956416.4 , 
4231682.9 , Sensor, Temp , F_sens , F_ref, Rech_Count
4235670.8 , 1 , 80 , 232963 , 75447 , 0
4236666.9 , 2 , 82 , 233535 , 70922 , 0
4237684.9 , Read all registers sensor 7
4240657.0 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4244648.0 , 80,0,0,161,38,0,71,119,0,11,6,205,121,68,6,0,122,0,0,129,0,
4245645.8 , Read all registers sensor 8
4249638.7 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4251655.1 , 82,0,0,80,36,0,146,119,0,11,6,205,121,68,6,0,0,0,0,129,0,
4468048.4 , 2 , 82 , 233528 , 70930 , 0
4481015.1 , 1 , 80 , 233772 , 75439 , 0
4730348.5 , 2 , 82 , 233528 , 70915 , 0
4743315.5 , 1 , 80 , 233558 , 75447 , 0
4992649.0 , 2 , 82 , 233505 , 70915 , 0
5004614.1 , 1 , 80 , 233543 , 75431 , 0
5254946.4 , 2 , 82 , 233657 , 70938 , 0
5266912.4 , 1 , 80 , 233512 , 75431 , 0
5517244.3 , 2 , 82 , 233558 , 70930 , 0
5529211.9 , 1 , 80 , 233535 , 75431 , 0
5779544.5 , 2 , 82 , 233535 , 70915 , 0
5795502.0 , 1 , 80 , 233512 , 75408 , 0
6040841.9 , 2 , 82 , 233528 , 70922 , 0
6057798.7 , 1 , 80 , 233459 , 75416 , 0
6303140.6 , 2 , 82 , 233482 , 70915 , 0
6320096.8 , 1 , 80 , 233535 , 75439 , 0
6565471.2 , 2 , 82 , 233482 , 70915 , 0
6582397.9 , 1 , 80 , 233520 , 75439 , 0
6831734.1 , 2 , 82 , 233535 , 70907 , 0
6843694.8 , 1 , 80 , 233528 , 75439 , 0
7094026.7 , 2 , 82 , 233512 , 70915 , 0
7106022.1 , 1 , 80 , 233512 , 75408 , 0
7356324.9 , 2 , 82 , 233505 , 70922 , 0
7368292.4 , 1 , 80 , 233520 , 75447 , 0
7618624.6 , 2 , 82 , 233505 , 70915 , 0
7630596.6 , 1 , 80 , 233497 , 75454 , 0
7879926.2 , 2 , 82 , 233528 , 70930 , 0
7892889.1 , 1 , 80 , 233482 , 75447 , 0
8142222.3 , 2 , 82 , 233558 , 70945 , 0
8158179.7 , 1 , 80 , 233520 , 75408 , 0
8404521.1 , 2 , 82 , 233642 , 70938 , 0
8420479.1 , 1 , 80 , 233520 , 75401 , 0
8666823.2 , 2 , 82 , 233520 , 70930 , 0
8683777.8 , 1 , 80 , 233482 , 75408 , 0
8932118.3 , 2 , 82 , 233528 , 70938 , 0
8945075.8 , 1 , 80 , 233512 , 75408 , 0
9194409.0 , 2 , 82 , 233528 , 70930 , 0
9207375.6 , 1 , 80 , 233482 , 75393 , 0
9456707.6 , 2 , 82 , 233528 , 70915 , 0
9469674.8 , 1 , 80 , 233451 , 75416 , 0
9719006.5 , 2 , 82 , 233520 , 70907 , 0
9731971.7 , 1 , 80 , 233634 , 75408 , 0
9982303.1 , 2 , 82 , 233528 , 70915 , 0
9993271.8 , 1 , 80 , 233497 , 75408 , 0
10243604.8 , 2 , 82 , 233543 , 70930 , 0
10256569.0 , 1 , 80 , 233528 , 75424 , 0
10505901.9 , 2 , 82 , 233619 , 70922 , 0
10521861.1 , 1 , 80 , 233497 , 75431 , 0
10768201.8 , 2 , 82 , 233520 , 70930 , 0
10784159.3 , 1 , 80 , 233543 , 75431 , 0
