0.0 , Z997.6 , 	2626976.4 , ---------------------
2627973.6 , SENSOR 2
2630964.1 , window_factor 7.63
2631962.2 , sensitivity: high
3156561.8 , target (240000) , 234375.00
3159554.4 , threshold (10000) , 7812.50
3159554.4 , 
3428831.4 , SENSOR 1
3429828.3 , window_factor 7.63
3430825.8 , sensitivity: high
3954425.8 , target (240000) , 234375.00
3957421.6 , threshold (10000) , 7812.50
3957421.6 , 
4232681.6 , Sensor, Temp , F_sens , F_ref, Rech_Count
4236671.0 , 1 , 80 , 233161 , 75477 , 0
4237668.7 , 2 , 82 , 233802 , 70770 , 0
4238667.5 , Read all registers sensor 7
4242659.1 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4245647.4 , 80,0,0,165,38,0,97,119,0,30,1,205,121,68,6,0,122,0,0,129,0,
4246645.1 , Read all registers sensor 8
4249636.9 , 0x00,0x01,0x02,0x03,0x04,0x05,0x06,0x07,0x08,0x09,0x0A,0x0B,0x0C,0x0D,0x0E,0x0F,0x10,0x11,0x12,0x13,0x14
4252627.8 , 82,0,0,60,36,0,181,119,0,30,1,205,121,68,6,0,0,0,0,129,0,
4469049.1 , 2 , 82 , 233779 , 70770 , 0
4482014.5 , 1 , 80 , 233757 , 75485 , 0
4731348.2 , 2 , 82 , 233749 , 70777 , 0
4744313.6 , 1 , 80 , 233741 , 75462 , 0
4993647.2 , 2 , 82 , 233787 , 70755 , 0
5006613.1 , 1 , 80 , 233749 , 75477 , 0
5255946.9 , 2 , 82 , 233764 , 70762 , 0
5268910.8 , 1 , 80 , 233734 , 75477 , 0
5518244.4 , 2 , 82 , 233757 , 70785 , 0
5531209.2 , 1 , 80 , 233695 , 75477 , 0
5780542.4 , 2 , 82 , 233741 , 70770 , 0
5793510.8 , 1 , 80 , 233764 , 75485 , 0
6042844.1 , 2 , 82 , 233764 , 70770 , 0
6058798.5 , 1 , 80 , 233749 , 75485 , 0
6305138.6 , 2 , 82 , 233741 , 70762 , 0
6321096.3 , 1 , 80 , 233749 , 75485 , 0
6567437.6 , 2 , 82 , 233779 , 70770 , 0
6583395.1 , 1 , 80 , 233779 , 75477 , 0
6832728.1 , 2 , 82 , 233734 , 70777 , 0
6845693.6 , 1 , 80 , 233734 , 75477 , 0
7095027.3 , 2 , 82 , 233726 , 70777 , 0
7107992.5 , 1 , 80 , 233726 , 75469 , 0
7357324.6 , 2 , 82 , 233711 , 70755 , 0
7370290.6 , 1 , 80 , 233703 , 75469 , 0
7619624.4 , 2 , 82 , 233749 , 70755 , 0
7632593.0 , 1 , 80 , 233688 , 75469 , 0
7881924.2 , 2 , 82 , 233764 , 70755 , 0
7893896.2 , 1 , 80 , 233734 , 75462 , 0
8144222.0 , 2 , 82 , 233757 , 70755 , 0
8156189.5 , 1 , 80 , 233772 , 75462 , 0
8405521.8 , 2 , 82 , 233741 , 70762 , 0
8421479.7 , 1 , 80 , 233711 , 75477 , 0
8667822.1 , 2 , 82 , 233886 , 70770 , 0
8683778.7 , 1 , 80 , 233779 , 75492 , 0
8933111.7 , 2 , 82 , 233726 , 70777 , 0
8946078.3 , 1 , 80 , 233741 , 75469 , 0
9196408.6 , 2 , 82 , 233772 , 70785 , 0
9208375.6 , 1 , 80 , 233726 , 75462 , 0
9458706.2 , 2 , 82 , 233734 , 70800 , 0
9470675.9 , 1 , 80 , 233711 , 75462 , 0
9721003.9 , 2 , 82 , 233772 , 70785 , 0
9732974.2 , 1 , 80 , 233726 , 75469 , 0
9982305.2 , 2 , 82 , 233871 , 70770 , 0
9995293.1 , 1 , 80 , 233749 , 75462 , 0
10245602.5 , 2 , 82 , 233734 , 70793 , 0
10257569.1 , 1 , 80 , 233757 , 75477 , 0
10506903.4 , 2 , 82 , 233711 , 70770 , 0
10522862.0 , 1 , 80 , 233718 , 75477 , 0
10769202.8 , 2 , 82 , 233718 , 70770 , 0
10785159.6 , 1 , 80 , 233764 , 75492 , 0
11031500.1 , 2 , 82 , 233718 , 70762 , 0
11047458.0 , 1 , 80 , 233764 , 75469 , 0
11296791.4 , 2 , 82 , 233787 , 70747 , 0
11309756.3 , 1 , 80 , 233695 , 75462 , 0
11558930.6 , 2 , 82 , 233741 , 70739 , 0
11571895.8 , 1 , 80 , 233627 , 75462 , 0
11821228.4 , 2 , 82 , 233695 , 70747 , 0
11834194.4 , 1 , 80 , 233711 , 75454 , 0
12083528.0 , 2 , 82 , 233703 , 70755 , 0
12119432.2 , 1 , 80 , 233749 , 75447 , 0
12345824.6 , 2 , 82 , 233741 , 70739 , 0
12357792.5 , 1 , 80 , 233757 , 75462 , 0
12609121.5 , 2 , 82 , 233711 , 70762 , 0
12621089.7 , 1 , 80 , 233734 , 75469 , 0
12870423.1 , 2 , 82 , 233703 , 70739 , 0
12886378.8 , 1 , 80 , 233711 , 75485 , 0
13132722.6 , 2 , 82 , 233711 , 70747 , 0
13148679.2 , 1 , 80 , 233703 , 75477 , 0
13398011.7 , 2 , 82 , 233818 , 70732 , 0
13410978.3 , 1 , 80 , 233726 , 75454 , 0
13660312.2 , 2 , 82 , 233718 , 70747 , 0
13673275.5 , 1 , 80 , 233688 , 75462 , 0
