Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,82,121444,75088,0,7.630000,h,0,0 
244.696000,1,82,121490,75065,0,7.630000,h,0,0 
506.793900,1,82,121604,75080,0,7.630000,h,0,0 
1030.524600,1,82,121589,75073,0,7.630000,h,0,0 
1296.005700,1,82,121604,75080,0,7.630000,h,0,0 
1558.825200,1,82,121620,75080,0,7.630000,h,0,0 
1821.046400,1,82,121635,75080,0,7.630000,h,0,0 
2083.038400,1,82,121627,75073,0,7.630000,h,0,0 
2345.285800,1,82,121635,75073,0,7.630000,h,0,0 
2607.869200,1,82,121643,75057,0,7.630000,h,0,0 
2870.167200,1,82,121620,75057,0,7.630000,h,0,0 
3131.395900,1,82,121597,75042,0,7.630000,h,0,0 
3397.435300,1,82,121620,75057,0,7.630000,h,0,0 
3660.273000,1,82,121604,75073,0,7.630000,h,0,0 
4184.689500,1,82,121665,75103,0,7.630000,h,0,0 
4446.989500,1,82,121635,75088,0,7.630000,h,0,0 
4708.284700,1,82,121658,75080,0,7.630000,h,0,0 
4970.583100,1,82,121665,75096,0,7.630000,h,0,0 
5233.636500,1,82,121574,75057,0,7.630000,h,0,0 
5498.660100,1,82,121627,75073,0,7.630000,h,0,0 
5761.011600,1,82,121597,75088,0,7.630000,h,0,0 
6022.948400,1,82,121566,75073,0,7.630000,h,0,0 
6285.967500,1,82,121589,75073,0,7.630000,h,0,0 
6548.489600,1,82,121597,75080,0,7.630000,h,0,0 
6810.051200,1,82,121574,75096,0,7.630000,h,0,0 
7072.263000,1,82,121612,75057,0,7.630000,h,0,0 
7334.001200,1,82,121620,75088,0,7.630000,h,0,0 
7599.852100,1,82,121559,75073,0,7.630000,h,0,0 
7862.149800,1,82,121597,75057,0,7.630000,h,0,0 
8124.969000,1,82,121658,75080,0,7.630000,h,0,0 
