Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,80,120422,75454,0,7.630000,h,0,0 
244.347200,1,80,120620,75454,0,7.630000,h,0,0 
767.946000,1,80,120582,75416,0,7.630000,h,0,0 
1295.537000,1,80,120567,75416,0,7.630000,h,0,0 
1557.834700,1,80,120582,75431,0,7.630000,h,0,0 
1821.131700,1,80,120567,75424,0,7.630000,h,0,0 
2083.429900,1,80,120529,75416,0,7.630000,h,0,0 
2344.729100,1,80,120552,75408,0,7.630000,h,0,0 
2607.027400,1,80,120574,75401,0,7.630000,h,0,0 
2869.327100,1,80,120552,75408,0,7.630000,h,0,0 
3392.926700,1,80,120590,75431,0,7.630000,h,0,0 
3659.215300,1,80,120544,75408,0,7.630000,h,0,0 
4446.110100,1,80,120552,75416,0,7.630000,h,0,0 
4708.408700,1,80,120559,75408,0,7.630000,h,0,0 
5001.630000,1,80,120513,75408,0,7.630000,h,0,0 
5232.008400,1,80,120544,75416,0,7.630000,h,0,0 
5494.306900,1,80,120567,75416,0,7.630000,h,0,0 
5759.597700,1,80,120552,75416,0,7.630000,h,0,0 
6021.896900,1,80,120536,75424,0,7.630000,h,0,0 
6285.192800,1,80,120567,75431,0,7.630000,h,0,0 
6547.491200,1,80,120590,75439,0,7.630000,h,0,0 
6827.743600,1,80,120597,75454,0,7.630000,h,0,0 
7071.092900,1,80,120628,75469,0,7.630000,h,0,0 
7333.389800,1,80,120613,75439,0,7.630000,h,0,0 
7858.007300,1,80,120590,75431,0,7.630000,h,0,0 
8123.283900,1,80,120567,75408,0,7.630000,h,0,0 
8385.575200,1,80,120574,75408,0,7.630000,h,0,0 
8648.873200,1,80,120582,75416,0,7.630000,h,0,0 
9172.473400,1,80,120567,75408,0,7.630000,h,0,0 
9434.769800,1,80,120559,75416,0,7.630000,h,0,0 
9697.069100,1,80,120552,75431,0,7.630000,h,0,0 
9959.369300,1,80,120597,75431,0,7.630000,h,0,0 
10749.255900,1,80,120605,75416,0,7.630000,h,0,0 
11011.553300,1,80,120582,75431,0,7.630000,h,0,0 
11273.853900,1,80,120597,75439,0,7.630000,h,0,0 
11535.153400,1,80,120574,75447,0,7.630000,h,0,0 
11798.450600,1,80,120635,75447,0,7.630000,h,0,0 
12061.751400,1,80,120620,75447,0,7.630000,h,0,0 
12850.636700,1,80,120635,75447,0,7.630000,h,0,0 
13112.935600,1,80,120620,75454,0,7.630000,h,0,0 
13637.531000,1,80,120666,75447,0,7.630000,h,0,0 
13898.848900,1,80,120613,75439,0,7.630000,h,0,0 
14161.131900,1,80,120582,75462,0,7.630000,h,0,0 
14423.429300,1,80,120613,75462,0,7.630000,h,0,0 
14688.721600,1,80,120582,75439,0,7.630000,h,0,0 
14951.021600,1,80,120613,75454,0,7.630000,h,0,0 
15213.318500,1,80,120590,75454,0,7.630000,h,0,0 
15475.615600,1,80,120620,75447,0,7.630000,h,0,0 
15737.914700,1,80,120605,75454,0,7.630000,h,0,0 
16000.213900,1,80,120582,75447,0,7.630000,h,0,0 
16262.511900,1,80,120628,75439,0,7.630000,h,0,0 
16786.112700,1,80,120597,75408,0,7.630000,h,0,0 
17052.399600,1,80,120613,75416,0,7.630000,h,0,0 
