Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
2.991200,2,82,79757,70762,0,7.630000,h,0,0 
493.678600,2,82,79734,70755,0,7.630000,h,0,0 
759.967900,2,82,79742,70762,0,7.630000,h,0,0 
1022.265500,2,82,79757,70755,0,7.630000,h,0,0 
1284.563800,2,82,79765,70762,0,7.630000,h,0,0 
1546.863000,2,82,79734,70732,0,7.630000,h,0,0 
1808.163500,2,82,79780,70739,0,7.630000,h,0,0 
2070.461600,2,82,79788,70762,0,7.630000,h,0,0 
2332.762100,2,82,79727,70747,0,7.630000,h,0,0 
2595.062600,2,82,79750,70755,0,7.630000,h,0,0 
2860.350200,2,82,79742,70755,0,7.630000,h,0,0 
3123.646300,2,82,79734,70762,0,7.630000,h,0,0 
3384.947500,2,82,79727,70762,0,7.630000,h,0,0 
3910.555200,2,82,79704,70770,0,7.630000,h,0,0 
4171.841700,2,82,79711,70762,0,7.630000,h,0,0 
5224.029000,2,82,79734,70800,0,7.630000,h,0,0 
5748.626800,2,82,79780,70762,0,7.630000,h,0,0 
6010.925600,2,82,79742,70793,0,7.630000,h,0,0 
6535.522700,2,82,79772,70747,0,7.630000,h,0,0 
6796.824300,2,82,79719,70739,0,7.630000,h,0,0 
7063.111400,2,82,79727,70755,0,7.630000,h,0,0 
7325.410400,2,82,79719,70762,0,7.630000,h,0,0 
7587.709700,2,82,79780,70777,0,7.630000,h,0,0 
7850.006900,2,82,79765,70747,0,7.630000,h,0,0 
8112.306200,2,82,79711,70762,0,7.630000,h,0,0 
8636.903100,2,82,79704,70747,0,7.630000,h,0,0 
8898.207400,2,82,79689,70747,0,7.630000,h,0,0 
9160.501200,2,82,79673,70762,0,7.630000,h,0,0 
9435.766100,2,82,79689,70762,0,7.630000,h,0,0 
9688.091600,2,82,79681,70755,0,7.630000,h,0,0 
9950.394400,2,82,79689,70747,0,7.630000,h,0,0 
10474.986300,2,82,79711,70762,0,7.630000,h,0,0 
10737.285500,2,82,79727,70777,0,7.630000,h,0,0 
10999.585100,2,82,79734,70770,0,7.630000,h,0,0 
11524.182000,2,82,79742,70785,0,7.630000,h,0,0 
11789.471700,2,82,79711,70770,0,7.630000,h,0,0 
12051.772600,2,82,79750,70762,0,7.630000,h,0,0 
12314.068300,2,82,79711,70762,0,7.630000,h,0,0 
12576.368500,2,82,79750,70755,0,7.630000,h,0,0 
12838.666700,2,82,79757,70747,0,7.630000,h,0,0 
13100.965500,2,82,79742,70747,0,7.630000,h,0,0 
13363.262900,2,82,79734,70755,0,7.630000,h,0,0 
13625.562000,2,82,79727,70762,0,7.630000,h,0,0 
14153.151600,2,82,79734,70755,0,7.630000,h,0,0 
14940.049500,2,82,79711,70724,0,7.630000,h,0,0 
15201.348300,2,82,79696,70739,0,7.630000,h,0,0 
15463.645500,2,82,79711,70724,0,7.630000,h,0,0 
15725.946100,2,82,79727,70739,0,7.630000,h,0,0 
15991.235900,2,82,79742,70739,0,7.630000,h,0,0 
16253.533700,2,82,79757,70739,0,7.630000,h,0,0 
16515.832600,2,82,79727,70701,0,7.630000,h,0,0 
16778.131900,2,82,79711,70732,0,7.630000,h,0,0 
17040.432500,2,82,79704,70732,0,7.630000,h,0,0 
17302.728200,2,82,79711,70739,0,7.630000,h,0,0 
17565.028800,2,82,79719,70732,0,7.630000,h,0,0 
17827.326900,2,82,79742,70716,0,7.630000,h,0,0 
18089.625000,2,82,79727,70716,0,7.630000,h,0,0 
18354.916900,2,82,79696,70701,0,7.630000,h,0,0 
18617.212500,2,82,79681,70709,0,7.630000,h,0,0 
19404.109500,2,82,79666,70701,0,7.630000,h,0,0 
19927.712200,2,82,79711,70693,0,7.630000,h,0,0 
20190.007700,2,82,79696,70693,0,7.630000,h,0,0 
20456.295000,2,82,79734,70716,0,7.630000,h,0,0 
20718.594400,2,82,79696,70709,0,7.630000,h,0,0 
20980.892900,2,82,79689,70709,0,7.630000,h,0,0 
21243.192100,2,82,79719,70709,0,7.630000,h,0,0 
21504.492500,2,82,79696,70701,0,7.630000,h,0,0 
21767.788700,2,82,79689,70732,0,7.630000,h,0,0 
22819.974400,2,82,79681,70709,0,7.630000,h,0,0 
23082.275600,2,82,79673,70716,0,7.630000,h,0,0 
23343.573800,2,82,79650,70701,0,7.630000,h,0,0 
23605.874300,2,82,79711,70716,0,7.630000,h,0,0 
23868.173600,2,82,79666,70701,0,7.630000,h,0,0 
24130.471600,2,82,79673,70701,0,7.630000,h,0,0 
24392.769900,2,82,79689,70724,0,7.630000,h,0,0 
24658.060100,2,82,79681,70732,0,7.630000,h,0,0 
24920.357800,2,82,79689,70709,0,7.630000,h,0,0 
25444.954200,2,82,79681,70739,0,7.630000,h,0,0 
25707.253700,2,82,79689,70747,0,7.630000,h,0,0 
25969.553300,2,82,79673,70747,0,7.630000,h,0,0 
26231.850600,2,82,79711,70747,0,7.630000,h,0,0 
26493.151800,2,82,79719,70739,0,7.630000,h,0,0 
26759.439000,2,82,79696,70739,0,7.630000,h,0,0 
27021.740000,2,82,79689,70739,0,7.630000,h,0,0 
27284.037500,2,82,79658,70724,0,7.630000,h,0,0 
27546.335900,2,82,79673,70724,0,7.630000,h,0,0 
27808.634700,2,82,79681,70747,0,7.630000,h,0,0 
28070.933200,2,82,79666,70724,0,7.630000,h,0,0 
28332.233600,2,82,79681,70724,0,7.630000,h,0,0 
28856.831900,2,82,79696,70716,0,7.630000,h,0,0 
29385.417600,2,82,79689,70732,0,7.630000,h,0,0 
29646.719200,2,82,79673,70739,0,7.630000,h,0,0 
29909.017500,2,82,79689,70739,0,7.630000,h,0,0 
30171.316800,2,82,79681,70739,0,7.630000,h,0,0 
30433.615300,2,82,79696,70739,0,7.630000,h,0,0 
30958.213400,2,82,79681,70716,0,7.630000,h,0,0 
31485.801400,2,82,79658,70732,0,7.630000,h,0,0 
31748.100600,2,82,79666,70716,0,7.630000,h,0,0 
32273.695100,2,82,79681,70739,0,7.630000,h,0,0 
32534.996200,2,82,79689,70739,0,7.630000,h,0,0 
32797.294300,2,82,79734,70747,0,7.630000,h,0,0 
33058.597800,2,82,79704,70724,0,7.630000,h,0,0 
33324.885100,2,82,79689,70724,0,7.630000,h,0,0 
