Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.952100,2,82,233940,70762,0,7.630000,h,0,0 
229.341200,2,82,234245,70777,0,7.630000,h,0,0 
490.644400,2,82,233871,70762,0,7.630000,h,0,0 
753.937600,2,82,234031,70762,0,7.630000,h,0,0 
1015.239400,2,82,233909,70755,0,7.630000,h,0,0 
1539.836400,2,82,233879,70770,0,7.630000,h,0,0 
1805.125700,2,82,234039,70762,0,7.630000,h,0,0 
2067.424000,2,82,233917,70770,0,7.630000,h,0,0 
2329.723400,2,82,233886,70785,0,7.630000,h,0,0 
2592.023800,2,82,233909,70770,0,7.630000,h,0,0 
2854.319400,2,82,233924,70762,0,7.630000,h,0,0 
3377.921000,2,82,233871,70762,0,7.630000,h,0,0 
3641.217100,2,82,233863,70777,0,7.630000,h,0,0 
4168.805300,2,82,233894,70770,0,7.630000,h,0,0 
4431.104500,2,82,233848,70777,0,7.630000,h,0,0 
4693.405200,2,82,233856,70762,0,7.630000,h,0,0 
5217.999600,2,82,233833,70785,0,7.630000,h,0,0 
5480.298500,2,82,233856,70770,0,7.630000,h,0,0 
5741.599100,2,82,233802,70755,0,7.630000,h,0,0 
6035.814800,2,82,233779,70762,0,7.630000,h,0,0 
6270.187200,2,82,233802,70785,0,7.630000,h,0,0 
6532.485300,2,82,233779,70762,0,7.630000,h,0,0 
6794.784100,2,82,233833,70785,0,7.630000,h,0,0 
7057.082200,2,82,233810,70777,0,7.630000,h,0,0 
7318.383000,2,82,233947,70755,0,7.630000,h,0,0 
7581.679100,2,82,233840,70762,0,7.630000,h,0,0 
7842.979100,2,82,233810,70747,0,7.630000,h,0,0 
8108.271600,2,82,233818,70755,0,7.630000,h,0,0 
8370.570800,2,82,233955,70762,0,7.630000,h,0,0 
8633.866000,2,82,233787,70770,0,7.630000,h,0,0 
8895.166200,2,82,233772,70777,0,7.630000,h,0,0 
9157.464700,2,82,233833,70770,0,7.630000,h,0,0 
9419.766400,2,82,233764,70770,0,7.630000,h,0,0 
9682.067300,2,82,233757,70770,0,7.630000,h,0,0 
9954.337400,2,82,233802,70777,0,7.630000,h,0,0 
10206.658400,2,82,233779,70762,0,7.630000,h,0,0 
10471.954900,2,82,233787,70770,0,7.630000,h,0,0 
10735.252500,2,82,233779,70762,0,7.630000,h,0,0 
10996.547500,2,82,233802,70770,0,7.630000,h,0,0 
11258.847400,2,82,233863,70793,0,7.630000,h,0,0 
11521.145400,2,82,233787,70777,0,7.630000,h,0,0 
11783.442500,2,82,233932,70770,0,7.630000,h,0,0 
12044.744400,2,82,233802,70762,0,7.630000,h,0,0 
12308.039100,2,82,233749,70762,0,7.630000,h,0,0 
12573.330300,2,82,233825,70777,0,7.630000,h,0,0 
12835.631400,2,82,233779,70770,0,7.630000,h,0,0 
13097.926800,2,82,233764,70755,0,7.630000,h,0,0 
13359.228400,2,82,233795,70770,0,7.630000,h,0,0 
13621.527800,2,82,233757,70770,0,7.630000,h,0,0 
13883.825400,2,82,233810,70793,0,7.630000,h,0,0 
14146.124400,2,82,233833,70785,0,7.630000,h,0,0 
14408.422600,2,82,233818,70770,0,7.630000,h,0,0 
14673.714500,2,82,233787,70770,0,7.630000,h,0,0 
14937.010500,2,82,233825,70762,0,7.630000,h,0,0 
15460.610600,2,82,233848,70770,0,7.630000,h,0,0 
15722.907800,2,82,233825,70793,0,7.630000,h,0,0 
15985.206100,2,82,233810,70747,0,7.630000,h,0,0 
16247.504400,2,82,233833,70739,0,7.630000,h,0,0 
16509.805600,2,82,233802,70793,0,7.630000,h,0,0 
16775.095900,2,82,233840,70770,0,7.630000,h,0,0 
17037.391900,2,82,233818,70793,0,7.630000,h,0,0 
17299.691000,2,82,233955,70785,0,7.630000,h,0,0 
17561.994700,2,82,233840,70800,0,7.630000,h,0,0 
17824.289200,2,82,233848,70800,0,7.630000,h,0,0 
18086.587600,2,82,233810,70777,0,7.630000,h,0,0 
18347.889000,2,82,233947,70770,0,7.630000,h,0,0 
18611.186500,2,82,233825,70777,0,7.630000,h,0,0 
18876.474600,2,82,233795,70762,0,7.630000,h,0,0 
19138.779200,2,82,233787,70762,0,7.630000,h,0,0 
19401.072400,2,82,233802,70770,0,7.630000,h,0,0 
19663.371900,2,82,233795,70777,0,7.630000,h,0,0 
19925.669200,2,82,233810,70762,0,7.630000,h,0,0 
20186.969700,2,82,233779,70777,0,7.630000,h,0,0 
20450.266200,2,82,233764,70770,0,7.630000,h,0,0 
20711.568400,2,82,233802,70770,0,7.630000,h,0,0 
20973.865500,2,82,233825,70770,0,7.630000,h,0,0 
21239.156100,2,82,233810,70762,0,7.630000,h,0,0 
21502.452000,2,82,233825,70739,0,7.630000,h,0,0 
21763.754000,2,82,233795,70732,0,7.630000,h,0,0 
22026.051800,2,82,233772,70762,0,7.630000,h,0,0 
22288.350800,2,82,233810,70755,0,7.630000,h,0,0 
22550.651800,2,82,233833,70755,0,7.630000,h,0,0 
22812.949200,2,82,233802,70755,0,7.630000,h,0,0 
23075.246300,2,82,233764,70762,0,7.630000,h,0,0 
23340.537000,2,82,233795,70755,0,7.630000,h,0,0 
23602.835500,2,82,233833,70755,0,7.630000,h,0,0 
23865.135700,2,82,233772,70770,0,7.630000,h,0,0 
24128.429400,2,82,233802,70762,0,7.630000,h,0,0 
24389.731600,2,82,233772,70755,0,7.630000,h,0,0 
24652.030700,2,82,233764,70755,0,7.630000,h,0,0 
24914.328700,2,82,233795,70770,0,7.630000,h,0,0 
25175.629400,2,82,233757,70785,0,7.630000,h,0,0 
25441.917900,2,82,233772,70800,0,7.630000,h,0,0 
25966.515600,2,82,233802,70785,0,7.630000,h,0,0 
26228.812700,2,82,233795,70793,0,7.630000,h,0,0 
26491.112700,2,82,233787,70785,0,7.630000,h,0,0 
27014.712200,2,82,233818,70793,0,7.630000,h,0,0 
27277.010300,2,82,233764,70785,0,7.630000,h,0,0 
