Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.996900,2,82,63919,70701,0,7.630000,h,0,0 
495.674000,2,82,63926,70693,0,7.630000,h,0,0 
756.977500,2,82,63934,70693,0,7.630000,h,0,0 
1020.272900,2,82,63941,70709,0,7.630000,h,0,0 
1281.572000,2,82,63934,70701,0,7.630000,h,0,0 
1806.172000,2,82,63911,70709,0,7.630000,h,0,0 
2068.468100,2,82,63926,70701,0,7.630000,h,0,0 
2333.760000,2,82,63911,70701,0,7.630000,h,0,0 
2858.356400,2,82,63919,70724,0,7.630000,h,0,0 
3120.653900,2,82,63941,70732,0,7.630000,h,0,0 
3382.954200,2,82,63926,70716,0,7.630000,h,0,0 
4169.848600,2,82,63903,70716,0,7.630000,h,0,0 
4431.153700,2,82,63896,70716,0,7.630000,h,0,0 
4697.440300,2,82,63919,70739,0,7.630000,h,0,0 
4959.737400,2,82,63911,70747,0,7.630000,h,0,0 
5222.035900,2,82,63888,70732,0,7.630000,h,0,0 
5484.333800,2,82,63903,70747,0,7.630000,h,0,0 
5746.634500,2,82,63896,70747,0,7.630000,h,0,0 
6007.934100,2,82,63926,70732,0,7.630000,h,0,0 
6270.234000,2,82,63919,70739,0,7.630000,h,0,0 
6532.531200,2,82,63903,70732,0,7.630000,h,0,0 
6794.830100,2,82,63926,70732,0,7.630000,h,0,0 
7060.121200,2,82,63903,70739,0,7.630000,h,0,0 
7322.418500,2,82,63949,70724,0,7.630000,h,0,0 
7584.722500,2,82,63926,70724,0,7.630000,h,0,0 
8109.315700,2,82,63919,70747,0,7.630000,h,0,0 
8371.613300,2,82,63896,70747,0,7.630000,h,0,0 
8633.915000,2,82,63911,70739,0,7.630000,h,0,0 
8895.213500,2,82,63919,70747,0,7.630000,h,0,0 
9157.512100,2,82,63888,70747,0,7.630000,h,0,0 
9423.799500,2,82,63873,70739,0,7.630000,h,0,0 
9686.097800,2,82,63858,70747,0,7.630000,h,0,0 
9948.396900,2,82,63896,70747,0,7.630000,h,0,0 
10210.694800,2,82,63926,70739,0,7.630000,h,0,0 
10472.994000,2,82,63903,70747,0,7.630000,h,0,0 
10735.295300,2,82,63880,70747,0,7.630000,h,0,0 
10997.590700,2,82,63903,70739,0,7.630000,h,0,0 
11258.891700,2,82,63888,70732,0,7.630000,h,0,0 
11786.485900,2,82,63865,70701,0,7.630000,h,0,0 
12311.079400,2,82,63858,70701,0,7.630000,h,0,0 
12573.379000,2,82,63873,70709,0,7.630000,h,0,0 
12835.676500,2,82,63880,70716,0,7.630000,h,0,0 
13097.975100,2,82,63850,70693,0,7.630000,h,0,0 
13360.272200,2,82,63873,70686,0,7.630000,h,0,0 
13622.574500,2,82,63896,70686,0,7.630000,h,0,0 
13884.868700,2,82,63858,70701,0,7.630000,h,0,0 
14150.159100,2,82,63873,70693,0,7.630000,h,0,0 
14412.459900,2,82,63880,70716,0,7.630000,h,0,0 
14674.758600,2,82,63888,70693,0,7.630000,h,0,0 
14937.057100,2,82,63850,70693,0,7.630000,h,0,0 
15199.354400,2,82,63888,70709,0,7.630000,h,0,0 
15722.954900,2,82,63880,70686,0,7.630000,h,0,0 
16251.540600,2,82,63888,70701,0,7.630000,h,0,0 
16776.138300,2,82,63873,70709,0,7.630000,h,0,0 
17038.437000,2,82,63880,70716,0,7.630000,h,0,0 
18086.632800,2,82,63934,70693,0,7.630000,h,0,0 
18348.932700,2,82,63835,70693,0,7.630000,h,0,0 
18615.220100,2,82,63880,70701,0,7.630000,h,0,0 
18876.522700,2,82,63850,70693,0,7.630000,h,0,0 
19401.118000,2,82,63873,70678,0,7.630000,h,0,0 
19663.420400,2,82,63850,70671,0,7.630000,h,0,0 
20188.014800,2,82,63903,70678,0,7.630000,h,0,0 
20450.312500,2,82,63873,70678,0,7.630000,h,0,0 
20977.906400,2,82,63865,70686,0,7.630000,h,0,0 
21240.199500,2,82,63858,70686,0,7.630000,h,0,0 
21502.498900,2,82,63926,70686,0,7.630000,h,0,0 
21764.798100,2,82,63919,70686,0,7.630000,h,0,0 
22027.096200,2,82,63835,70686,0,7.630000,h,0,0 
22288.397800,2,82,63850,70686,0,7.630000,h,0,0 
22550.697100,2,82,63911,70671,0,7.630000,h,0,0 
22812.995800,2,82,63873,70693,0,7.630000,h,0,0 
23078.286700,2,82,63888,70678,0,7.630000,h,0,0 
23340.583800,2,82,63896,70671,0,7.630000,h,0,0 
23603.879500,2,82,63888,70701,0,7.630000,h,0,0 
23866.180300,2,82,63880,70709,0,7.630000,h,0,0 
24127.479600,2,82,63850,70693,0,7.630000,h,0,0 
24389.780400,2,82,63858,70693,0,7.630000,h,0,0 
24652.077000,2,82,63842,70678,0,7.630000,h,0,0 
25175.676700,2,82,63873,70693,0,7.630000,h,0,0 
25441.964400,2,82,63842,70693,0,7.630000,h,0,0 
25704.262900,2,82,63873,70686,0,7.630000,h,0,0 
25969.556100,2,82,63812,70678,0,7.630000,h,0,0 
26228.859400,2,82,63858,70709,0,7.630000,h,0,0 
26491.159700,2,82,63842,70709,0,7.630000,h,0,0 
26753.462100,2,82,63858,70709,0,7.630000,h,0,0 
27015.755000,2,82,63850,70716,0,7.630000,h,0,0 
27277.056900,2,82,63835,70724,0,7.630000,h,0,0 
27539.356300,2,82,63865,70693,0,7.630000,h,0,0 
27805.646800,2,82,63842,70693,0,7.630000,h,0,0 
28067.941600,2,82,63858,70693,0,7.630000,h,0,0 
28330.245800,2,82,63835,70693,0,7.630000,h,0,0 
28592.539800,2,82,63865,70709,0,7.630000,h,0,0 
28853.841600,2,82,63873,70693,0,7.630000,h,0,0 
29117.136000,2,82,63858,70701,0,7.630000,h,0,0 
29378.439600,2,82,63842,70701,0,7.630000,h,0,0 
29640.737800,2,82,63812,70693,0,7.630000,h,0,0 
29903.034000,2,82,63819,70693,0,7.630000,h,0,0 
30168.325100,2,82,63842,70709,0,7.630000,h,0,0 
30430.623900,2,82,63835,70701,0,7.630000,h,0,0 
30692.925600,2,82,63858,70693,0,7.630000,h,0,0 
30955.221600,2,82,63865,70693,0,7.630000,h,0,0 
31217.520100,2,82,63850,70693,0,7.630000,h,0,0 
31479.817800,2,82,63858,70701,0,7.630000,h,0,0 
31742.118500,2,82,63873,70701,0,7.630000,h,0,0 
32265.715500,2,82,63858,70693,0,7.630000,h,0,0 
32532.005100,2,82,63888,70716,0,7.630000,h,0,0 
32794.306400,2,82,63873,70716,0,7.630000,h,0,0 
33318.900200,2,82,63858,70747,0,7.630000,h,0,0 
33581.198400,2,82,63865,70732,0,7.630000,h,0,0 
33843.499200,2,82,63880,70739,0,7.630000,h,0,0 
34105.797200,2,82,63896,70724,0,7.630000,h,0,0 
34367.096800,2,82,63835,70716,0,7.630000,h,0,0 
34894.686300,2,82,63850,70739,0,7.630000,h,0,0 
35419.284700,2,82,63865,70762,0,7.630000,h,0,0 
35682.580800,2,82,63835,70724,0,7.630000,h,0,0 
35943.881900,2,82,63858,70701,0,7.630000,h,0,0 
36206.179100,2,82,63827,70724,0,7.630000,h,0,0 
36468.477600,2,82,63858,70732,0,7.630000,h,0,0 
36992.076600,2,82,63865,70755,0,7.630000,h,0,0 
37258.364200,2,82,63842,70747,0,7.630000,h,0,0 
37782.964100,2,82,63827,70739,0,7.630000,h,0,0 
38045.260200,2,82,63850,70739,0,7.630000,h,0,0 
38307.559600,2,82,63858,70739,0,7.630000,h,0,0 
38577.837500,2,82,63850,70716,0,7.630000,h,0,0 
38831.159600,2,82,63827,70716,0,7.630000,h,0,0 
39093.460500,2,82,63865,70716,0,7.630000,h,0,0 
39355.757200,2,82,63812,70732,0,7.630000,h,0,0 
39622.045800,2,82,63873,70716,0,7.630000,h,0,0 
39884.346600,2,82,63842,70709,0,7.630000,h,0,0 
40145.644100,2,82,63835,70709,0,7.630000,h,0,0 
40408.943200,2,82,63842,70693,0,7.630000,h,0,0 
40670.242900,2,82,63835,70701,0,7.630000,h,0,0 
40933.539900,2,82,63842,70739,0,7.630000,h,0,0 
41194.839100,2,82,63858,70732,0,7.630000,h,0,0 
41719.436100,2,82,63835,70709,0,7.630000,h,0,0 
41984.727400,2,82,63858,70701,0,7.630000,h,0,0 
42247.024600,2,82,63835,70709,0,7.630000,h,0,0 
42509.325600,2,82,63819,70701,0,7.630000,h,0,0 
42771.625600,2,82,63812,70709,0,7.630000,h,0,0 
43033.919900,2,82,63858,70732,0,7.630000,h,0,0 
43296.219500,2,82,63865,70716,0,7.630000,h,0,0 
43558.518700,2,82,63842,70724,0,7.630000,h,0,0 
43819.819700,2,82,63827,70724,0,7.630000,h,0,0 
44082.116900,2,82,63858,70732,0,7.630000,h,0,0 
44348.405300,2,82,63842,70739,0,7.630000,h,0,0 
44610.705200,2,82,63835,70732,0,7.630000,h,0,0 
45135.300400,2,82,63850,70732,0,7.630000,h,0,0 
45396.601400,2,82,63819,70724,0,7.630000,h,0,0 
45658.901500,2,82,63880,70724,0,7.630000,h,0,0 
45924.195900,2,82,63858,70732,0,7.630000,h,0,0 
46183.498200,2,82,63819,70724,0,7.630000,h,0,0 
46448.789800,2,82,63842,70732,0,7.630000,h,0,0 
46711.088900,2,82,63835,70716,0,7.630000,h,0,0 
46973.387100,2,82,63850,70701,0,7.630000,h,0,0 
47235.684800,2,82,63835,70709,0,7.630000,h,0,0 
47497.983300,2,82,63827,70709,0,7.630000,h,0,0 
47760.283100,2,82,63842,70716,0,7.630000,h,0,0 
48022.579400,2,82,63850,70701,0,7.630000,h,0,0 
48283.882000,2,82,63865,70693,0,7.630000,h,0,0 
48547.177000,2,82,63804,70716,0,7.630000,h,0,0 
48812.470300,2,82,63842,70709,0,7.630000,h,0,0 
49337.065100,2,82,63804,70701,0,7.630000,h,0,0 
49599.365200,2,82,63858,70701,0,7.630000,h,0,0 
49861.665400,2,82,63827,70709,0,7.630000,h,0,0 
50122.963600,2,82,63835,70693,0,7.630000,h,0,0 
50385.262400,2,82,63842,70693,0,7.630000,h,0,0 
50647.561900,2,82,63858,70693,0,7.630000,h,0,0 
50909.859900,2,82,63812,70693,0,7.630000,h,0,0 
51175.151000,2,82,63827,70693,0,7.630000,h,0,0 
51438.447300,2,82,63804,70678,0,7.630000,h,0,0 
51700.745000,2,82,63812,70678,0,7.630000,h,0,0 
51963.043400,2,82,63835,70693,0,7.630000,h,0,0 
52486.642600,2,82,63819,70693,0,7.630000,h,0,0 
53011.239700,2,82,63812,70693,0,7.630000,h,0,0 
53273.538700,2,82,63827,70693,0,7.630000,h,0,0 
53538.829400,2,82,63819,70693,0,7.630000,h,0,0 
53801.128600,2,82,63796,70701,0,7.630000,h,0,0 
54063.426000,2,82,63804,70693,0,7.630000,h,0,0 
54325.724100,2,82,63835,70701,0,7.630000,h,0,0 
54588.022900,2,82,63819,70693,0,7.630000,h,0,0 
54850.324300,2,82,63812,70686,0,7.630000,h,0,0 
55112.620400,2,82,63827,70709,0,7.630000,h,0,0 
55374.919500,2,82,63880,70716,0,7.630000,h,0,0 
55640.210200,2,82,63850,70709,0,7.630000,h,0,0 
55902.512200,2,82,63789,70686,0,7.630000,h,0,0 
56427.106000,2,82,63827,70693,0,7.630000,h,0,0 
56689.405400,2,82,63781,70693,0,7.630000,h,0,0 
56964.670400,2,82,63796,70693,0,7.630000,h,0,0 
57213.003400,2,82,63804,70716,0,7.630000,h,0,0 
57475.304800,2,82,63850,70709,0,7.630000,h,0,0 
57737.626400,2,82,63796,70701,0,7.630000,h,0,0 
58002.902000,2,82,63804,70693,0,7.630000,h,0,0 
