Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,79,233436,75431,0,7.630000,h,0,0 
243.347600,1,80,234092,75439,0,7.630000,h,0,0 
509.635600,1,80,234069,75431,0,7.630000,h,0,0 
771.933300,1,80,234062,75416,0,7.630000,h,0,0 
1034.234700,1,80,234039,75431,0,7.630000,h,0,0 
1296.530900,1,80,234046,75416,0,7.630000,h,0,0 
1557.833000,1,80,234016,75401,0,7.630000,h,0,0 
1823.128200,1,80,234039,75393,0,7.630000,h,0,0 
2082.430200,1,80,234001,75424,0,7.630000,h,0,0 
2344.728900,1,80,234069,75416,0,7.630000,h,0,0 
2607.026400,1,80,234054,75416,0,7.630000,h,0,0 
2872.319000,1,80,234046,75416,0,7.630000,h,0,0 
3134.617100,1,80,234054,75431,0,7.630000,h,0,0 
3660.211500,1,80,234077,75431,0,7.630000,h,0,0 
3922.509500,1,80,234054,75447,0,7.630000,h,0,0 
4707.411500,1,80,234085,75439,0,7.630000,h,0,0 
4969.707600,1,80,234039,75424,0,7.630000,h,0,0 
5235.997000,1,80,234077,75439,0,7.630000,h,0,0 
5498.296000,1,80,234039,75431,0,7.630000,h,0,0 
5760.596900,1,80,234046,75431,0,7.630000,h,0,0 
6022.893400,1,80,234092,75431,0,7.630000,h,0,0 
6285.191300,1,80,234085,75431,0,7.630000,h,0,0 
6546.491900,1,80,234230,75447,0,7.630000,h,0,0 
6809.790200,1,80,234115,75447,0,7.630000,h,0,0 
7071.089600,1,80,234062,75462,0,7.630000,h,0,0 
7336.379200,1,80,234092,75447,0,7.630000,h,0,0 
7598.681400,1,80,234069,75439,0,7.630000,h,0,0 
7860.980200,1,80,234115,75424,0,7.630000,h,0,0 
8123.275200,1,80,234046,75431,0,7.630000,h,0,0 
8385.574500,1,80,234062,75424,0,7.630000,h,0,0 
8647.873900,1,80,234016,75431,0,7.630000,h,0,0 
8910.172800,1,80,234069,75439,0,7.630000,h,0,0 
9172.469700,1,80,234085,75424,0,7.630000,h,0,0 
9433.771500,1,80,234207,75447,0,7.630000,h,0,0 
9700.058300,1,80,234024,75431,0,7.630000,h,0,0 
9962.359200,1,80,234077,75408,0,7.630000,h,0,0 
10224.655600,1,80,234046,75416,0,7.630000,h,0,0 
10749.252800,1,80,234085,75424,0,7.630000,h,0,0 
11012.549200,1,80,234039,75424,0,7.630000,h,0,0 
11272.851800,1,80,234077,75416,0,7.630000,h,0,0 
11535.155900,1,80,234046,75408,0,7.630000,h,0,0 
11801.440200,1,80,234031,75408,0,7.630000,h,0,0 
12063.737900,1,80,234039,75401,0,7.630000,h,0,0 
12326.036400,1,80,234024,75408,0,7.630000,h,0,0 
12588.335800,1,80,234016,75424,0,7.630000,h,0,0 
12850.634600,1,80,234077,75408,0,7.630000,h,0,0 
13112.932700,1,80,234039,75401,0,7.630000,h,0,0 
13374.233400,1,80,234069,75431,0,7.630000,h,0,0 
13636.532100,1,80,234077,75393,0,7.630000,h,0,0 
13898.832200,1,80,234039,75424,0,7.630000,h,0,0 
14165.125500,1,80,234085,75447,0,7.630000,h,0,0 
14427.417300,1,80,234054,75416,0,7.630000,h,0,0 
14689.716700,1,80,234046,75439,0,7.630000,h,0,0 
14952.017900,1,80,234085,75431,0,7.630000,h,0,0 
15213.315600,1,80,234046,75416,0,7.630000,h,0,0 
15475.614400,1,80,234062,75416,0,7.630000,h,0,0 
15737.914800,1,80,234039,75408,0,7.630000,h,0,0 
16000.212500,1,80,234077,75408,0,7.630000,h,0,0 
16265.501300,1,80,234085,75416,0,7.630000,h,0,0 
16527.800200,1,80,234039,75416,0,7.630000,h,0,0 
17053.395800,1,80,234008,75416,0,7.630000,h,0,0 
17314.695400,1,80,234031,75431,0,7.630000,h,0,0 
17576.995000,1,80,234024,75439,0,7.630000,h,0,0 
17839.296200,1,80,234016,75454,0,7.630000,h,0,0 
18101.591500,1,80,234054,75439,0,7.630000,h,0,0 
18363.890400,1,80,234085,75431,0,7.630000,h,0,0 
18629.180400,1,80,234046,75447,0,7.630000,h,0,0 
18891.483200,1,80,234054,75416,0,7.630000,h,0,0 
19153.778400,1,80,234008,75416,0,7.630000,h,0,0 
19415.081600,1,80,234024,75431,0,7.630000,h,0,0 
19678.375800,1,80,234062,75439,0,7.630000,h,0,0 
19940.675400,1,80,234039,75424,0,7.630000,h,0,0 
20201.975100,1,80,234077,75439,0,7.630000,h,0,0 
20464.273100,1,80,234054,75439,0,7.630000,h,0,0 
20729.563800,1,80,234046,75431,0,7.630000,h,0,0 
20991.866300,1,80,234077,75416,0,7.630000,h,0,0 
21255.159000,1,80,234054,75439,0,7.630000,h,0,0 
21779.755700,1,80,234077,75439,0,7.630000,h,0,0 
22042.055000,1,80,234054,75431,0,7.630000,h,0,0 
22303.355500,1,80,234031,75416,0,7.630000,h,0,0 
22565.654300,1,80,234039,75431,0,7.630000,h,0,0 
22827.965400,1,80,234046,75416,0,7.630000,h,0,0 
23093.251700,1,80,234062,75408,0,7.630000,h,0,0 
23355.540700,1,80,234069,75424,0,7.630000,h,0,0 
23617.842500,1,80,233993,75408,0,7.630000,h,0,0 
23880.141700,1,80,234046,75424,0,7.630000,h,0,0 
24403.737800,1,80,234031,75416,0,7.630000,h,0,0 
25193.629000,1,80,234039,75431,0,7.630000,h,0,0 
25456.921900,1,80,234024,75431,0,7.630000,h,0,0 
25719.220800,1,80,234085,75416,0,7.630000,h,0,0 
25981.521100,1,80,234046,75416,0,7.630000,h,0,0 
26242.822400,1,80,234024,75439,0,7.630000,h,0,0 
26505.119400,1,80,234062,75424,0,7.630000,h,0,0 
26768.416700,1,80,234039,75408,0,7.630000,h,0,0 
27030.717300,1,80,233985,75393,0,7.630000,h,0,0 
27292.015600,1,80,234046,75416,0,7.630000,h,0,0 
27819.603800,1,80,234054,75401,0,7.630000,h,0,0 
28082.920700,1,80,234161,75408,0,7.630000,h,0,0 
28344.200300,1,80,234024,75416,0,7.630000,h,0,0 
28606.500700,1,80,234016,75424,0,7.630000,h,0,0 
28868.799500,1,80,233993,75424,0,7.630000,h,0,0 
29131.100300,1,80,234062,75431,0,7.630000,h,0,0 
29392.398700,1,80,234024,75416,0,7.630000,h,0,0 
29655.703600,1,80,234039,75424,0,7.630000,h,0,0 
30183.285100,1,80,234069,75431,0,7.630000,h,0,0 
30445.583100,1,80,234039,75408,0,7.630000,h,0,0 
30707.881800,1,80,234077,75431,0,7.630000,h,0,0 
30970.181200,1,80,234046,75408,0,7.630000,h,0,0 
31232.479300,1,80,234069,75408,0,7.630000,h,0,0 
31757.077300,1,80,234008,75408,0,7.630000,h,0,0 
32021.371200,1,80,234039,75416,0,7.630000,h,0,0 
32284.667100,1,80,234008,75416,0,7.630000,h,0,0 
32546.962100,1,80,234039,75408,0,7.630000,h,0,0 
32809.261100,1,80,234062,75401,0,7.630000,h,0,0 
33071.564800,1,80,234016,75401,0,7.630000,h,0,0 
33332.860900,1,80,234024,75393,0,7.630000,h,0,0 
33595.159100,1,80,234046,75401,0,7.630000,h,0,0 
33857.458800,1,80,234016,75393,0,7.630000,h,0,0 
34120.755200,1,80,234024,75393,0,7.630000,h,0,0 
34385.047100,1,80,234039,75393,0,7.630000,h,0,0 
34647.345300,1,80,233985,75393,0,7.630000,h,0,0 
34909.647000,1,80,234008,75401,0,7.630000,h,0,0 
35171.944400,1,80,234054,75393,0,7.630000,h,0,0 
35434.242700,1,80,234024,75401,0,7.630000,h,0,0 
35959.837200,1,80,234046,75393,0,7.630000,h,0,0 
36220.141200,1,80,234024,75393,0,7.630000,h,0,0 
36482.438300,1,80,234016,75401,0,7.630000,h,0,0 
36748.727800,1,80,234054,75408,0,7.630000,h,0,0 
37011.026200,1,80,234016,75408,0,7.630000,h,0,0 
37273.325000,1,80,234008,75416,0,7.630000,h,0,0 
37535.622400,1,80,234039,75431,0,7.630000,h,0,0 
37797.922200,1,80,234069,75424,0,7.630000,h,0,0 
38059.222900,1,80,234077,75447,0,7.630000,h,0,0 
38321.519600,1,80,234054,75424,0,7.630000,h,0,0 
38583.819400,1,80,234024,75408,0,7.630000,h,0,0 
38849.110100,1,80,234008,75416,0,7.630000,h,0,0 
39111.412100,1,80,234039,75439,0,7.630000,h,0,0 
39373.707700,1,80,234046,75408,0,7.630000,h,0,0 
39636.005700,1,80,234062,75424,0,7.630000,h,0,0 
39898.307900,1,80,234024,75408,0,7.630000,h,0,0 
40160.603500,1,80,234016,75431,0,7.630000,h,0,0 
40422.901200,1,80,234054,75424,0,7.630000,h,0,0 
40685.201200,1,80,234008,75401,0,7.630000,h,0,0 
40950.490900,1,80,234031,75431,0,7.630000,h,0,0 
41212.788700,1,80,233810,75431,0,7.630000,h,0,0 
41475.087200,1,80,233604,75424,0,7.630000,h,0,0 
41737.386900,1,80,233436,75416,0,7.630000,h,0,0 
41999.687600,1,80,233222,75424,0,7.630000,h,0,0 
42261.983000,1,80,233055,75401,0,7.630000,h,0,0 
42524.280800,1,80,232887,75408,0,7.630000,h,0,0 
42786.580400,1,80,232673,75401,0,7.630000,h,0,0 
43048.880800,1,80,232482,75408,0,7.630000,h,0,0 
43314.171300,1,80,232315,75401,0,7.630000,h,0,0 
43576.468300,1,80,232109,75401,0,7.630000,h,0,0 
43838.768000,1,80,231948,75401,0,7.630000,h,0,0 
44101.066700,1,80,231796,75424,0,7.630000,h,0,0 
44362.367300,1,80,231628,75431,0,7.630000,h,0,0 
44624.664200,1,80,231391,75431,0,7.630000,h,0,0 
44886.965700,1,80,231231,75439,0,7.630000,h,0,0 
45149.262500,1,80,231048,75454,0,7.630000,h,0,0 
45414.553000,1,80,230857,75408,0,7.630000,h,0,0 
