2626988.0 , ---------------------
2626988.0 , SENSOR 2
2627980.5 , window_factor 7.63
2628972.3 , sensitivity: high
3151574.1 , target (90000) , 85937.50
3151574.1 , threshold (50000) , 46875.00
3152571.1 , 
3424846.1 , SENSOR 1
3425841.0 , window_factor 7.63
3428836.1 , sensitivity: high
3949441.0 , target (90000) , 85937.50
3953438.4 , threshold (50000) , 46875.00
3954442.3 , 
4231687.6 , Sensor, Temp , F_sens , F_ref, Rech_Count
4232684.1 , 1 , 80 , 93215 , 75187 , 0
4233681.7 , 2 , 83 , 85273 , 70106 , 0
4465064.5 , 2 , 83 , 85296 , 70114 , 0
4478030.5 , 1 , 80 , 93284 , 75180 , 0
4727364.8 , 2 , 83 , 85296 , 70106 , 0
4740326.5 , 1 , 80 , 93299 , 75172 , 0
4989661.3 , 2 , 83 , 85273 , 70098 , 0
5002624.3 , 1 , 80 , 93261 , 75172 , 0
5251958.3 , 2 , 83 , 85296 , 70098 , 0
5265007.7 , 1 , 80 , 93269 , 75180 , 0
5514256.8 , 2 , 83 , 85296 , 70083 , 0
5526226.6 , 1 , 80 , 93284 , 75172 , 0
5776555.5 , 2 , 83 , 85281 , 70091 , 0
5792513.0 , 1 , 80 , 93299 , 75164 , 0
6037857.8 , 2 , 83 , 85235 , 70083 , 0
6054812.1 , 1 , 80 , 93276 , 75195 , 0
6301153.7 , 2 , 83 , 85243 , 70075 , 0
6317111.1 , 1 , 80 , 93307 , 75195 , 0
6566445.2 , 2 , 83 , 85266 , 70068 , 0
6579409.9 , 1 , 80 , 93284 , 75210 , 0
6828742.0 , 2 , 83 , 85266 , 70075 , 0
6840710.7 , 1 , 80 , 93284 , 75187 , 0
7091040.9 , 2 , 83 , 85281 , 70083 , 0
7104007.2 , 1 , 80 , 93269 , 75180 , 0
7353341.6 , 2 , 83 , 85281 , 70053 , 0
7365308.3 , 1 , 80 , 93284 , 75180 , 0
7635655.0 , 2 , 83 , 85258 , 70060 , 0
7636584.9 , 1 , 80 , 93246 , 75195 , 0
7876939.6 , 2 , 83 , 85273 , 70060 , 0
7893893.7 , 1 , 80 , 93276 , 75195 , 0
8139239.0 , 2 , 83 , 85250 , 70060 , 0
8156193.2 , 1 , 80 , 93269 , 75180 , 0
8401538.9 , 2 , 83 , 85258 , 70068 , 0
8418494.1 , 1 , 80 , 93276 , 75187 , 0
8675804.0 , 2 , 83 , 85243 , 70075 , 0
8684781.4 , 1 , 80 , 93261 , 75172 , 0
8930124.9 , 2 , 83 , 85250 , 70114 , 0
8942094.1 , 1 , 80 , 93269 , 75164 , 0
9192422.7 , 2 , 83 , 85266 , 70083 , 0
9205388.6 , 1 , 80 , 93261 , 75164 , 0
9454720.8 , 2 , 83 , 85250 , 70098 , 0
9467689.4 , 1 , 80 , 93269 , 75202 , 0
9717021.4 , 2 , 83 , 85243 , 70075 , 0
9728998.4 , 1 , 80 , 93284 , 75202 , 0
9978323.0 , 2 , 83 , 85273 , 70091 , 0
9994279.4 , 1 , 80 , 93276 , 75202 , 0
10240627.0 , 2 , 83 , 85281 , 70098 , 0
10256586.3 , 1 , 80 , 93238 , 75172 , 0
10502921.1 , 2 , 83 , 85273 , 70083 , 0
10518882.1 , 1 , 80 , 93261 , 75172 , 0
10768211.0 , 2 , 83 , 85235 , 70068 , 0
10781175.5 , 1 , 80 , 93292 , 75187 , 0
11030508.2 , 2 , 83 , 85258 , 70068 , 0
11043474.1 , 1 , 80 , 93276 , 75172 , 0
11292807.9 , 2 , 83 , 85243 , 70083 , 0
11305774.9 , 1 , 80 , 93254 , 75195 , 0
11555107.8 , 2 , 83 , 85250 , 70098 , 0
11568073.4 , 1 , 80 , 93261 , 75180 , 0
11817404.5 , 2 , 83 , 85250 , 70083 , 0
11829373.0 , 1 , 80 , 93269 , 75164 , 0
12079704.4 , 2 , 83 , 85266 , 70091 , 0
12095662.3 , 1 , 80 , 93254 , 75172 , 0
12342003.0 , 2 , 83 , 85258 , 70083 , 0
12357959.2 , 1 , 80 , 93261 , 75164 , 0
12604303.5 , 2 , 83 , 85258 , 70091 , 0
12621260.1 , 1 , 80 , 93284 , 75172 , 0
12870592.1 , 2 , 83 , 85243 , 70098 , 0
12882558.2 , 1 , 80 , 93269 , 75172 , 0
13131890.8 , 2 , 83 , 85266 , 70098 , 0
13144855.8 , 1 , 80 , 93215 , 75195 , 0
13394188.8 , 2 , 83 , 85250 , 70121 , 0
13407159.1 , 1 , 80 , 93269 , 75187 , 0
13656489.0 , 2 , 83 , 85258 , 70098 , 0
13668456.9 , 1 , 80 , 93223 , 75180 , 0
13918787.5 , 2 , 83 , 85250 , 70106 , 0
13930755.6 , 1 , 80 , 93238 , 75187 , 0
14181084.0 , 2 , 83 , 85266 , 70106 , 0
14197051.3 , 1 , 80 , 93238 , 75187 , 0
14443385.1 , 2 , 83 , 85273 , 70091 , 0
14459340.3 , 1 , 80 , 93238 , 75172 , 0
14704686.8 , 2 , 83 , 85258 , 70106 , 0
14721640.0 , 1 , 80 , 93254 , 75195 , 0
14966984.3 , 2 , 83 , 85250 , 70114 , 0
14982940.0 , 1 , 80 , 93231 , 75180 , 0
15233278.5 , 2 , 83 , 85250 , 70129 , 0
15246237.8 , 1 , 80 , 93238 , 75172 , 0
15495571.2 , 2 , 83 , 85266 , 70098 , 0
15508539.4 , 1 , 80 , 93246 , 75172 , 0
15757873.2 , 2 , 83 , 85266 , 70114 , 0
15769837.5 , 1 , 80 , 93254 , 75202 , 0
16019170.7 , 2 , 83 , 85266 , 70114 , 0
16032136.2 , 1 , 80 , 93276 , 75218 , 0
16281472.7 , 2 , 83 , 85327 , 70114 , 0
16297427.3 , 1 , 80 , 93292 , 75218 , 0
16545764.5 , 2 , 83 , 85250 , 70106 , 0
16559729.4 , 1 , 80 , 93292 , 75225 , 0
16806102.1 , 2 , 83 , 85273 , 70106 , 0
16823021.1 , 1 , 80 , 93292 , 75210 , 0
17068365.7 , 2 , 83 , 85304 , 70114 , 0
17084322.5 , 1 , 80 , 93261 , 75218 , 0
17333656.3 , 2 , 83 , 85273 , 70114 , 0
17347619.2 , 1 , 80 , 93269 , 75195 , 0
17596952.3 , 2 , 83 , 85266 , 70121 , 0
17609926.5 , 1 , 80 , 93238 , 75187 , 0
17859253.2 , 2 , 83 , 85243 , 70098 , 0
17871218.7 , 1 , 80 , 93261 , 75187 , 0
18120552.0 , 2 , 83 , 85266 , 70114 , 0
18133516.6 , 1 , 80 , 93269 , 75195 , 0
18382851.3 , 2 , 83 , 85281 , 70106 , 0
18394821.4 , 1 , 80 , 93292 , 75180 , 0
18645153.5 , 2 , 83 , 85227 , 70098 , 0
18661139.5 , 1 , 80 , 93246 , 75195 , 0
18907448.0 , 2 , 83 , 85227 , 70098 , 0
18923405.4 , 1 , 80 , 93254 , 75187 , 0
19169746.7 , 2 , 83 , 85243 , 70106 , 0
19185703.9 , 1 , 80 , 93276 , 75202 , 0
19435037.6 , 2 , 83 , 85266 , 70106 , 0
19448005.5 , 1 , 80 , 93246 , 75195 , 0
19697340.0 , 2 , 83 , 85243 , 70091 , 0
19710304.1 , 1 , 80 , 93254 , 75202 , 0
19959636.2 , 2 , 83 , 85250 , 70091 , 0
19972602.2 , 1 , 80 , 93231 , 75202 , 0
20221941.9 , 2 , 83 , 85258 , 70091 , 0
20233902.0 , 1 , 80 , 93307 , 75187 , 0
20484233.8 , 2 , 83 , 85258 , 70098 , 0
20496213.9 , 1 , 80 , 93193 , 75195 , 0
20746534.9 , 2 , 83 , 85250 , 70075 , 0
20762493.1 , 1 , 80 , 93231 , 75195 , 0
21008829.1 , 2 , 83 , 85227 , 70091 , 0
21024787.3 , 1 , 80 , 93246 , 75210 , 0
21270131.0 , 2 , 83 , 85258 , 70098 , 0
21287086.2 , 1 , 80 , 93299 , 75218 , 0
21532433.1 , 2 , 83 , 85258 , 70091 , 0
21549385.3 , 1 , 80 , 93238 , 75187 , 0
21798719.8 , 2 , 83 , 85250 , 70068 , 0
21811689.0 , 1 , 80 , 93238 , 75180 , 0
22061017.2 , 2 , 83 , 85227 , 70060 , 0
22072985.5 , 1 , 80 , 93246 , 75180 , 0
22323316.0 , 2 , 83 , 85227 , 70075 , 0
22336282.0 , 1 , 80 , 93215 , 75164 , 0
22604564.7 , 2 , 83 , 85220 , 70083 , 0
22605565.7 , 1 , 80 , 93223 , 75157 , 0
22846927.4 , 2 , 83 , 85235 , 70083 , 0
22862874.8 , 1 , 80 , 93223 , 75149 , 0
23109214.7 , 2 , 83 , 85227 , 70083 , 0
23125171.5 , 1 , 80 , 93254 , 75172 , 0
23371515.9 , 2 , 83 , 85243 , 70091 , 0
23388484.7 , 1 , 80 , 93254 , 75180 , 0
23633818.3 , 2 , 83 , 85243 , 70106 , 0
23649770.4 , 1 , 80 , 93261 , 75172 , 0
23899103.6 , 2 , 83 , 85258 , 70091 , 0
23912068.0 , 1 , 80 , 93269 , 75172 , 0
24162398.3 , 2 , 83 , 85174 , 70083 , 0
24174366.7 , 1 , 80 , 93269 , 75172 , 0
24423699.8 , 2 , 83 , 85220 , 70091 , 0
24436666.0 , 1 , 80 , 93223 , 75172 , 0
24689987.9 , 2 , 83 , 85250 , 70098 , 0
24704948.1 , 1 , 80 , 93231 , 75172 , 0
24949296.8 , 2 , 83 , 85243 , 70098 , 0
24960265.8 , 1 , 80 , 93246 , 75180 , 0
25210596.3 , 2 , 83 , 85266 , 70106 , 0
25226558.9 , 1 , 80 , 93254 , 75180 , 0
25472895.5 , 2 , 83 , 85243 , 70098 , 0
25488915.4 , 1 , 80 , 93261 , 75180 , 0
25735195.2 , 2 , 83 , 85235 , 70068 , 0
25751152.9 , 1 , 80 , 93246 , 75180 , 0
26000485.3 , 2 , 83 , 85205 , 70091 , 0
26013450.1 , 1 , 80 , 93238 , 75172 , 0
26262782.5 , 2 , 83 , 85227 , 70098 , 0
26275749.5 , 1 , 80 , 93223 , 75157 , 0
26525081.9 , 2 , 83 , 85258 , 70083 , 0
26538050.4 , 1 , 80 , 93200 , 75157 , 0
26787383.6 , 2 , 83 , 85243 , 70083 , 0
26800346.6 , 1 , 80 , 93238 , 75180 , 0
27049679.6 , 2 , 83 , 85243 , 70091 , 0
27061647.1 , 1 , 80 , 93261 , 75187 , 0
27311989.7 , 2 , 83 , 85235 , 70075 , 0
27327934.9 , 1 , 80 , 93238 , 75172 , 0
27574277.6 , 2 , 83 , 85189 , 70068 , 0
27590233.7 , 1 , 80 , 93208 , 75164 , 0
27835578.6 , 2 , 83 , 85189 , 70068 , 0
27852533.7 , 1 , 80 , 93200 , 75164 , 0
28097877.2 , 2 , 83 , 85136 , 70060 , 0
28114831.0 , 1 , 80 , 93261 , 75164 , 0
28364164.6 , 2 , 83 , 85205 , 70060 , 0
28376133.2 , 1 , 80 , 93276 , 75195 , 0
28626464.4 , 2 , 83 , 85189 , 70083 , 0
28639430.0 , 1 , 80 , 93254 , 75187 , 0
28888784.5 , 2 , 83 , 85189 , 70075 , 0
28900730.1 , 1 , 80 , 93238 , 75172 , 0
29151061.3 , 2 , 83 , 85205 , 70075 , 0
29163029.8 , 1 , 80 , 93238 , 75172 , 0
29412392.6 , 2 , 83 , 85174 , 70060 , 0
29428320.1 , 1 , 80 , 93254 , 75180 , 0
29674662.0 , 2 , 83 , 85220 , 70068 , 0
29691617.4 , 1 , 80 , 93284 , 75164 , 0
29937958.4 , 2 , 83 , 85159 , 70045 , 0
29953938.2 , 1 , 80 , 93215 , 75164 , 0
30199258.7 , 2 , 83 , 85189 , 70053 , 0
30215215.8 , 1 , 80 , 93200 , 75157 , 0
30464548.9 , 2 , 83 , 85197 , 70060 , 0
30477513.7 , 1 , 80 , 93261 , 75157 , 0
30727844.4 , 2 , 83 , 85205 , 70083 , 0
30747791.2 , 1 , 80 , 93238 , 75157 , 0
30990145.4 , 2 , 83 , 85189 , 70068 , 0
31002111.6 , 1 , 80 , 93238 , 75164 , 0
31252459.7 , 2 , 83 , 85212 , 70075 , 0
31264411.0 , 1 , 80 , 93254 , 75157 , 0
31513745.7 , 2 , 83 , 85235 , 70060 , 0
31526710.7 , 1 , 80 , 93307 , 75172 , 0
31776045.4 , 2 , 83 , 85197 , 70060 , 0
31792000.3 , 1 , 80 , 93276 , 75172 , 0
32038341.6 , 2 , 83 , 85220 , 70053 , 0
32054302.8 , 1 , 80 , 93254 , 75149 , 0
32300640.2 , 2 , 83 , 85243 , 70045 , 0
32316598.4 , 1 , 80 , 93246 , 75149 , 0
32562939.3 , 2 , 83 , 85189 , 70053 , 0
32578902.1 , 1 , 80 , 93215 , 75141 , 0
32828229.2 , 2 , 83 , 85235 , 70068 , 0
32841195.0 , 1 , 80 , 93208 , 75149 , 0
33090536.1 , 2 , 83 , 85220 , 70068 , 0
33103493.9 , 1 , 80 , 93238 , 75164 , 0
33352828.4 , 2 , 83 , 85258 , 70068 , 0
33365793.1 , 1 , 80 , 93284 , 75164 , 0
33615126.4 , 2 , 83 , 85258 , 70083 , 0
33628095.9 , 1 , 80 , 93246 , 75149 , 0
33877457.0 , 2 , 83 , 85189 , 70068 , 0
33893383.9 , 1 , 80 , 93215 , 75141 , 0
34139725.3 , 2 , 83 , 85220 , 70098 , 0
34155680.7 , 1 , 80 , 93208 , 75149 , 0
34401024.7 , 2 , 83 , 85258 , 70091 , 0
34417979.2 , 1 , 80 , 93215 , 75134 , 0
34664323.2 , 2 , 83 , 85243 , 70098 , 0
34680279.5 , 1 , 80 , 93208 , 75141 , 0
34929612.3 , 2 , 83 , 85227 , 70091 , 0
34942577.3 , 1 , 80 , 93223 , 75157 , 0
35191911.0 , 2 , 83 , 85197 , 70083 , 0
35203878.3 , 1 , 80 , 93223 , 75149 , 0
35454208.8 , 2 , 83 , 85197 , 70091 , 0
35466179.1 , 1 , 80 , 93200 , 75141 , 0
35716509.4 , 2 , 83 , 85205 , 70083 , 0
35728476.3 , 1 , 80 , 93223 , 75149 , 0
35978807.6 , 2 , 83 , 85212 , 70075 , 0
35993767.0 , 1 , 80 , 93215 , 75149 , 0
36240106.2 , 2 , 83 , 85212 , 70083 , 0
36256064.5 , 1 , 80 , 93223 , 75157 , 0
36502441.7 , 2 , 83 , 85235 , 70075 , 0
36519362.1 , 1 , 80 , 93261 , 75157 , 0
36764709.3 , 2 , 83 , 85235 , 70068 , 0
36781659.7 , 1 , 80 , 93215 , 75157 , 0
37029996.0 , 2 , 83 , 85205 , 70075 , 0
37042960.7 , 1 , 80 , 93200 , 75149 , 0
37293291.9 , 2 , 83 , 85189 , 70060 , 0
37305260.8 , 1 , 80 , 93208 , 75157 , 0
37555590.6 , 2 , 83 , 85212 , 70083 , 0
37567559.8 , 1 , 80 , 93215 , 75195 , 0
37816892.7 , 2 , 83 , 85243 , 70075 , 0
37829867.7 , 1 , 80 , 93185 , 75164 , 0
38080211.3 , 2 , 83 , 85258 , 70083 , 0
38092158.1 , 1 , 80 , 93170 , 75172 , 0
38341489.2 , 2 , 83 , 85220 , 70098 , 0
38357451.6 , 1 , 80 , 93215 , 75149 , 0
38603787.4 , 2 , 83 , 85205 , 70091 , 0
38619796.6 , 1 , 80 , 93200 , 75157 , 0
38866086.6 , 2 , 83 , 85227 , 70091 , 0
38891020.1 , 1 , 80 , 93208 , 75141 , 0
39128384.8 , 2 , 83 , 85227 , 70083 , 0
39144348.9 , 1 , 80 , 93200 , 75149 , 0
39393679.9 , 2 , 83 , 85212 , 70091 , 0
39406643.5 , 1 , 80 , 93200 , 75157 , 0
39655975.1 , 2 , 83 , 85227 , 70098 , 0
39668943.4 , 1 , 80 , 93261 , 75157 , 0
39918298.1 , 2 , 83 , 85220 , 70068 , 0
39931240.9 , 1 , 80 , 93238 , 75134 , 0
40180571.1 , 2 , 83 , 85212 , 70068 , 0
40192540.4 , 1 , 80 , 93215 , 75141 , 0
40442869.6 , 2 , 83 , 85212 , 70068 , 0
40458827.6 , 1 , 80 , 93231 , 75157 , 0
40705169.3 , 2 , 83 , 85220 , 70060 , 0
40721128.5 , 1 , 80 , 93238 , 75157 , 0
40967469.0 , 2 , 83 , 85220 , 70068 , 0
40983426.4 , 1 , 80 , 93223 , 75149 , 0
41228769.8 , 2 , 83 , 85220 , 70060 , 0
41245723.7 , 1 , 80 , 93284 , 75164 , 0
41495057.7 , 2 , 83 , 85220 , 70060 , 0
41508022.8 , 1 , 80 , 93223 , 75134 , 0
41757356.4 , 2 , 83 , 85220 , 70083 , 0
41769326.7 , 1 , 80 , 93238 , 75134 , 0
42019657.3 , 2 , 83 , 85273 , 70083 , 0
42031622.5 , 1 , 80 , 93231 , 75141 , 0
42281954.1 , 2 , 83 , 85250 , 70068 , 0
42293922.4 , 1 , 80 , 93231 , 75149 , 0
42544252.6 , 2 , 83 , 85243 , 70068 , 0
42559214.1 , 1 , 80 , 93208 , 75134 , 0
42805556.0 , 2 , 83 , 85281 , 70083 , 0
42822510.0 , 1 , 80 , 93215 , 75134 , 0
43067854.6 , 2 , 83 , 85220 , 70083 , 0
43084807.8 , 1 , 80 , 93246 , 75141 , 0
43330150.5 , 2 , 83 , 85235 , 70068 , 0
43347119.1 , 1 , 80 , 93269 , 75157 , 0
43596439.0 , 2 , 83 , 85289 , 70068 , 0
43609404.8 , 1 , 80 , 93269 , 75157 , 0
43858738.0 , 2 , 83 , 85227 , 70060 , 0
43870707.1 , 1 , 80 , 93238 , 75157 , 0
44121036.9 , 2 , 83 , 85227 , 70083 , 0
44133005.8 , 1 , 80 , 93215 , 75157 , 0
44382338.2 , 2 , 83 , 85235 , 70068 , 0
44395303.9 , 1 , 80 , 93292 , 75164 , 0
44644638.2 , 2 , 83 , 85205 , 70091 , 0
44657601.6 , 1 , 80 , 93231 , 75157 , 0
44926883.5 , 2 , 83 , 85205 , 70075 , 0
44927880.4 , 1 , 80 , 93231 , 75157 , 0
45169234.2 , 2 , 83 , 85250 , 70083 , 0
45185196.5 , 1 , 80 , 93231 , 75149 , 0
45431531.6 , 2 , 83 , 85235 , 70083 , 0
45447494.2 , 1 , 80 , 93208 , 75149 , 0
45696828.1 , 2 , 83 , 85258 , 70075 , 0
45709790.7 , 1 , 80 , 93231 , 75141 , 0
45959125.3 , 2 , 83 , 85235 , 70091 , 0
45972087.3 , 1 , 80 , 93208 , 75149 , 0
46222421.6 , 2 , 83 , 85235 , 70098 , 0
46234387.9 , 1 , 80 , 93238 , 75149 , 0
46483723.9 , 2 , 83 , 85304 , 70098 , 0
46495687.6 , 1 , 80 , 93223 , 75126 , 0
46746017.7 , 2 , 83 , 85243 , 70083 , 0
46758984.7 , 1 , 80 , 93208 , 75141 , 0
47008318.7 , 2 , 83 , 85235 , 70075 , 0
47020285.4 , 1 , 80 , 93185 , 75149 , 0
47270617.6 , 2 , 83 , 85266 , 70075 , 0
47286573.4 , 1 , 80 , 93246 , 75164 , 0
47531915.9 , 2 , 83 , 85289 , 70091 , 0
47548871.8 , 1 , 80 , 93276 , 75157 , 0
47795213.8 , 2 , 83 , 85243 , 70083 , 0
47811175.0 , 1 , 80 , 93231 , 75149 , 0
48060504.4 , 2 , 83 , 85258 , 70091 , 0
48073469.7 , 1 , 80 , 93246 , 75149 , 0
48322802.1 , 2 , 83 , 85243 , 70075 , 0
48334770.4 , 1 , 80 , 93231 , 75149 , 0
48585101.1 , 2 , 83 , 85235 , 70060 , 0
48597068.8 , 1 , 80 , 93231 , 75164 , 0
48847401.1 , 2 , 83 , 85235 , 70053 , 0
48860367.6 , 1 , 80 , 93269 , 75164 , 0
49109699.5 , 2 , 83 , 85235 , 70068 , 0
49121666.8 , 1 , 80 , 93246 , 75157 , 0
49370999.6 , 2 , 83 , 85235 , 70060 , 0
49386958.0 , 1 , 80 , 93238 , 75157 , 0
49633326.8 , 2 , 83 , 85243 , 70060 , 0
49650255.2 , 1 , 80 , 93231 , 75157 , 0
49895601.1 , 2 , 83 , 85235 , 70075 , 0
49912554.6 , 1 , 80 , 93246 , 75172 , 0
50161894.2 , 2 , 83 , 85243 , 70075 , 0
50173853.3 , 1 , 80 , 93223 , 75157 , 0
50424184.1 , 2 , 83 , 85243 , 70091 , 0
50436152.8 , 1 , 80 , 93284 , 75157 , 0
50686483.1 , 2 , 83 , 85258 , 70075 , 0
50698455.0 , 1 , 80 , 93238 , 75157 , 0
50960758.1 , 2 , 83 , 85289 , 70083 , 0
