1004.2 , 	9974.7 , 	2628007.3 , ---------------------
2628972.1 , SENSOR 2
2632013.8 , window_factor 7.63
2632013.8 , sensitivity: low
3156579.4 , target (180000) , 179687.50
3157591.5 , threshold (140000) , 132812.50
3157591.5 , 
3430828.9 , SENSOR 1
3431835.2 , window_factor 7.63
3432822.9 , sensitivity: low
3955451.5 , target (180000) , 179687.50
3959440.6 , threshold (140000) , 132812.50
3959440.6 , 
4233680.7 , Sensor, Temp , F_sens , F_ref, Rech_Count
4237732.3 , 1 , 80 , 172050 , 169700 , 0
4239672.4 , 2 , 82 , 172241 , 170257 , 0
4467055.7 , 2 , 82 , 172325 , 170242 , 0
4483016.5 , 1 , 80 , 172088 , 169700 , 0
4730378.0 , 2 , 83 , 172241 , 170257 , 0
4745315.2 , 1 , 80 , 172103 , 169700 , 0
4994646.0 , 2 , 83 , 172248 , 170249 , 0
5008608.4 , 1 , 80 , 172050 , 169708 , 0
5256993.3 , 2 , 83 , 172225 , 170249 , 0
5269909.7 , 1 , 80 , 172103 , 169708 , 0
5519492.2 , 2 , 83 , 172218 , 170257 , 0
5532240.5 , 1 , 80 , 172081 , 169715 , 0
5781715.9 , 2 , 83 , 172218 , 170249 , 0
5794508.5 , 1 , 80 , 172073 , 169715 , 0
6043841.2 , 2 , 83 , 172203 , 170249 , 0
6059817.5 , 1 , 80 , 172180 , 169723 , 0
6306139.2 , 2 , 83 , 172187 , 170249 , 0
6322260.3 , 1 , 80 , 172096 , 169715 , 0
6568455.2 , 2 , 83 , 172203 , 170257 , 0
6584441.8 , 1 , 80 , 172203 , 169723 , 0
6830822.2 , 2 , 83 , 172218 , 170249 , 0
6846890.9 , 1 , 80 , 172081 , 169723 , 0
7092263.6 , 2 , 83 , 172218 , 170249 , 0
7109226.2 , 1 , 80 , 172126 , 169723 , 0
7358532.0 , 2 , 83 , 172241 , 170249 , 0
7371487.5 , 1 , 80 , 172096 , 169731 , 0
7620822.7 , 2 , 83 , 172225 , 170257 , 0
7632820.6 , 1 , 80 , 172103 , 169731 , 0
7883121.5 , 2 , 83 , 172241 , 170249 , 0
7895113.0 , 1 , 80 , 172088 , 169738 , 0
8145445.0 , 2 , 83 , 172225 , 170257 , 0
8160394.0 , 1 , 80 , 172081 , 169731 , 0
8406719.3 , 2 , 83 , 172225 , 170257 , 0
8423674.2 , 1 , 80 , 172126 , 169731 , 0
8670014.7 , 2 , 83 , 172241 , 170249 , 0
8685972.2 , 1 , 80 , 172088 , 169731 , 0
8931317.6 , 2 , 83 , 172210 , 170249 , 0
8947275.7 , 1 , 80 , 172096 , 169731 , 0
9193615.6 , 2 , 83 , 172218 , 170257 , 0
9209577.8 , 1 , 80 , 172119 , 169731 , 0
9458908.9 , 2 , 83 , 172286 , 170257 , 0
9471871.6 , 1 , 80 , 172096 , 169723 , 0
9721205.2 , 2 , 83 , 172256 , 170257 , 0
9736164.2 , 1 , 80 , 172088 , 169731 , 0
9983506.0 , 2 , 83 , 172248 , 170257 , 0
9996469.2 , 1 , 80 , 172203 , 169731 , 0
10245803.2 , 2 , 83 , 172241 , 170257 , 0
10258767.6 , 1 , 80 , 172088 , 169731 , 0
10508101.1 , 2 , 83 , 172248 , 170265 , 0
10524059.2 , 1 , 80 , 172203 , 169731 , 0
10770399.7 , 2 , 83 , 172332 , 170265 , 0
10786360.7 , 1 , 80 , 172081 , 169723 , 0
11032699.2 , 2 , 83 , 172203 , 170257 , 0
11048655.9 , 1 , 80 , 172065 , 169731 , 0
11294997.8 , 2 , 83 , 172248 , 170257 , 0
11310954.4 , 1 , 80 , 172073 , 169731 , 0
11557295.3 , 2 , 83 , 172233 , 170265 , 0
11592202.7 , 1 , 80 , 172103 , 169738 , 0
11822588.2 , 2 , 83 , 172256 , 170265 , 0
11835553.5 , 1 , 80 , 172172 , 169738 , 0
12084886.2 , 2 , 83 , 172256 , 170257 , 0
12096853.3 , 1 , 80 , 172096 , 169731 , 0
12347183.8 , 2 , 83 , 172225 , 170265 , 0
12359152.5 , 1 , 80 , 172096 , 169738 , 0
12609482.4 , 2 , 83 , 172225 , 170265 , 0
12622451.9 , 1 , 80 , 172111 , 169738 , 0
12871783.1 , 2 , 83 , 172286 , 170265 , 0
12887740.4 , 1 , 80 , 172081 , 169746 , 0
13133082.0 , 2 , 83 , 172264 , 170265 , 0
13150037.2 , 1 , 80 , 172096 , 169738 , 0
13395381.9 , 2 , 83 , 172248 , 170265 , 0
13412336.8 , 1 , 80 , 172088 , 169746 , 0
13657683.2 , 2 , 83 , 172233 , 170265 , 0
13674637.7 , 1 , 80 , 172103 , 169746 , 0
13923974.0 , 2 , 83 , 172256 , 170265 , 0
13936933.9 , 1 , 80 , 172096 , 169746 , 0
14186266.3 , 2 , 83 , 172225 , 170265 , 0
14198234.8 , 1 , 80 , 172096 , 169746 , 0
14448565.8 , 2 , 83 , 172241 , 170272 , 0
14460535.0 , 1 , 80 , 172111 , 169746 , 0
14710864.9 , 2 , 83 , 172210 , 170272 , 0
14722834.1 , 1 , 80 , 172142 , 169746 , 0
14973172.6 , 2 , 83 , 172210 , 170265 , 0
14985131.2 , 1 , 80 , 172126 , 169746 , 0
15234464.2 , 2 , 83 , 172210 , 170257 , 0
15250427.1 , 1 , 80 , 172134 , 169746 , 0
15496763.4 , 2 , 83 , 172271 , 170265 , 0
15512721.0 , 1 , 80 , 172134 , 169746 , 0
15759063.1 , 2 , 83 , 172271 , 170265 , 0
15775064.6 , 1 , 80 , 172119 , 169754 , 0
16021361.8 , 2 , 83 , 172256 , 170265 , 0
16037321.8 , 1 , 80 , 172119 , 169754 , 0
16286684.0 , 2 , 83 , 172256 , 170265 , 0
16299616.8 , 1 , 80 , 172119 , 169754 , 0
16548953.1 , 2 , 83 , 172233 , 170265 , 0
16561916.7 , 1 , 80 , 172134 , 169754 , 0
16811250.3 , 2 , 83 , 172256 , 170265 , 0
16824215.2 , 1 , 80 , 172119 , 169754 , 0
17074544.9 , 2 , 83 , 172264 , 170272 , 0
17087545.6 , 1 , 80 , 172119 , 169761 , 0
17335846.4 , 2 , 83 , 172348 , 170272 , 0
17348813.2 , 1 , 80 , 172126 , 169761 , 0
17598144.9 , 2 , 83 , 172256 , 170272 , 0
17614102.1 , 1 , 80 , 172203 , 169769 , 0
17860445.2 , 2 , 83 , 172233 , 170265 , 0
17876405.0 , 1 , 80 , 172119 , 169761 , 0
18122742.0 , 2 , 83 , 172225 , 170272 , 0
18138699.2 , 1 , 80 , 172134 , 169754 , 0
18384043.6 , 2 , 83 , 172203 , 170265 , 0
18400998.8 , 1 , 80 , 172111 , 169754 , 0
18650331.4 , 2 , 83 , 172210 , 170265 , 0
18663298.9 , 1 , 80 , 172103 , 169761 , 0
18912631.7 , 2 , 83 , 172210 , 170257 , 0
18926593.4 , 1 , 80 , 172103 , 169754 , 0
19174930.3 , 2 , 83 , 172241 , 170265 , 0
19186896.0 , 1 , 80 , 172103 , 169754 , 0
19437227.2 , 2 , 83 , 172264 , 170257 , 0
19449195.7 , 1 , 80 , 172126 , 169754 , 0
19699526.7 , 2 , 83 , 172225 , 170257 , 0
19711495.9 , 1 , 80 , 172164 , 169754 , 0
19960829.8 , 2 , 83 , 172225 , 170265 , 0
19976785.0 , 1 , 80 , 172149 , 169761 , 0
20223126.1 , 2 , 83 , 172241 , 170265 , 0
20239083.8 , 1 , 80 , 172142 , 169761 , 0
20485441.2 , 2 , 83 , 172264 , 170265 , 0
20501382.3 , 1 , 80 , 172134 , 169761 , 0
20750717.5 , 2 , 83 , 172241 , 170265 , 0
20763682.1 , 1 , 80 , 172081 , 169754 , 0
21013016.0 , 2 , 83 , 172241 , 170265 , 0
21025979.2 , 1 , 80 , 172134 , 169769 , 0
21276311.1 , 2 , 83 , 172241 , 170272 , 0
21288278.8 , 1 , 80 , 172134 , 169769 , 0
21538611.0 , 2 , 83 , 172241 , 170265 , 0
21550576.8 , 1 , 80 , 172134 , 169769 , 0
21799912.8 , 2 , 83 , 172256 , 170257 , 0
21812878.3 , 1 , 80 , 172157 , 169776 , 0
22062208.8 , 2 , 83 , 172264 , 170272 , 0
22074177.6 , 1 , 80 , 172142 , 169761 , 0
22324508.5 , 2 , 83 , 172256 , 170272 , 0
22340469.9 , 1 , 80 , 172134 , 169761 , 0
22586806.3 , 2 , 83 , 172248 , 170265 , 0
22602772.3 , 1 , 80 , 172149 , 169769 , 0
22849106.8 , 2 , 83 , 172241 , 170265 , 0
22865067.6 , 1 , 80 , 172142 , 169769 , 0
23114397.0 , 2 , 83 , 172233 , 170272 , 0
23127361.0 , 1 , 80 , 172164 , 169769 , 0
23376699.3 , 2 , 83 , 172241 , 170272 , 0
23389660.8 , 1 , 80 , 172142 , 169769 , 0
23638993.4 , 2 , 83 , 172256 , 170265 , 0
23650964.7 , 1 , 80 , 172142 , 169769 , 0
23901300.6 , 2 , 83 , 172225 , 170265 , 0
23913261.3 , 1 , 80 , 172164 , 169776 , 0
24163593.0 , 2 , 83 , 172256 , 170265 , 0
24175557.5 , 1 , 80 , 172142 , 169769 , 0
24425889.6 , 2 , 83 , 172233 , 170265 , 0
24441846.4 , 1 , 80 , 172142 , 169769 , 0
24688188.3 , 2 , 83 , 172233 , 170265 , 0
24704148.1 , 1 , 80 , 172142 , 169769 , 0
24950493.9 , 2 , 83 , 172233 , 170265 , 0
24966444.6 , 1 , 80 , 172218 , 169769 , 0
25215779.9 , 2 , 83 , 172241 , 170265 , 0
25228743.1 , 1 , 80 , 172164 , 169776 , 0
25478079.9 , 2 , 83 , 172241 , 170265 , 0
25490045.6 , 1 , 80 , 172172 , 169776 , 0
25740375.1 , 2 , 83 , 172241 , 170265 , 0
25753341.8 , 1 , 80 , 172126 , 169776 , 0
26002676.9 , 2 , 83 , 172210 , 170265 , 0
26014674.6 , 1 , 80 , 172134 , 169776 , 0
26263975.4 , 2 , 83 , 172256 , 170265 , 0
26276940.4 , 1 , 80 , 172119 , 169776 , 0
26526273.9 , 2 , 83 , 172248 , 170272 , 0
26539239.4 , 1 , 80 , 172119 , 169776 , 0
26788575.2 , 2 , 83 , 172264 , 170265 , 0
26804531.8 , 1 , 80 , 172126 , 169776 , 0
27050872.9 , 2 , 83 , 172241 , 170272 , 0
27066828.6 , 1 , 80 , 172111 , 169776 , 0
27313170.6 , 2 , 83 , 172248 , 170272 , 0
27329126.4 , 1 , 80 , 172149 , 169784 , 0
27578461.9 , 2 , 83 , 172271 , 170272 , 0
27591427.6 , 1 , 80 , 172149 , 169776 , 0
27841756.6 , 2 , 83 , 172348 , 170265 , 0
27853727.6 , 1 , 80 , 172142 , 169784 , 0
28104057.1 , 2 , 83 , 172218 , 170265 , 0
28116023.3 , 1 , 80 , 172187 , 169784 , 0
28365356.8 , 2 , 83 , 172233 , 170272 , 0
28378322.8 , 1 , 80 , 172180 , 169784 , 0
28627655.7 , 2 , 83 , 172210 , 170272 , 0
28639626.0 , 1 , 80 , 172157 , 169784 , 0
28889961.2 , 2 , 83 , 172241 , 170272 , 0
28902919.5 , 1 , 80 , 172157 , 169776 , 0
29152253.8 , 2 , 83 , 172264 , 170265 , 0
29168210.0 , 1 , 80 , 172180 , 169784 , 0
29414551.3 , 2 , 83 , 172256 , 170265 , 0
29430515.3 , 1 , 80 , 172157 , 169784 , 0
29679847.1 , 2 , 83 , 172256 , 170265 , 0
29692822.0 , 1 , 80 , 172157 , 169784 , 0
29942142.2 , 2 , 83 , 172233 , 170265 , 0
29955107.5 , 1 , 80 , 172149 , 169784 , 0
30204449.4 , 2 , 83 , 172241 , 170265 , 0
30216408.4 , 1 , 80 , 172218 , 169776 , 0
30466744.5 , 2 , 83 , 172210 , 170265 , 0
30478706.5 , 1 , 80 , 172149 , 169792 , 0
30729038.1 , 2 , 83 , 172218 , 170272 , 0
30741008.1 , 1 , 80 , 172164 , 169792 , 0
30991368.2 , 2 , 83 , 172203 , 170265 , 0
31003305.2 , 1 , 80 , 172187 , 169799 , 0
