2623984.3 , ---------------------
2627974.2 , SENSOR 1
2627974.2 , window_factor 7.63
2629971.2 , sensitivity: high
3152572.1 , target (90000) , 85937.50
3153569.0 , threshold (50000) , 46875.00
3153569.0 , 
3425840.7 , SENSOR 2
3426838.5 , window_factor 7.63
3429838.0 , sensitivity: high
3954427.1 , target (90000) , 85937.50
3955424.7 , threshold (50000) , 46875.00
3956426.0 , 
4229691.0 , Sensor, Temp , F_sens , F_ref, Rech_Count
4233680.8 , 1 , 80 , 86303 , 75553 , 0
4233680.8 , 2 , 82 , 124656 , 70121 , 0
4234680.7 , PASSIVE 2
4235674.6 , STANDBY 2
4236674.2 , recharge time and start time: 8.00  2605
4466069.9 , 1 , 80 , 86303 , 75546 , 0
4728357.8 , 1 , 80 , 86265 , 75546 , 0
4990655.6 , 1 , 80 , 86257 , 75569 , 0
5252955.9 , 1 , 80 , 86212 , 75576 , 0
5516253.6 , 1 , 80 , 86212 , 75584 , 0
5777553.1 , 1 , 80 , 86212 , 75576 , 0
6039850.1 , 1 , 80 , 86189 , 75584 , 0
6302150.3 , 1 , 80 , 86166 , 75592 , 0
6567441.8 , 1 , 80 , 86128 , 75561 , 0
6829739.3 , 1 , 80 , 86090 , 75538 , 0
7092081.5 , 1 , 80 , 86067 , 75531 , 0
7354339.1 , 1 , 80 , 86051 , 75561 , 0
7616636.0 , 1 , 80 , 86059 , 75561 , 0
7877937.9 , 1 , 80 , 86051 , 75576 , 0
8140236.3 , 1 , 80 , 86044 , 75576 , 0
8402536.4 , 1 , 80 , 86051 , 75561 , 0
8668824.4 , 1 , 80 , 85983 , 75553 , 0
8931122.0 , 1 , 80 , 85968 , 75553 , 0
9193419.5 , 1 , 80 , 85945 , 75569 , 0
9455719.3 , 1 , 80 , 85960 , 75561 , 0
9718016.4 , 1 , 80 , 85914 , 75561 , 0
9979318.8 , 1 , 80 , 85899 , 75546 , 0
10241619.2 , 1 , 80 , 85861 , 75546 , 0
10503918.9 , 1 , 80 , 85845 , 75546 , 0
10769208.7 , 1 , 80 , 85845 , 75553 , 0
11031507.7 , 1 , 80 , 85830 , 75561 , 0
11294803.1 , 1 , 80 , 85823 , 75538 , 0
11437423.4 , ACTIVE 2
11441412.0 , ON 2
12191406.7 , SENSOR 2
12192405.6 , AUTO RECHARGE passive
12192405.6 , window_factor 7.63
12193401.0 , sensitivity: high
12716002.2 , target (90000) , 85937.50
12716999.7 , threshold (50000) , 46875.00
12718994.2 , 
12994259.6 , 1 , 80 , 85693 , 75569 , 0
12995257.7 , 2 , 83 , 124282 , 70159 , 0
12996296.9 , AUTO RECHARGE 2 active
12997249.7 , 1 , 80 , 85693 , 75569 , 0
12998250.0 , 2 , 83 , 124282 , 70159 , 0
13273512.0 , 1 , 80 , 85662 , 75546 , 0
13274510.3 , 2 , 83 , 124275 , 70159 , 0
13550774.7 , 1 , 80 , 84838 , 75546 , 0
13551777.8 , 2 , 83 , 124237 , 70152 , 0
13825039.9 , 1 , 80 , 85655 , 75553 , 0
13830023.3 , 2 , 83 , 124221 , 70129 , 0
14104288.9 , 1 , 80 , 85617 , 75561 , 0
14105297.4 , 2 , 83 , 124198 , 70121 , 0
14382579.4 , 1 , 80 , 85632 , 75553 , 0
14383544.5 , 2 , 83 , 124168 , 70121 , 0
14656812.7 , 1 , 80 , 85609 , 75546 , 0
14660804.2 , 2 , 83 , 124130 , 70114 , 0
14936066.3 , 1 , 80 , 85556 , 75546 , 0
14939058.3 , 2 , 83 , 124122 , 70121 , 0
15214321.5 , 1 , 80 , 85548 , 75546 , 0
15215320.7 , 2 , 83 , 124092 , 70106 , 0
15492579.4 , 1 , 80 , 85533 , 75546 , 0
15494574.6 , 2 , 83 , 122550 , 70129 , 0
15766844.6 , 1 , 80 , 85494 , 75538 , 0
15769900.4 , 2 , 83 , 124053 , 70129 , 0
16045100.8 , 1 , 80 , 84671 , 75553 , 0
16047098.0 , 2 , 83 , 124008 , 70137 , 0
16323357.0 , 1 , 80 , 85479 , 75553 , 0
16324355.4 , 2 , 83 , 124000 , 70137 , 0
16598620.9 , 1 , 80 , 85441 , 75569 , 0
16602610.7 , 2 , 83 , 123962 , 70137 , 0
16876878.0 , 1 , 80 , 85479 , 75546 , 0
16878877.6 , 2 , 83 , 123985 , 70129 , 0
17156129.5 , 1 , 80 , 85441 , 75553 , 0
17157127.2 , 2 , 83 , 123939 , 70137 , 0
17430399.1 , 1 , 80 , 85426 , 75538 , 0
17433389.1 , 2 , 83 , 123909 , 70129 , 0
17708652.6 , 1 , 80 , 85426 , 75546 , 0
17709651.6 , 2 , 83 , 123893 , 70114 , 0
17986908.4 , 1 , 80 , 85365 , 75531 , 0
17987906.3 , 2 , 83 , 121940 , 70129 , 0
18265167.7 , 1 , 80 , 85319 , 75538 , 0
18268157.3 , 2 , 83 , 123863 , 70121 , 0
18539432.9 , 1 , 80 , 84434 , 75523 , 0
18540429.9 , 2 , 83 , 123794 , 70129 , 0
18818685.5 , 1 , 80 , 85319 , 75546 , 0
18819682.3 , 2 , 83 , 123825 , 70129 , 0
19092950.6 , 1 , 80 , 85304 , 75546 , 0
19096942.3 , 2 , 83 , 123786 , 70129 , 0
19371209.7 , 1 , 80 , 85266 , 75538 , 0
19375197.6 , 2 , 83 , 123748 , 70121 , 0
19649466.1 , 1 , 80 , 85220 , 75546 , 0
19651461.4 , 2 , 83 , 123710 , 70114 , 0
19928718.7 , 1 , 80 , 85235 , 75531 , 0
19929718.7 , 2 , 83 , 123710 , 70114 , 0
20202991.2 , 1 , 80 , 85227 , 75531 , 0
20205977.2 , 2 , 83 , 123680 , 70137 , 0
20482241.4 , 1 , 80 , 85189 , 75531 , 0
20483235.9 , 2 , 83 , 121757 , 70129 , 0
20759498.4 , 1 , 80 , 85144 , 75538 , 0
20760495.1 , 2 , 83 , 123626 , 70121 , 0
21033768.4 , 1 , 80 , 84289 , 75523 , 0
21038770.2 , 2 , 83 , 123603 , 70106 , 0
21313016.9 , 1 , 80 , 85113 , 75523 , 0
21314013.9 , 2 , 83 , 123580 , 70106 , 0
21591272.4 , 1 , 80 , 85105 , 75538 , 0
21592272.5 , 2 , 83 , 123535 , 70098 , 0
21865541.9 , 1 , 80 , 85060 , 75523 , 0
21869529.1 , 2 , 83 , 123504 , 70106 , 0
22143795.6 , 1 , 80 , 85060 , 75546 , 0
22147783.7 , 2 , 83 , 123527 , 70114 , 0
22425044.2 , 1 , 80 , 85014 , 75538 , 0
22428035.7 , 2 , 83 , 123497 , 70098 , 0
22701306.2 , 1 , 80 , 85006 , 75546 , 0
22703301.1 , 2 , 83 , 123481 , 70106 , 0
22979565.0 , 1 , 80 , 85052 , 75538 , 0
22980558.9 , 2 , 83 , 120689 , 70121 , 0
23253828.3 , 1 , 80 , 84960 , 75538 , 0
23257816.5 , 2 , 83 , 123435 , 70121 , 0
23533080.4 , 1 , 80 , 83877 , 75538 , 0
23534078.2 , 2 , 83 , 123451 , 70098 , 0
23811337.2 , 1 , 80 , 84922 , 75538 , 0
23811337.2 , 2 , 83 , 123405 , 70106 , 0
24089595.3 , 1 , 80 , 84922 , 75523 , 0
24090592.8 , 2 , 83 , 123390 , 70106 , 0
24367850.8 , 1 , 80 , 84899 , 75523 , 0
24368846.5 , 2 , 83 , 123382 , 70106 , 0
24643112.6 , 1 , 80 , 84907 , 75538 , 0
24646105.5 , 2 , 83 , 123344 , 70106 , 0
24921371.1 , 1 , 80 , 84854 , 75569 , 0
24922370.9 , 2 , 83 , 123321 , 70114 , 0
25199625.2 , 1 , 80 , 84861 , 75569 , 0
25200623.5 , 2 , 83 , 123313 , 70106 , 0
25477880.7 , 1 , 80 , 84808 , 75569 , 0
25478879.5 , 2 , 83 , 119308 , 70098 , 0
25752150.0 , 1 , 80 , 84609 , 75569 , 0
25756177.1 , 2 , 83 , 123245 , 70091 , 0
26031401.2 , 1 , 80 , 84815 , 75553 , 0
26032398.4 , 2 , 83 , 123222 , 70091 , 0
26309659.0 , 1 , 80 , 84770 , 75553 , 0
