2631170.5 , ---------------------
2632013.2 , SENSOR 2
2632956.5 , window_factor 7.63
2633958.6 , sensitivity: high
3155585.2 , target (90000) , 85937.50
3156585.7 , threshold (50000) , 46875.00
3156585.7 , 
3428855.5 , SENSOR 1
3430823.9 , window_factor 7.63
3432873.5 , sensitivity: high
3953452.7 , target (90000) , 85937.50
3957414.7 , threshold (50000) , 46875.00
3958412.1 , 
4235839.7 , Sensor, Temp , F_sens , F_ref, Rech_Count
4237667.7 , 1 , 80 , 83480 , 75347 , 0
4238664.5 , 2 , 83 , 79101 , 70137 , 0
4470072.3 , 2 , 83 , 79086 , 70137 , 0
4482012.9 , 1 , 80 , 83503 , 75355 , 0
4732371.1 , 2 , 83 , 79086 , 70121 , 0
4744310.9 , 1 , 80 , 83526 , 75355 , 0
4994664.8 , 2 , 83 , 79101 , 70137 , 0
5006637.0 , 1 , 80 , 83503 , 75355 , 0
5255974.4 , 2 , 83 , 79086 , 70144 , 0
5268909.2 , 1 , 80 , 83526 , 75347 , 0
5518240.4 , 2 , 83 , 79124 , 70137 , 0
5530242.8 , 1 , 80 , 83526 , 75347 , 0
5780541.6 , 2 , 83 , 79055 , 70144 , 0
5796496.8 , 1 , 80 , 83503 , 75347 , 0
6042866.4 , 2 , 83 , 79093 , 70144 , 0
6058798.7 , 1 , 80 , 83503 , 75363 , 0
6305139.6 , 2 , 83 , 79071 , 70144 , 0
6321101.3 , 1 , 80 , 83511 , 75347 , 0
6570428.1 , 2 , 83 , 79109 , 70152 , 0
6583395.1 , 1 , 80 , 83534 , 75355 , 0
6832729.0 , 2 , 83 , 79101 , 70144 , 0
6845694.8 , 1 , 80 , 83526 , 75363 , 0
7095027.1 , 2 , 83 , 79063 , 70159 , 0
7108005.5 , 1 , 80 , 83518 , 75355 , 0
7357327.1 , 2 , 83 , 79017 , 70129 , 0
7370291.5 , 1 , 80 , 83503 , 75347 , 0
7620623.6 , 2 , 83 , 79055 , 70137 , 0
7632589.7 , 1 , 80 , 83465 , 75355 , 0
7881924.5 , 2 , 83 , 79025 , 70152 , 0
7897880.2 , 1 , 80 , 83465 , 75363 , 0
8144222.6 , 2 , 83 , 79010 , 70137 , 0
8160178.6 , 1 , 80 , 83412 , 75355 , 0
8405525.8 , 2 , 83 , 78926 , 70144 , 0
8422479.6 , 1 , 80 , 83412 , 75347 , 0
8667823.1 , 2 , 83 , 78971 , 70159 , 0
8684777.7 , 1 , 80 , 83412 , 75355 , 0
8934110.8 , 2 , 83 , 78948 , 70159 , 0
8946077.7 , 1 , 80 , 83412 , 75355 , 0
9196408.2 , 2 , 83 , 78926 , 70167 , 0
9208377.2 , 1 , 80 , 83335 , 75347 , 0
9464691.1 , 2 , 83 , 78918 , 70167 , 0
9471674.0 , 1 , 80 , 83320 , 75347 , 0
9721005.9 , 2 , 83 , 78826 , 70159 , 0
9732972.1 , 1 , 80 , 83328 , 75363 , 0
9982305.4 , 2 , 83 , 78834 , 70152 , 0
9998263.5 , 1 , 80 , 83290 , 75347 , 0
10244606.0 , 2 , 83 , 78804 , 70144 , 0
10260562.5 , 1 , 80 , 83244 , 75332 , 0
10506912.5 , 2 , 83 , 78781 , 70152 , 0
10522864.7 , 1 , 80 , 83229 , 75332 , 0
10769202.2 , 2 , 83 , 78742 , 70144 , 0
10785160.9 , 1 , 80 , 83206 , 75355 , 0
11034493.6 , 2 , 83 , 78720 , 70137 , 0
11047459.2 , 1 , 80 , 83213 , 75363 , 0
11296792.1 , 2 , 83 , 78720 , 70129 , 0
11309756.9 , 1 , 80 , 83183 , 75363 , 0
11560090.1 , 2 , 83 , 78681 , 70144 , 0
11572057.4 , 1 , 80 , 83175 , 75347 , 0
11821392.7 , 2 , 83 , 78697 , 70137 , 0
11834355.2 , 1 , 80 , 83221 , 75340 , 0
12083688.8 , 2 , 83 , 78689 , 70129 , 0
12095655.8 , 1 , 80 , 83106 , 75340 , 0
12345987.8 , 2 , 83 , 78628 , 70129 , 0
12361946.0 , 1 , 80 , 83106 , 75347 , 0
12608285.8 , 2 , 83 , 78590 , 70129 , 0
12624248.9 , 1 , 80 , 83114 , 75332 , 0
12870583.4 , 2 , 83 , 78605 , 70144 , 0
12886557.8 , 1 , 80 , 83091 , 75332 , 0
13135876.3 , 2 , 83 , 78582 , 70144 , 0
13149837.0 , 1 , 80 , 83076 , 75332 , 0
13398174.9 , 2 , 83 , 78559 , 70144 , 0
13411143.3 , 1 , 80 , 83045 , 75332 , 0
13660475.4 , 2 , 83 , 78529 , 70137 , 0
13673439.4 , 1 , 80 , 83030 , 75332 , 0
13923770.5 , 2 , 83 , 78552 , 70129 , 0
13934739.0 , 1 , 80 , 83007 , 75332 , 0
14185086.3 , 2 , 83 , 78483 , 70137 , 0
14198050.3 , 1 , 80 , 82969 , 75347 , 0
14447369.5 , 2 , 83 , 78475 , 70144 , 0
14463325.8 , 1 , 80 , 82977 , 75340 , 0
14709670.9 , 2 , 83 , 78453 , 70159 , 0
14725626.7 , 1 , 80 , 82908 , 75325 , 0
14970968.8 , 2 , 83 , 78430 , 70175 , 0
14987942.9 , 1 , 80 , 82931 , 75340 , 0
15237256.9 , 2 , 83 , 78422 , 70190 , 0
15249225.6 , 1 , 80 , 82901 , 75325 , 0
15499558.4 , 2 , 83 , 78384 , 70175 , 0
15512522.9 , 1 , 80 , 82901 , 75325 , 0
15761854.3 , 2 , 83 , 78376 , 70175 , 0
15773822.2 , 1 , 80 , 82885 , 75347 , 0
16024154.7 , 2 , 83 , 78376 , 70175 , 0
16036148.4 , 1 , 80 , 82862 , 75355 , 0
16286451.8 , 2 , 83 , 78315 , 70175 , 0
16298419.4 , 1 , 80 , 82809 , 75325 , 0
16547757.4 , 2 , 83 , 78315 , 70182 , 0
16560719.1 , 1 , 80 , 82801 , 75332 , 0
16811050.1 , 2 , 83 , 78300 , 70159 , 0
16826010.6 , 1 , 80 , 82794 , 75332 , 0
17072351.0 , 2 , 83 , 78308 , 70152 , 0
17088308.2 , 1 , 80 , 82786 , 75340 , 0
17334650.3 , 2 , 83 , 78247 , 70152 , 0
17350607.2 , 1 , 80 , 82717 , 75347 , 0
17600937.2 , 2 , 83 , 78208 , 70152 , 0
17612907.1 , 1 , 80 , 82748 , 75347 , 0
17863239.1 , 2 , 83 , 78193 , 70137 , 0
17875204.0 , 1 , 80 , 82748 , 75347 , 0
18124536.3 , 2 , 83 , 78178 , 70152 , 0
18137503.6 , 1 , 80 , 82710 , 75340 , 0
18386836.7 , 2 , 83 , 78155 , 70144 , 0
18399803.5 , 1 , 80 , 82664 , 75340 , 0
18649135.7 , 2 , 83 , 78147 , 70167 , 0
18662101.6 , 1 , 80 , 82641 , 75347 , 0
18912445.6 , 2 , 83 , 78117 , 70159 , 0
18927394.8 , 1 , 80 , 82633 , 75347 , 0
19173732.1 , 2 , 83 , 78117 , 70152 , 0
19189694.0 , 1 , 80 , 82626 , 75363 , 0
19436031.6 , 2 , 83 , 78071 , 70137 , 0
19451990.7 , 1 , 80 , 82626 , 75363 , 0
19701328.4 , 2 , 83 , 78048 , 70129 , 0
19714287.1 , 1 , 80 , 82626 , 75355 , 0
19963623.6 , 2 , 83 , 78056 , 70152 , 0
19976586.1 , 1 , 80 , 82595 , 75363 , 0
20225919.9 , 2 , 83 , 78056 , 70144 , 0
20238886.0 , 1 , 80 , 82565 , 75347 , 0
20488217.6 , 2 , 83 , 78010 , 70144 , 0
20501188.6 , 1 , 80 , 82534 , 75347 , 0
20750521.0 , 2 , 83 , 77957 , 70137 , 0
20762484.3 , 1 , 80 , 82519 , 75355 , 0
21012816.4 , 2 , 83 , 77987 , 70129 , 0
21028772.3 , 1 , 80 , 82519 , 75340 , 0
21275114.0 , 2 , 83 , 77911 , 70129 , 0
21291073.0 , 1 , 80 , 82496 , 75340 , 0
21536416.7 , 2 , 83 , 77926 , 70129 , 0
21553371.2 , 1 , 80 , 82458 , 75340 , 0
21799711.4 , 2 , 83 , 77911 , 70129 , 0
21815669.8 , 1 , 80 , 82420 , 75332 , 0
22065003.6 , 2 , 83 , 77880 , 70129 , 0
22076968.5 , 1 , 80 , 82405 , 75340 , 0
22327301.0 , 2 , 83 , 77873 , 70129 , 0
22339269.5 , 1 , 80 , 82405 , 75340 , 0
22589599.0 , 2 , 83 , 77827 , 70129 , 0
22601571.2 , 1 , 80 , 82389 , 75347 , 0
22851897.7 , 2 , 83 , 77835 , 70129 , 0
22863867.7 , 1 , 80 , 82366 , 75347 , 0
23113200.0 , 2 , 83 , 77819 , 70144 , 0
23129157.1 , 1 , 80 , 82321 , 75340 , 0
23375498.3 , 2 , 83 , 77796 , 70144 , 0
23391456.8 , 1 , 80 , 82321 , 75332 , 0
23637798.2 , 2 , 83 , 77751 , 70121 , 0
23654753.4 , 1 , 80 , 82283 , 75340 , 0
23900096.8 , 2 , 83 , 77705 , 70121 , 0
23916052.4 , 1 , 80 , 82275 , 75325 , 0
24165385.8 , 2 , 83 , 77735 , 70137 , 0
24178351.7 , 1 , 80 , 82275 , 75332 , 0
24427684.8 , 2 , 83 , 77697 , 70137 , 0
24440650.6 , 1 , 80 , 82237 , 75317 , 0
24690980.8 , 2 , 83 , 77674 , 70152 , 0
24702948.8 , 1 , 80 , 82214 , 75332 , 0
24952291.2 , 2 , 83 , 77651 , 70144 , 0
24965247.7 , 1 , 80 , 82206 , 75340 , 0
25214580.7 , 2 , 83 , 77621 , 70144 , 0
25230541.9 , 1 , 80 , 82176 , 75325 , 0
25476880.2 , 2 , 83 , 77606 , 70144 , 0
25492838.1 , 1 , 80 , 82168 , 75340 , 0
25739180.5 , 2 , 83 , 77568 , 70144 , 0
25755136.2 , 1 , 80 , 82153 , 75340 , 0
26001478.1 , 2 , 83 , 77598 , 70152 , 0
26017438.6 , 1 , 80 , 82145 , 75340 , 0
26266772.4 , 2 , 83 , 77568 , 70152 , 0
26279734.4 , 1 , 80 , 82138 , 75347 , 0
26529066.8 , 2 , 83 , 77537 , 70167 , 0
26542032.6 , 1 , 80 , 82145 , 75332 , 0
26791367.2 , 2 , 83 , 77507 , 70175 , 0
26804332.1 , 1 , 80 , 82138 , 75340 , 0
27053664.1 , 2 , 83 , 77468 , 70167 , 0
27066630.2 , 1 , 80 , 82038 , 75332 , 0
27315963.7 , 2 , 83 , 77484 , 70152 , 0
27331920.1 , 1 , 80 , 82023 , 75317 , 0
27578262.2 , 2 , 83 , 77392 , 70159 , 0
27594220.4 , 1 , 80 , 82023 , 75332 , 0
27840562.7 , 2 , 83 , 77415 , 70175 , 0
27856519.8 , 1 , 80 , 81993 , 75347 , 0
28101863.3 , 2 , 83 , 77392 , 70144 , 0
