2623341.4 , ---------------------
2623341.4 , SENSOR 2
2627330.5 , window_factor 7.63
2628330.8 , sensitivity: high
3151925.6 , target (130000) , 125000.00
3151925.6 , threshold (10000) , 7812.50
3152924.1 , 
3426200.4 , SENSOR 1
3427191.0 , window_factor 7.63
3428192.1 , sensitivity: high
3950790.0 , target (130000) , 125000.00
3953831.7 , threshold (10000) , 7812.50
3954780.5 , 
4229047.5 , Sensor, Temp , F_sens , F_ref, Rech_Count
4233037.3 , 1 , 80 , 125968 , 75309 , 0
4234033.1 , 2 , 83 , 124450 , 70121 , 0
4462424.6 , 2 , 83 , 124412 , 70129 , 0
4478382.4 , 1 , 80 , 126182 , 75325 , 0
4727712.8 , 2 , 83 , 124412 , 70144 , 0
4740678.5 , 1 , 80 , 126167 , 75309 , 0
4990015.9 , 2 , 83 , 124435 , 70129 , 0
5002977.6 , 1 , 80 , 126174 , 75302 , 0
5252310.1 , 2 , 83 , 124412 , 70121 , 0
5265279.7 , 1 , 80 , 126174 , 75317 , 0
5514610.9 , 2 , 83 , 124443 , 70144 , 0
5527575.1 , 1 , 80 , 126174 , 75332 , 0
5776908.5 , 2 , 83 , 124389 , 70129 , 0
5788874.5 , 1 , 80 , 126197 , 75325 , 0
6039206.6 , 2 , 83 , 124412 , 70137 , 0
6055163.1 , 1 , 80 , 126228 , 75325 , 0
6301510.1 , 2 , 83 , 124412 , 70144 , 0
6317465.0 , 1 , 80 , 126228 , 75317 , 0
6563805.0 , 2 , 83 , 124412 , 70144 , 0
6579763.4 , 1 , 80 , 126197 , 75325 , 0
6834080.9 , 2 , 83 , 124412 , 70121 , 0
6842059.7 , 1 , 80 , 126228 , 75317 , 0
7091393.2 , 2 , 83 , 124366 , 70129 , 0
7104359.5 , 1 , 80 , 126167 , 75340 , 0
7353691.9 , 2 , 83 , 124275 , 70137 , 0
7366661.5 , 1 , 80 , 126052 , 75317 , 0
7615992.0 , 2 , 83 , 124130 , 70129 , 0
7627958.3 , 1 , 80 , 125968 , 75332 , 0
7878289.8 , 2 , 83 , 124023 , 70106 , 0
7890264.3 , 1 , 80 , 125900 , 75347 , 0
8139591.0 , 2 , 83 , 123916 , 70114 , 0
8156546.0 , 1 , 80 , 125801 , 75332 , 0
8401891.5 , 2 , 83 , 123786 , 70114 , 0
8418845.8 , 1 , 80 , 125671 , 75332 , 0
8664189.3 , 2 , 83 , 123695 , 70106 , 0
8681144.3 , 1 , 80 , 125625 , 75332 , 0
8926487.8 , 2 , 83 , 123558 , 70121 , 0
8942444.0 , 1 , 80 , 125450 , 75325 , 0
9192775.6 , 2 , 83 , 123474 , 70091 , 0
9205740.7 , 1 , 80 , 125450 , 75325 , 0
9455077.2 , 2 , 83 , 123329 , 70121 , 0
9468040.2 , 1 , 80 , 125244 , 75347 , 0
9717372.5 , 2 , 83 , 123268 , 70106 , 0
9729340.4 , 1 , 80 , 125167 , 75347 , 0
9979672.6 , 2 , 83 , 123115 , 70121 , 0
9991645.1 , 1 , 80 , 125114 , 75340 , 0
10240973.5 , 2 , 83 , 123023 , 70106 , 0
10275879.6 , 1 , 80 , 124977 , 75355 , 0
10503272.8 , 2 , 83 , 122924 , 70137 , 0
10519232.5 , 1 , 80 , 124847 , 75340 , 0
10765570.4 , 2 , 83 , 122810 , 70129 , 0
10782524.0 , 1 , 80 , 124717 , 75332 , 0
11027868.9 , 2 , 83 , 122642 , 70114 , 0
11043858.5 , 1 , 80 , 124618 , 75340 , 0
11293158.9 , 2 , 83 , 122589 , 70098 , 0
11306128.6 , 1 , 80 , 124572 , 75340 , 0
11555493.5 , 2 , 83 , 122467 , 70098 , 0
11568428.7 , 1 , 80 , 124382 , 75325 , 0
11818753.5 , 2 , 83 , 122344 , 70075 , 0
11830722.5 , 1 , 80 , 124282 , 75340 , 0
12080060.1 , 2 , 83 , 122291 , 70098 , 0
12093021.6 , 1 , 80 , 124198 , 75332 , 0
12343351.1 , 2 , 83 , 122108 , 70129 , 0
12358312.5 , 1 , 80 , 124099 , 75332 , 0
12604653.5 , 2 , 83 , 121978 , 70129 , 0
12620613.8 , 1 , 80 , 123977 , 75317 , 0
12876924.6 , 2 , 83 , 121856 , 70129 , 0
12883906.7 , 1 , 80 , 123855 , 75317 , 0
13128254.3 , 2 , 83 , 121704 , 70144 , 0
13145208.0 , 1 , 80 , 123741 , 75294 , 0
13391549.5 , 2 , 83 , 121620 , 70129 , 0
13407507.3 , 1 , 80 , 123603 , 75302 , 0
13656840.0 , 2 , 83 , 121498 , 70121 , 0
13669805.6 , 1 , 80 , 123519 , 75317 , 0
13919137.7 , 2 , 83 , 121376 , 70114 , 0
13932104.3 , 1 , 80 , 123443 , 75294 , 0
14181437.6 , 2 , 83 , 121223 , 70114 , 0
