1993.9 , I7984.5 , I2630967.5 , ---------------------
2631961.4 , SENSOR 2
2632961.7 , window_factor 7.63
2632961.7 , sensitivity: low
3155562.6 , target (180000) , 179687.50
3156560.2 , threshold (140000) , 132812.50
3156560.2 , 
3429830.6 , SENSOR 1
3433817.4 , window_factor 7.63
3434817.9 , sensitivity: low
3958416.9 , target (180000) , 179687.50
3959413.6 , threshold (140000) , 132812.50
3959413.6 , 
4236670.4 , Sensor, Temp , F_sens , F_ref, Rech_Count
4237669.1 , 1 , 79 , 185165 , 170188 , 0
4238667.2 , 2 , 82 , 180274 , 170478 , 0
4470048.2 , 2 , 82 , 180336 , 170471 , 0
4482017.6 , 1 , 79 , 185249 , 170204 , 0
4732366.1 , 2 , 82 , 180244 , 170478 , 0
4745330.4 , 1 , 79 , 185256 , 170204 , 0
4994644.2 , 2 , 82 , 180244 , 170471 , 0
5006613.2 , 1 , 79 , 185241 , 170204 , 0
5256944.1 , 2 , 82 , 180213 , 170471 , 0
5271902.6 , 1 , 79 , 185363 , 170211 , 0
5519245.8 , 2 , 82 , 180259 , 170471 , 0
5534211.3 , 1 , 79 , 185218 , 170211 , 0
5781542.9 , 2 , 82 , 180267 , 170471 , 0
5797499.1 , 1 , 79 , 185218 , 170211 , 0
6042842.2 , 2 , 82 , 180236 , 170471 , 0
6058798.5 , 1 , 79 , 185256 , 170204 , 0
6305141.9 , 2 , 82 , 180244 , 170463 , 0
6321098.7 , 1 , 79 , 185241 , 170211 , 0
6570431.0 , 2 , 82 , 180244 , 170471 , 0
6583399.7 , 1 , 79 , 185256 , 170211 , 0
6832755.8 , 2 , 82 , 180267 , 170478 , 0
6845695.7 , 1 , 79 , 185249 , 170211 , 0
7095033.5 , 2 , 82 , 180267 , 170478 , 0
7107995.1 , 1 , 79 , 185234 , 170219 , 0
7357330.7 , 2 , 82 , 180244 , 170478 , 0
7370294.3 , 1 , 79 , 185218 , 170219 , 0
7619632.3 , 2 , 82 , 180267 , 170478 , 0
7635584.3 , 1 , 79 , 185318 , 170211 , 0
7881925.5 , 2 , 82 , 180244 , 170478 , 0
7897884.6 , 1 , 79 , 185272 , 170204 , 0
8144224.7 , 2 , 82 , 180229 , 170471 , 0
8160181.2 , 1 , 79 , 185241 , 170211 , 0
8406522.3 , 2 , 82 , 180259 , 170471 , 0
8422481.1 , 1 , 79 , 185256 , 170211 , 0
8668829.6 , 2 , 82 , 180236 , 170471 , 0
8684779.3 , 1 , 79 , 185295 , 170211 , 0
8934114.0 , 2 , 82 , 180351 , 170478 , 0
8947077.0 , 1 , 79 , 185264 , 170211 , 0
9196410.6 , 2 , 82 , 180267 , 170478 , 0
9209375.0 , 1 , 79 , 185279 , 170211 , 0
9458710.3 , 2 , 82 , 180244 , 170471 , 0
9470677.8 , 1 , 79 , 185249 , 170219 , 0
9721010.1 , 2 , 82 , 180259 , 170463 , 0
9732976.9 , 1 , 79 , 185249 , 170219 , 0
9983308.7 , 2 , 82 , 180229 , 170471 , 0
9999264.0 , 1 , 79 , 185241 , 170219 , 0
10246602.7 , 2 , 82 , 180259 , 170471 , 0
10261564.6 , 1 , 79 , 185279 , 170219 , 0
10506907.2 , 2 , 82 , 180236 , 170471 , 0
10523865.8 , 1 , 79 , 185241 , 170219 , 0
10769207.2 , 2 , 82 , 180229 , 170471 , 0
10786161.8 , 1 , 79 , 185264 , 170219 , 0
11035495.1 , 2 , 82 , 180229 , 170471 , 0
11047461.8 , 1 , 79 , 185287 , 170211 , 0
11297793.2 , 2 , 82 , 180244 , 170478 , 0
11309760.6 , 1 , 79 , 185256 , 170219 , 0
11560091.1 , 2 , 82 , 180213 , 170471 , 0
11572059.4 , 1 , 79 , 185249 , 170211 , 0
11822391.9 , 2 , 82 , 180259 , 170478 , 0
11834358.4 , 1 , 79 , 185218 , 170211 , 0
12083691.2 , 2 , 82 , 180236 , 170471 , 0
12096656.4 , 1 , 79 , 185234 , 170219 , 0
12345990.9 , 2 , 82 , 180244 , 170478 , 0
12361952.7 , 1 , 79 , 185256 , 170211 , 0
12608290.4 , 2 , 82 , 180252 , 170478 , 0
12624250.4 , 1 , 79 , 185318 , 170219 , 0
12870589.3 , 2 , 82 , 180244 , 170478 , 0
12886544.7 , 1 , 79 , 185279 , 170227 , 0
13132886.1 , 2 , 82 , 180236 , 170471 , 0
13148843.9 , 1 , 79 , 185249 , 170219 , 0
13398181.0 , 2 , 82 , 180267 , 170478 , 0
13411143.9 , 1 , 79 , 185256 , 170211 , 0
13660477.4 , 2 , 82 , 180267 , 170478 , 0
13673445.7 , 1 , 79 , 185279 , 170211 , 0
13922774.8 , 2 , 82 , 180236 , 170478 , 0
13934743.3 , 1 , 79 , 185264 , 170219 , 0
14185073.0 , 2 , 82 , 180236 , 170478 , 0
14197040.6 , 1 , 79 , 185256 , 170219 , 0
14447372.5 , 2 , 82 , 180236 , 170471 , 0
14463345.3 , 1 , 79 , 185249 , 170219 , 0
14709673.2 , 2 , 82 , 180252 , 170471 , 0
14725628.5 , 1 , 79 , 185318 , 170211 , 0
14971969.1 , 2 , 82 , 180259 , 170478 , 0
14987926.0 , 1 , 79 , 185264 , 170219 , 0
15233270.8 , 2 , 82 , 180259 , 170478 , 0
15250225.0 , 1 , 79 , 185249 , 170227 , 0
15499558.5 , 2 , 82 , 180252 , 170471 , 0
15512525.9 , 1 , 79 , 185256 , 170219 , 0
15761858.4 , 2 , 82 , 180236 , 170471 , 0
15774823.2 , 1 , 79 , 185256 , 170219 , 0
16024157.4 , 2 , 82 , 180297 , 170471 , 0
16036215.3 , 1 , 79 , 185363 , 170227 , 0
16286458.7 , 2 , 82 , 180267 , 170478 , 0
16298422.7 , 1 , 79 , 185256 , 170219 , 0
16548752.4 , 2 , 82 , 180244 , 170486 , 0
16563714.0 , 1 , 79 , 185287 , 170219 , 0
16811053.8 , 2 , 82 , 180297 , 170471 , 0
16827009.8 , 1 , 79 , 185256 , 170227 , 0
17072353.3 , 2 , 82 , 180274 , 170478 , 0
17089308.2 , 1 , 79 , 185264 , 170227 , 0
17334653.0 , 2 , 82 , 180343 , 170478 , 0
17351607.2 , 1 , 79 , 185287 , 170227 , 0
17599942.6 , 2 , 82 , 180244 , 170478 , 0
17613907.8 , 1 , 79 , 185256 , 170219 , 0
17863241.7 , 2 , 82 , 180236 , 170478 , 0
17876204.1 , 1 , 79 , 185264 , 170219 , 0
18125537.7 , 2 , 82 , 180229 , 170471 , 0
18137505.5 , 1 , 79 , 185241 , 170219 , 0
18387839.6 , 2 , 82 , 180206 , 170478 , 0
18399806.2 , 1 , 79 , 185226 , 170227 , 0
18650136.4 , 2 , 82 , 180259 , 170471 , 0
