Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.997600,2,83,85273,70106,0,7.630000,h,0,0 
232.380400,2,83,85296,70114,0,7.630000,h,0,0 
756.977200,2,83,85273,70098,0,7.630000,h,0,0 
1019.274200,2,83,85296,70098,0,7.630000,h,0,0 
1543.871400,2,83,85281,70091,0,7.630000,h,0,0 
1805.173700,2,83,85235,70083,0,7.630000,h,0,0 
2068.469600,2,83,85243,70075,0,7.630000,h,0,0 
2333.761100,2,83,85266,70068,0,7.630000,h,0,0 
2858.356800,2,83,85281,70083,0,7.630000,h,0,0 
3402.970900,2,83,85258,70060,0,7.630000,h,0,0 
3644.255500,2,83,85273,70060,0,7.630000,h,0,0 
3906.554900,2,83,85250,70060,0,7.630000,h,0,0 
4168.854800,2,83,85258,70068,0,7.630000,h,0,0 
4443.119900,2,83,85243,70075,0,7.630000,h,0,0 
4697.440800,2,83,85250,70114,0,7.630000,h,0,0 
4959.738600,2,83,85266,70083,0,7.630000,h,0,0 
5222.036700,2,83,85250,70098,0,7.630000,h,0,0 
5484.337300,2,83,85243,70075,0,7.630000,h,0,0 
5745.638900,2,83,85273,70091,0,7.630000,h,0,0 
6007.942900,2,83,85281,70098,0,7.630000,h,0,0 
6270.237000,2,83,85273,70083,0,7.630000,h,0,0 
6535.526900,2,83,85235,70068,0,7.630000,h,0,0 
6797.824100,2,83,85258,70068,0,7.630000,h,0,0 
7060.123800,2,83,85243,70083,0,7.630000,h,0,0 
7322.423700,2,83,85250,70098,0,7.630000,h,0,0 
7847.020300,2,83,85266,70091,0,7.630000,h,0,0 
8109.318900,2,83,85258,70083,0,7.630000,h,0,0 
8637.908000,2,83,85243,70098,0,7.630000,h,0,0 
8899.206700,2,83,85266,70098,0,7.630000,h,0,0 
9161.504700,2,83,85250,70121,0,7.630000,h,0,0 
9423.804900,2,83,85258,70098,0,7.630000,h,0,0 
9686.103400,2,83,85250,70106,0,7.630000,h,0,0 
9948.399900,2,83,85266,70106,0,7.630000,h,0,0 
10210.701000,2,83,85273,70091,0,7.630000,h,0,0 
10472.002700,2,83,85258,70106,0,7.630000,h,0,0 
10734.300200,2,83,85250,70114,0,7.630000,h,0,0 
11262.887100,2,83,85266,70098,0,7.630000,h,0,0 
12048.788600,2,83,85327,70114,0,7.630000,h,0,0 
12313.080400,2,83,85250,70106,0,7.630000,h,0,0 
12573.418000,2,83,85273,70106,0,7.630000,h,0,0 
12835.681600,2,83,85304,70114,0,7.630000,h,0,0 
13100.972200,2,83,85273,70114,0,7.630000,h,0,0 
13364.268200,2,83,85266,70121,0,7.630000,h,0,0 
13626.569100,2,83,85243,70098,0,7.630000,h,0,0 
13887.867900,2,83,85266,70114,0,7.630000,h,0,0 
14150.167200,2,83,85281,70106,0,7.630000,h,0,0 
14412.469400,2,83,85227,70098,0,7.630000,h,0,0 
