Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,81,88508,75164,0,7.630000,h,0,0 
245.343600,1,81,88539,75149,0,7.630000,h,0,0 
506.646200,1,81,88577,75164,0,7.630000,h,0,0 
1034.238000,1,81,88584,75149,0,7.630000,h,0,0 
1297.529300,1,81,88554,75149,0,7.630000,h,0,0 
1559.831600,1,81,88584,75164,0,7.630000,h,0,0 
1821.129600,1,81,88569,75157,0,7.630000,h,0,0 
2083.428400,1,81,88562,75164,0,7.630000,h,0,0 
2608.031900,1,81,88569,75157,0,7.630000,h,0,0 
3135.615600,1,81,88584,75164,0,7.630000,h,0,0 
3397.930200,1,81,88546,75164,0,7.630000,h,0,0 
3661.213000,1,80,88562,75164,0,7.630000,h,0,0 
3925.503500,1,80,88569,75134,0,7.630000,h,0,0 
4184.811000,1,80,88554,75164,0,7.630000,h,0,0 
4447.111000,1,80,88562,75172,0,7.630000,h,0,0 
4709.408800,1,80,88592,75149,0,7.630000,h,0,0 
4970.715000,1,80,88562,75149,0,7.630000,h,0,0 
5236.997000,1,80,88554,75172,0,7.630000,h,0,0 
5499.297700,1,80,88584,75180,0,7.630000,h,0,0 
5761.597100,1,80,88562,75172,0,7.630000,h,0,0 
6023.892500,1,80,88569,75157,0,7.630000,h,0,0 
6286.192100,1,80,88554,75157,0,7.630000,h,0,0 
6548.497300,1,80,88569,75164,0,7.630000,h,0,0 
6809.791000,1,80,88577,75172,0,7.630000,h,0,0 
7072.095700,1,80,88569,75164,0,7.630000,h,0,0 
7338.379800,1,80,88592,75172,0,7.630000,h,0,0 
7600.677600,1,80,88554,75172,0,7.630000,h,0,0 
7862.976300,1,80,88577,75172,0,7.630000,h,0,0 
8125.308000,1,80,88539,75157,0,7.630000,h,0,0 
8386.608700,1,80,88554,75164,0,7.630000,h,0,0 
8911.209900,1,80,88569,75172,0,7.630000,h,0,0 
9173.488200,1,80,88584,75195,0,7.630000,h,0,0 
9438.795900,1,80,88569,75172,0,7.630000,h,0,0 
