Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
1.996000,2,83,122261,70075,0,7.630000,h,0,0 
212078.976600,2,83,106338,70129,0,7.630000,h,0,0 
212357.234200,2,83,106231,70121,0,7.630000,h,0,0 
212635.489600,2,83,106254,70121,0,7.630000,h,0,0 
213189.009800,2,83,106239,70129,0,7.630000,h,0,0 
213468.264100,2,83,106216,70137,0,7.630000,h,0,0 
213744.523400,2,83,106193,70144,0,7.630000,h,0,0 
214020.789900,2,83,106147,70144,0,7.630000,h,0,0 
214299.042400,2,83,106079,70137,0,7.630000,h,0,0 
214576.301600,2,83,105056,70129,0,7.630000,h,0,0 
214852.561400,2,83,106056,70129,0,7.630000,h,0,0 
215129.820300,2,83,106033,70129,0,7.630000,h,0,0 
215686.334400,2,83,106018,70137,0,7.630000,h,0,0 
215961.598900,2,83,106010,70137,0,7.630000,h,0,0 
216240.851200,2,83,105934,70137,0,7.630000,h,0,0 
216519.107300,2,83,105911,70129,0,7.630000,h,0,0 
216796.364300,2,83,105880,70129,0,7.630000,h,0,0 
217074.621100,2,83,103996,70114,0,7.630000,h,0,0 
217349.883700,2,83,105834,70129,0,7.630000,h,0,0 
217629.137100,2,83,105819,70137,0,7.630000,h,0,0 
217906.398500,2,83,105789,70129,0,7.630000,h,0,0 
218184.652600,2,83,105781,70114,0,7.630000,h,0,0 
218460.913600,2,83,105743,70114,0,7.630000,h,0,0 
218739.170100,2,83,105720,70129,0,7.630000,h,0,0 
219017.425000,2,83,105705,70121,0,7.630000,h,0,0 
219294.685800,2,83,105651,70144,0,7.630000,h,0,0 
219569.949500,2,83,102958,70121,0,7.630000,h,0,0 
219849.203800,2,83,105636,70121,0,7.630000,h,0,0 
220127.459800,2,83,105606,70114,0,7.630000,h,0,0 
220405.714900,2,83,105598,70114,0,7.630000,h,0,0 
220682.973400,2,83,105583,70114,0,7.630000,h,0,0 
220959.238500,2,83,105560,70106,0,7.630000,h,0,0 
221237.490500,2,83,105567,70091,0,7.630000,h,0,0 
221515.745800,2,83,105506,70098,0,7.630000,h,0,0 
221793.010300,2,83,105476,70121,0,7.630000,h,0,0 
222071.260700,2,83,101692,70114,0,7.630000,h,0,0 
222352.508300,2,83,105430,70106,0,7.630000,h,0,0 
222625.777800,2,83,105407,70091,0,7.630000,h,0,0 
222903.036700,2,83,105392,70098,0,7.630000,h,0,0 
223181.299600,2,83,105323,70075,0,7.630000,h,0,0 
223456.572100,2,83,105346,70075,0,7.630000,h,0,0 
223735.813400,2,83,105339,70083,0,7.630000,h,0,0 
224014.067600,2,83,105293,70075,0,7.630000,h,0,0 
224290.331900,2,83,104446,70083,0,7.630000,h,0,0 
224567.588900,2,83,105224,70083,0,7.630000,h,0,0 
225124.098100,2,83,105247,70083,0,7.630000,h,0,0 
225402.357600,2,83,105201,70091,0,7.630000,h,0,0 
225679.614400,2,83,105163,70098,0,7.630000,h,0,0 
225955.875600,2,83,105178,70098,0,7.630000,h,0,0 
226234.139600,2,83,105117,70091,0,7.630000,h,0,0 
226511.389300,2,83,105094,70098,0,7.630000,h,0,0 
226789.644700,2,83,103424,70106,0,7.630000,h,0,0 
227067.903900,2,83,105072,70114,0,7.630000,h,0,0 
227344.164000,2,83,105049,70114,0,7.630000,h,0,0 
227622.418500,2,83,105003,70114,0,7.630000,h,0,0 
227899.680700,2,83,104988,70083,0,7.630000,h,0,0 
228177.934300,2,83,104972,70106,0,7.630000,h,0,0 
228458.184300,2,83,104957,70114,0,7.630000,h,0,0 
228732.451700,2,83,104904,70091,0,7.630000,h,0,0 
229010.707400,2,83,104896,70098,0,7.630000,h,0,0 
229290.960000,2,83,102104,70091,0,7.630000,h,0,0 
229563.230400,2,83,104866,70098,0,7.630000,h,0,0 
229842.483300,2,83,104858,70098,0,7.630000,h,0,0 
230120.746200,2,83,104820,70098,0,7.630000,h,0,0 
230397.997900,2,83,104797,70091,0,7.630000,h,0,0 
230676.256400,2,83,104789,70075,0,7.630000,h,0,0 
230952.515800,2,83,104751,70114,0,7.630000,h,0,0 
231229.774700,2,83,104759,70098,0,7.630000,h,0,0 
231508.032200,2,83,104743,70114,0,7.630000,h,0,0 
231786.288000,2,83,101158,70098,0,7.630000,h,0,0 
232062.548800,2,83,104644,70106,0,7.630000,h,0,0 
232619.061700,2,83,104621,70098,0,7.630000,h,0,0 
232896.320400,2,83,104591,70137,0,7.630000,h,0,0 
233172.581100,2,83,104583,70144,0,7.630000,h,0,0 
233729.094300,2,83,104545,70129,0,7.630000,h,0,0 
234007.349700,2,83,103866,70144,0,7.630000,h,0,0 
234282.612100,2,83,104507,70121,0,7.630000,h,0,0 
234560.875600,2,83,104408,70137,0,7.630000,h,0,0 
234840.120900,2,83,104423,70129,0,7.630000,h,0,0 
235117.382500,2,83,104431,70121,0,7.630000,h,0,0 
