Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,80,83480,75347,0,7.630000,h,0,0 
244.345200,1,80,83503,75355,0,7.630000,h,0,0 
506.643200,1,80,83526,75355,0,7.630000,h,0,0 
768.969300,1,80,83503,75355,0,7.630000,h,0,0 
1031.241500,1,80,83526,75347,0,7.630000,h,0,0 
1558.829100,1,80,83503,75347,0,7.630000,h,0,0 
2083.433600,1,80,83511,75347,0,7.630000,h,0,0 
2345.727400,1,80,83534,75355,0,7.630000,h,0,0 
2608.027100,1,80,83526,75363,0,7.630000,h,0,0 
2870.337800,1,80,83518,75355,0,7.630000,h,0,0 
3132.623800,1,80,83503,75347,0,7.630000,h,0,0 
3394.922000,1,80,83465,75355,0,7.630000,h,0,0 
3922.510900,1,80,83412,75355,0,7.630000,h,0,0 
4970.709500,1,80,83335,75347,0,7.630000,h,0,0 
5234.006300,1,80,83320,75347,0,7.630000,h,0,0 
5495.304400,1,80,83328,75363,0,7.630000,h,0,0 
5760.595800,1,80,83290,75347,0,7.630000,h,0,0 
6022.894800,1,80,83244,75332,0,7.630000,h,0,0 
6285.197000,1,80,83229,75332,0,7.630000,h,0,0 
6547.493200,1,80,83206,75355,0,7.630000,h,0,0 
6809.791500,1,80,83213,75363,0,7.630000,h,0,0 
7072.089200,1,80,83183,75363,0,7.630000,h,0,0 
7334.389700,1,80,83175,75347,0,7.630000,h,0,0 
7596.687500,1,80,83221,75340,0,7.630000,h,0,0 
7857.988100,1,80,83106,75340,0,7.630000,h,0,0 
8386.581200,1,80,83114,75332,0,7.630000,h,0,0 
8648.890100,1,80,83091,75332,0,7.630000,h,0,0 
8912.169300,1,80,83076,75332,0,7.630000,h,0,0 
9173.475600,1,80,83045,75332,0,7.630000,h,0,0 
9435.771700,1,80,83030,75332,0,7.630000,h,0,0 
9697.071300,1,80,83007,75332,0,7.630000,h,0,0 
9960.382600,1,80,82969,75347,0,7.630000,h,0,0 
