Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
1.000000,2,83,83412,70159,0,7.630000,h,0,0 
244.835000,2,83,83480,70144,0,7.630000,h,0,0 
507.960000,2,83,83435,70144,0,7.630000,h,0,0 
771.085000,2,83,83404,70121,0,7.630000,h,0,0 
1297.335000,2,83,83457,70144,0,7.630000,h,0,0 
1560.460000,2,83,83450,70144,0,7.630000,h,0,0 
1823.585000,2,83,83435,70152,0,7.630000,h,0,0 
2086.710000,2,83,83419,70137,0,7.630000,h,0,0 
2612.960000,2,83,83374,70152,0,7.630000,h,0,0 
2876.085000,2,83,83427,70137,0,7.630000,h,0,0 
3402.335000,2,83,83450,70152,0,7.630000,h,0,0 
3665.460000,2,83,83457,70159,0,7.630000,h,0,0 
3928.585000,2,83,83442,70152,0,7.630000,h,0,0 
4191.710000,2,83,83457,70159,0,7.630000,h,0,0 
4454.835000,2,83,83404,70152,0,7.630000,h,0,0 
4717.960000,2,83,83374,70152,0,7.630000,h,0,0 
4981.085000,2,83,83450,70152,0,7.630000,h,0,0 
5244.210000,2,83,83381,70152,0,7.630000,h,0,0 
5507.335000,2,83,83412,70144,0,7.630000,h,0,0 
6559.835000,2,83,83366,70129,0,7.630000,h,0,0 
7349.210000,2,83,83396,70114,0,7.630000,h,0,0 
7875.460000,2,83,83381,70144,0,7.630000,h,0,0 
8138.585000,2,83,83374,70144,0,7.630000,h,0,0 
8401.710000,2,83,83427,70137,0,7.630000,h,0,0 
8664.835000,2,83,83381,70159,0,7.630000,h,0,0 
8927.960000,2,83,83396,70137,0,7.630000,h,0,0 
9191.085000,2,83,83389,70137,0,7.630000,h,0,0 
9454.210000,2,83,83404,70144,0,7.630000,h,0,0 
9717.335000,2,83,83374,70114,0,7.630000,h,0,0 
10243.585000,2,83,83366,70137,0,7.630000,h,0,0 
10506.710000,2,83,83404,70137,0,7.630000,h,0,0 
10769.835000,2,83,83389,70144,0,7.630000,h,0,0 
11296.085000,2,83,83351,70129,0,7.630000,h,0,0 
11559.210000,2,83,83374,70152,0,7.630000,h,0,0 
11822.335000,2,83,83396,70137,0,7.630000,h,0,0 
12085.460000,2,83,83389,70144,0,7.630000,h,0,0 
12348.585000,2,83,83381,70121,0,7.630000,h,0,0 
12611.710000,2,83,83374,70121,0,7.630000,h,0,0 
12874.835000,2,83,83328,70106,0,7.630000,h,0,0 
13137.960000,2,83,83366,70106,0,7.630000,h,0,0 
13401.085000,2,83,83374,70137,0,7.630000,h,0,0 
13927.335000,2,83,83343,70114,0,7.630000,h,0,0 
14190.460000,2,83,83358,70121,0,7.630000,h,0,0 
14453.585000,2,83,83366,70137,0,7.630000,h,0,0 
14716.710000,2,83,83351,70137,0,7.630000,h,0,0 
14979.835000,2,83,83358,70129,0,7.630000,h,0,0 
15242.960000,2,83,83343,70129,0,7.630000,h,0,0 
15506.085000,2,83,83366,70144,0,7.630000,h,0,0 
16032.335000,2,83,83343,70129,0,7.630000,h,0,0 
16295.460000,2,83,83389,70129,0,7.630000,h,0,0 
16558.585000,2,83,83366,70106,0,7.630000,h,0,0 
16821.710000,2,83,83381,70114,0,7.630000,h,0,0 
17084.835000,2,83,83351,70098,0,7.630000,h,0,0 
17611.085000,2,83,83366,70121,0,7.630000,h,0,0 
17874.210000,2,83,83374,70129,0,7.630000,h,0,0 
18137.335000,2,83,83351,70129,0,7.630000,h,0,0 
18663.585000,2,83,83366,70129,0,7.630000,h,0,0 
19189.835000,2,83,83358,70098,0,7.630000,h,0,0 
19452.960000,2,83,83366,70121,0,7.630000,h,0,0 
