Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
1.000000,2,82,170593,170509,0,7.630000,l,0,0 
244.835000,2,82,170669,170509,0,7.630000,l,0,0 
507.960000,2,82,170570,170509,0,7.630000,l,0,0 
1034.210000,2,82,170585,170501,0,7.630000,l,0,0 
1297.335000,2,82,170593,170501,0,7.630000,l,0,0 
1560.460000,2,82,170578,170516,0,7.630000,l,0,0 
1823.585000,2,82,170562,170509,0,7.630000,l,0,0 
2086.710000,2,82,170600,170509,0,7.630000,l,0,0 
2349.835000,2,82,170692,170509,0,7.630000,l,0,0 
2612.960000,2,82,170600,170509,0,7.630000,l,0,0 
2876.085000,2,82,170570,170501,0,7.630000,l,0,0 
3139.210000,2,82,170585,170501,0,7.630000,l,0,0 
3665.460000,2,82,170593,170501,0,7.630000,l,0,0 
3928.585000,2,82,170539,170501,0,7.630000,l,0,0 
4191.710000,2,82,170547,170501,0,7.630000,l,0,0 
4454.835000,2,82,170532,170501,0,7.630000,l,0,0 
4717.960000,2,82,170547,170509,0,7.630000,l,0,0 
4981.085000,2,82,170616,170509,0,7.630000,l,0,0 
5244.210000,2,82,170593,170509,0,7.630000,l,0,0 
5507.335000,2,82,170570,170509,0,7.630000,l,0,0 
5770.460000,2,82,170585,170501,0,7.630000,l,0,0 
6033.585000,2,82,170578,170509,0,7.630000,l,0,0 
6296.710000,2,82,170669,170501,0,7.630000,l,0,0 
6559.835000,2,82,170532,170509,0,7.630000,l,0,0 
7086.085000,2,82,170524,170494,0,7.630000,l,0,0 
7349.210000,2,82,170547,170509,0,7.630000,l,0,0 
7612.335000,2,82,170616,170501,0,7.630000,l,0,0 
7875.460000,2,82,170585,170509,0,7.630000,l,0,0 
8138.585000,2,82,170555,170501,0,7.630000,l,0,0 
8401.710000,2,82,170570,170509,0,7.630000,l,0,0 
8927.960000,2,82,170562,170509,0,7.630000,l,0,0 
9191.085000,2,82,170539,170501,0,7.630000,l,0,0 
9454.210000,2,82,170524,170501,0,7.630000,l,0,0 
9980.460000,2,82,170578,170501,0,7.630000,l,0,0 
10506.710000,2,82,170547,170501,0,7.630000,l,0,0 
10769.835000,2,82,170539,170509,0,7.630000,l,0,0 
11032.960000,2,82,170562,170509,0,7.630000,l,0,0 
11559.210000,2,82,170539,170501,0,7.630000,l,0,0 
11822.335000,2,82,170555,170509,0,7.630000,l,0,0 
12085.460000,2,82,170547,170501,0,7.630000,l,0,0 
12348.585000,2,82,170631,170501,0,7.630000,l,0,0 
12611.710000,2,82,170524,170494,0,7.630000,l,0,0 
12874.835000,2,82,170539,170494,0,7.630000,l,0,0 
13137.960000,2,82,170509,170501,0,7.630000,l,0,0 
13664.210000,2,82,170501,170501,0,7.630000,l,0,0 
13927.335000,2,82,170524,170494,0,7.630000,l,0,0 
14190.460000,2,82,170501,170501,0,7.630000,l,0,0 
14453.585000,2,82,170494,170501,0,7.630000,l,0,0 
14716.710000,2,82,170463,170509,0,7.630000,l,0,0 
14979.835000,2,82,170471,170501,0,7.630000,l,0,0 
15242.960000,2,82,170501,170494,0,7.630000,l,0,0 
15769.210000,2,82,170486,170501,0,7.630000,l,0,0 
16032.335000,2,82,170471,170501,0,7.630000,l,0,0 
16295.460000,2,82,170463,170501,0,7.630000,l,0,0 
16558.585000,2,82,170486,170501,0,7.630000,l,0,0 
16821.710000,2,82,170463,170501,0,7.630000,l,0,0 
17084.835000,2,82,170471,170501,0,7.630000,l,0,0 
17347.960000,2,82,170463,170501,0,7.630000,l,0,0 
17611.085000,2,82,170570,170501,0,7.630000,l,0,0 
17874.210000,2,82,170486,170509,0,7.630000,l,0,0 
18137.335000,2,82,170478,170501,0,7.630000,l,0,0 
18400.460000,2,82,170448,170501,0,7.630000,l,0,0 
18663.585000,2,82,170463,170509,0,7.630000,l,0,0 
18926.710000,2,82,170471,170509,0,7.630000,l,0,0 
19189.835000,2,82,170448,170509,0,7.630000,l,0,0 
19452.960000,2,82,170463,170501,0,7.630000,l,0,0 
19716.085000,2,82,170455,170501,0,7.630000,l,0,0 
19979.210000,2,82,170410,170501,0,7.630000,l,0,0 
20242.335000,2,82,170402,170501,0,7.630000,l,0,0 
20505.460000,2,82,170387,170501,0,7.630000,l,0,0 
20768.585000,2,82,170394,170509,0,7.630000,l,0,0 
21031.710000,2,82,170387,170501,0,7.630000,l,0,0 
21557.960000,2,82,170471,170501,0,7.630000,l,0,0 
