Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.998100,2,82,180274,170478,0,7.630000,l,0,0 
232.379100,2,82,180336,170471,0,7.630000,l,0,0 
494.697000,2,82,180244,170478,0,7.630000,l,0,0 
1019.275000,2,82,180213,170471,0,7.630000,l,0,0 
1281.576700,2,82,180259,170471,0,7.630000,l,0,0 
1543.873800,2,82,180267,170471,0,7.630000,l,0,0 
1805.173100,2,82,180236,170471,0,7.630000,l,0,0 
2067.472800,2,82,180244,170463,0,7.630000,l,0,0 
2595.086700,2,82,180267,170478,0,7.630000,l,0,0 
3119.661600,2,82,180244,170478,0,7.630000,l,0,0 
3381.963200,2,82,180267,170478,0,7.630000,l,0,0 
3644.256400,2,82,180244,170478,0,7.630000,l,0,0 
3906.555600,2,82,180229,170471,0,7.630000,l,0,0 
4168.853200,2,82,180259,170471,0,7.630000,l,0,0 
4431.160500,2,82,180236,170471,0,7.630000,l,0,0 
4696.444900,2,82,180351,170478,0,7.630000,l,0,0 
4958.741500,2,82,180267,170478,0,7.630000,l,0,0 
5221.041200,2,82,180244,170471,0,7.630000,l,0,0 
5483.341000,2,82,180259,170463,0,7.630000,l,0,0 
5745.639600,2,82,180229,170471,0,7.630000,l,0,0 
6008.933600,2,82,180259,170471,0,7.630000,l,0,0 
6269.238100,2,82,180236,170471,0,7.630000,l,0,0 
6531.538100,2,82,180229,170471,0,7.630000,l,0,0 
7060.124100,2,82,180244,170478,0,7.630000,l,0,0 
7322.422000,2,82,180213,170471,0,7.630000,l,0,0 
7584.722800,2,82,180259,170478,0,7.630000,l,0,0 
7846.022100,2,82,180236,170471,0,7.630000,l,0,0 
8108.321800,2,82,180244,170478,0,7.630000,l,0,0 
8370.621300,2,82,180252,170478,0,7.630000,l,0,0 
8632.920200,2,82,180244,170478,0,7.630000,l,0,0 
8895.217000,2,82,180236,170471,0,7.630000,l,0,0 
9160.511900,2,82,180267,170478,0,7.630000,l,0,0 
9685.105700,2,82,180236,170478,0,7.630000,l,0,0 
