2630331.9 , ---------------------
2630331.9 , SENSOR 2
2633459.8 , window_factor 7.63
2634298.2 , sensitivity: high
3158652.3 , target (90000) , 85937.50
3159668.0 , threshold (50000) , 46875.00
3160650.6 , 
3432112.2 , SENSOR 1
3433197.4 , window_factor 7.63
3434200.5 , sensitivity: high
3957388.9 , target (90000) , 85937.50
3958358.4 , threshold (50000) , 46875.00
3958358.4 , 
4236834.4 , Sensor, Temp , F_sens , F_ref, Rech_Count
4239183.9 , 1 , 80 , 539123 , 22415 , 0
4240191.0 , 2 , 83 , 553253 , 17677 , 0
4469185.5 , 2 , 83 , 553077 , 17677 , 0
4485245.2 , 1 , 80 , 540992 , 22407 , 0
4731230.5 , 2 , 83 , 553222 , 17669 , 0
4747456.3 , 1 , 80 , 541008 , 22415 , 0
4997157.2 , 2 , 83 , 553215 , 17677 , 0
5009165.9 , 1 , 80 , 541030 , 22415 , 0
5259126.1 , 2 , 83 , 553474 , 17677 , 0
5271096.1 , 1 , 80 , 541008 , 22415 , 0
5521395.0 , 2 , 83 , 553169 , 17677 , 0
5533398.2 , 1 , 80 , 541008 , 22415 , 0
5783617.8 , 2 , 83 , 553169 , 17677 , 0
5795616.1 , 1 , 80 , 540946 , 22415 , 0
6045920.7 , 2 , 83 , 553451 , 17669 , 0
6057888.2 , 1 , 80 , 541038 , 22422 , 0
6307222.8 , 2 , 83 , 553009 , 17677 , 0
6323179.0 , 1 , 80 , 541320 , 22422 , 0
6569519.9 , 2 , 83 , 553169 , 17669 , 0
6586476.8 , 1 , 80 , 541038 , 22415 , 0
6832439.5 , 2 , 83 , 553176 , 17677 , 0
6848486.5 , 1 , 80 , 541046 , 22422 , 0
7098064.3 , 2 , 83 , 553169 , 17669 , 0
7110735.9 , 1 , 80 , 541046 , 22422 , 0
7360125.1 , 2 , 83 , 553176 , 17669 , 0
7372130.4 , 1 , 80 , 540916 , 22422 , 0
7622446.4 , 2 , 83 , 553184 , 17669 , 0
7635418.9 , 1 , 80 , 540901 , 22422 , 0
