2630925.0 , ---------------------
2631915.3 , SENSOR 2
2632913.0 , window_factor 7.63
2633909.4 , sensitivity: high
3155066.6 , target (90000) , 85937.50
3159057.1 , threshold (50000) , 46875.00
3159057.1 , 
3433366.9 , SENSOR 1
3434364.4 , window_factor 7.63
3435181.4 , sensitivity: high
3958299.3 , target (90000) , 85937.50
3959291.5 , threshold (50000) , 46875.00
3959291.5 , 
4237057.2 , Sensor, Temp , F_sens , F_ref, Rech_Count
4238055.2 , 1 , 81 , 121330 , 74974 , 0
4240050.1 , 2 , 83 , 132080 , 70320 , 0
4469435.6 , 2 , 83 , 132087 , 70327 , 0
4482429.6 , 1 , 81 , 121498 , 74943 , 0
4731762.5 , 2 , 83 , 132133 , 70320 , 0
4747693.2 , 1 , 81 , 121513 , 74951 , 0
4994033.7 , 2 , 83 , 132057 , 70327 , 0
5009989.8 , 1 , 81 , 121498 , 74966 , 0
5256332.3 , 2 , 83 , 132080 , 70327 , 0
5272289.4 , 1 , 81 , 121505 , 74951 , 0
5521621.9 , 2 , 83 , 132064 , 70327 , 0
5534587.2 , 1 , 81 , 121513 , 74966 , 0
5783922.1 , 2 , 83 , 132064 , 70320 , 0
5796887.6 , 1 , 81 , 121559 , 74966 , 0
6046220.2 , 2 , 83 , 132057 , 70320 , 0
6059184.1 , 1 , 81 , 121490 , 74951 , 0
6308082.0 , 2 , 83 , 132095 , 70320 , 0
6321048.7 , 1 , 81 , 121482 , 74951 , 0
6570906.0 , 2 , 83 , 132064 , 70320 , 0
6583871.3 , 1 , 81 , 121482 , 74966 , 0
6833205.7 , 2 , 83 , 132095 , 70320 , 0
6848165.7 , 1 , 81 , 121505 , 74958 , 0
7094505.2 , 2 , 83 , 132034 , 70297 , 0
7111465.7 , 1 , 81 , 121482 , 74951 , 0
7356804.1 , 2 , 83 , 131988 , 70312 , 0
7373759.0 , 1 , 81 , 121490 , 74958 , 0
7623126.3 , 2 , 83 , 132049 , 70297 , 0
7636070.5 , 1 , 81 , 121513 , 74974 , 0
7885160.0 , 2 , 83 , 132011 , 70304 , 0
7898126.9 , 1 , 81 , 121475 , 74966 , 0
8147652.9 , 2 , 83 , 132019 , 70304 , 0
8159607.7 , 1 , 81 , 121505 , 74943 , 0
8409452.9 , 2 , 83 , 131988 , 70320 , 0
8422417.1 , 1 , 81 , 121475 , 74958 , 0
8671751.4 , 2 , 83 , 132019 , 70320 , 0
8684716.1 , 1 , 81 , 121490 , 74966 , 0
8934048.6 , 2 , 83 , 132026 , 70312 , 0
8950008.3 , 1 , 81 , 121444 , 74958 , 0
9195860.2 , 2 , 83 , 132019 , 70320 , 0
9212815.1 , 1 , 81 , 121444 , 74951 , 0
9457681.3 , 2 , 83 , 132011 , 70327 , 0
9474635.0 , 1 , 81 , 121452 , 74935 , 0
9720499.7 , 2 , 84 , 132034 , 70320 , 0
9736464.6 , 1 , 81 , 121467 , 74935 , 0
9986067.2 , 2 , 84 , 132049 , 70327 , 0
9999030.8 , 1 , 81 , 121482 , 74951 , 0
10248365.0 , 2 , 84 , 132034 , 70297 , 0
