9607.0 , I2637560.8 , ---------------------
2638185.6 , SENSOR 2
2639200.6 , window_factor 7.63
2640206.2 , sensitivity: high
3161226.7 , target (90000) , 85937.50
3163221.8 , threshold (50000) , 46875.00
3163221.8 , 
3436085.0 , SENSOR 1
3436411.1 , window_factor 7.63
3439432.2 , sensitivity: high
3964646.3 , target (90000) , 85937.50
3965642.5 , threshold (50000) , 46875.00
3966638.9 , 
4242359.7 , Sensor, Temp , F_sens , F_ref, Rech_Count
4244357.6 , 1 , 79 , 75653 , 75508 , 0
4245359.8 , 2 , 82 , 66665 , 70335 , 0
4475941.7 , 2 , 82 , 66658 , 70335 , 0
4487924.0 , 1 , 79 , 75683 , 75515 , 0
4738339.2 , 2 , 82 , 66665 , 70335 , 0
4751075.0 , 1 , 79 , 75737 , 75508 , 0
5000427.8 , 2 , 82 , 66650 , 70320 , 0
5012390.4 , 1 , 79 , 75691 , 75515 , 0
5262694.5 , 2 , 82 , 66658 , 70327 , 0
5275207.6 , 1 , 80 , 75691 , 75508 , 0
5513714.1 , 2 , 82 , 66650 , 70335 , 0
5533866.5 , 1 , 80 , 75691 , 75515 , 0
5782808.0 , 2 , 82 , 66642 , 70335 , 0
5803058.7 , 1 , 80 , 75706 , 75515 , 0
6047303.5 , 2 , 82 , 66627 , 70312 , 0
6065345.5 , 1 , 80 , 75683 , 75508 , 0
6315054.6 , 2 , 83 , 66642 , 70312 , 0
6327359.5 , 1 , 80 , 75721 , 75508 , 0
6572702.8 , 2 , 83 , 66604 , 70304 , 0
6589760.5 , 1 , 80 , 75660 , 75500 , 0
6837594.2 , 2 , 83 , 66688 , 70289 , 0
6851774.9 , 1 , 80 , 75683 , 75500 , 0
7098986.1 , 2 , 83 , 66604 , 70289 , 0
7113959.6 , 1 , 80 , 75660 , 75492 , 0
7356024.7 , 2 , 83 , 66619 , 70297 , 0
7375543.2 , 1 , 80 , 75683 , 75508 , 0
7623117.6 , 2 , 83 , 66635 , 70304 , 0
7641220.1 , 1 , 80 , 75691 , 75515 , 0
7885043.4 , 2 , 83 , 66673 , 70312 , 0
7903638.2 , 1 , 80 , 75668 , 75523 , 0
8147479.0 , 2 , 83 , 66642 , 70335 , 0
8166051.6 , 1 , 80 , 75706 , 75508 , 0
8413302.8 , 2 , 83 , 66642 , 70327 , 0
8425373.2 , 1 , 80 , 75706 , 75485 , 0
8666940.5 , 2 , 83 , 66642 , 70343 , 0
8690243.7 , 1 , 80 , 75683 , 75492 , 0
8930307.9 , 2 , 83 , 66658 , 70327 , 0
8953027.3 , 1 , 80 , 75675 , 75500 , 0
9202717.4 , 2 , 83 , 66612 , 70327 , 0
9214713.6 , 1 , 80 , 75645 , 75508 , 0
9463311.6 , 2 , 83 , 66635 , 70350 , 0
9471581.5 , 1 , 80 , 75668 , 75500 , 0
9727011.6 , 2 , 83 , 66635 , 70343 , 0
9743188.2 , 1 , 80 , 75683 , 75485 , 0
9987416.9 , 2 , 83 , 66650 , 70343 , 0
10005418.7 , 1 , 80 , 75683 , 75508 , 0
10248438.2 , 2 , 83 , 66642 , 70327 , 0
10266680.6 , 1 , 80 , 75668 , 75492 , 0
10510319.6 , 2 , 83 , 66604 , 70327 , 0
10528316.5 , 1 , 80 , 75698 , 75500 , 0
10776984.1 , 2 , 83 , 66627 , 70327 , 0
10791924.7 , 1 , 80 , 75675 , 75492 , 0
11041156.9 , 2 , 83 , 66650 , 70281 , 0
11053928.3 , 1 , 80 , 75675 , 75508 , 0
11293208.4 , 2 , 83 , 66650 , 70281 , 0
11316351.0 , 1 , 80 , 75660 , 75515 , 0
11562479.5 , 2 , 83 , 66665 , 70327 , 0
11578028.8 , 1 , 80 , 75675 , 75508 , 0
11825059.5 , 2 , 83 , 66650 , 70312 , 0
11847157.5 , 1 , 80 , 75675 , 75492 , 0
12086189.8 , 2 , 83 , 66642 , 70320 , 0
12104720.9 , 1 , 80 , 75706 , 75531 , 0
12347636.0 , 2 , 83 , 66658 , 70335 , 0
12365673.3 , 1 , 80 , 75691 , 75500 , 0
12612942.4 , 2 , 83 , 66665 , 70327 , 0
12631176.6 , 1 , 80 , 75675 , 75508 , 0
12866874.7 , 2 , 83 , 66673 , 70320 , 0
12892853.0 , 1 , 80 , 75691 , 75492 , 0
13139867.1 , 2 , 83 , 66619 , 70312 , 0
13154696.6 , 1 , 80 , 75683 , 75500 , 0
13400841.5 , 2 , 83 , 66642 , 70320 , 0
13416967.5 , 1 , 80 , 75637 , 75485 , 0
13666251.9 , 2 , 83 , 66650 , 70327 , 0
13678960.4 , 1 , 80 , 75668 , 75500 , 0
13920320.5 , 2 , 83 , 66658 , 70343 , 0
13943344.1 , 1 , 80 , 75691 , 75500 , 0
14189714.9 , 2 , 83 , 66665 , 70312 , 0
14207064.6 , 1 , 80 , 75675 , 75500 , 0
14452651.4 , 2 , 83 , 66650 , 70335 , 0
14469826.4 , 1 , 80 , 75675 , 75515 , 0
14719798.0 , 2 , 83 , 66635 , 70343 , 0
14731996.8 , 1 , 80 , 75645 , 75508 , 0
14979534.5 , 2 , 83 , 66658 , 70335 , 0
14991206.3 , 1 , 80 , 75660 , 75523 , 0
15244009.2 , 2 , 83 , 66619 , 70320 , 0
15256469.7 , 1 , 80 , 75683 , 75515 , 0
15503158.8 , 2 , 83 , 66596 , 70327 , 0
15518589.1 , 1 , 80 , 75668 , 75492 , 0
15765218.8 , 2 , 83 , 66619 , 70312 , 0
15780258.3 , 1 , 80 , 75675 , 75485 , 0
16030093.1 , 2 , 83 , 66619 , 70297 , 0
16038621.6 , 1 , 80 , 75668 , 75500 , 0
16283854.2 , 2 , 83 , 66612 , 70297 , 0
16307935.0 , 1 , 80 , 75691 , 75508 , 0
16546876.0 , 2 , 83 , 66703 , 70289 , 0
16571130.3 , 1 , 80 , 75691 , 75515 , 0
16816499.9 , 2 , 83 , 66688 , 70297 , 0
16832928.3 , 1 , 80 , 75698 , 75500 , 0
17079306.9 , 2 , 83 , 66665 , 70297 , 0
17095142.8 , 1 , 80 , 75668 , 75508 , 0
17332468.7 , 2 , 83 , 66627 , 70281 , 0
17357236.6 , 1 , 80 , 75698 , 75515 , 0
17606891.2 , 2 , 83 , 66673 , 70281 , 0
17619300.3 , 1 , 80 , 75691 , 75515 , 0
17862213.6 , 2 , 83 , 66642 , 70274 , 0
17881415.5 , 1 , 80 , 75637 , 75500 , 0
18127719.5 , 2 , 83 , 66619 , 70281 , 0
18147202.8 , 1 , 80 , 75683 , 75500 , 0
18393397.2 , 2 , 83 , 66589 , 70281 , 0
18410151.3 , 1 , 80 , 75660 , 75492 , 0
18647881.0 , 2 , 83 , 66543 , 70297 , 0
18674801.7 , 1 , 80 , 75653 , 75485 , 0
18921635.7 , 2 , 83 , 66627 , 70289 , 0
18929535.4 , 1 , 80 , 75637 , 75485 , 0
19184022.9 , 2 , 83 , 66596 , 70297 , 0
19195989.6 , 1 , 80 , 75668 , 75477 , 0
19444496.2 , 2 , 83 , 66581 , 70312 , 0
19455442.2 , 1 , 80 , 75698 , 75477 , 0
19708225.5 , 2 , 83 , 66612 , 70304 , 0
19720192.6 , 1 , 80 , 75668 , 75485 , 0
19968866.4 , 2 , 83 , 66627 , 70304 , 0
19983531.0 , 1 , 80 , 75653 , 75492 , 0
20230275.0 , 2 , 83 , 66612 , 70304 , 0
20244633.0 , 1 , 80 , 75660 , 75477 , 0
20488727.5 , 2 , 83 , 66612 , 70304 , 0
20510921.4 , 1 , 80 , 75668 , 75477 , 0
20750901.3 , 2 , 83 , 66619 , 70320 , 0
20773233.5 , 1 , 80 , 75653 , 75492 , 0
21023131.8 , 2 , 83 , 66612 , 70312 , 0
21035349.5 , 1 , 80 , 75729 , 75508 , 0
21282070.1 , 2 , 83 , 66658 , 70304 , 0
21297485.0 , 1 , 80 , 75653 , 75469 , 0
21539688.3 , 2 , 83 , 66627 , 70297 , 0
21559691.8 , 1 , 80 , 75622 , 75462 , 0
21806219.6 , 2 , 83 , 66589 , 70297 , 0
21821703.6 , 1 , 80 , 75668 , 75469 , 0
22068850.2 , 2 , 83 , 66574 , 70312 , 0
22083583.8 , 1 , 80 , 75683 , 75485 , 0
22330680.3 , 2 , 83 , 66619 , 70312 , 0
22345613.6 , 1 , 80 , 75698 , 75492 , 0
22591985.4 , 2 , 83 , 66619 , 70327 , 0
22612066.0 , 1 , 80 , 75683 , 75492 , 0
22854026.5 , 2 , 83 , 66596 , 70327 , 0
22873868.8 , 1 , 80 , 75698 , 75492 , 0
23122234.7 , 2 , 83 , 66604 , 70335 , 0
23136718.1 , 1 , 80 , 75714 , 75492 , 0
23383171.1 , 2 , 83 , 66604 , 70350 , 0
23398623.0 , 1 , 80 , 75683 , 75500 , 0
23641068.6 , 2 , 83 , 66574 , 70350 , 0
23660686.3 , 1 , 80 , 75683 , 75500 , 0
23908422.1 , 2 , 83 , 66589 , 70335 , 0
23922509.6 , 1 , 80 , 75653 , 75477 , 0
24171683.8 , 2 , 83 , 66596 , 70320 , 0
24179947.1 , 1 , 80 , 75675 , 75485 , 0
24421311.4 , 2 , 83 , 66589 , 70312 , 0
24447269.3 , 1 , 80 , 75660 , 75485 , 0
24694296.6 , 2 , 83 , 66589 , 70327 , 0
24713176.0 , 1 , 80 , 75698 , 75485 , 0
24948055.3 , 2 , 83 , 66635 , 70343 , 0
24963613.7 , 1 , 80 , 75668 , 75485 , 0
25225207.1 , 2 , 83 , 66596 , 70335 , 0
25237627.6 , 1 , 80 , 75698 , 75492 , 0
25480016.7 , 2 , 83 , 66612 , 70327 , 0
25497938.2 , 1 , 80 , 75752 , 75469 , 0
25737520.4 , 2 , 83 , 66589 , 70320 , 0
25761808.3 , 1 , 80 , 75683 , 75485 , 0
26007005.5 , 2 , 83 , 66589 , 70335 , 0
26023813.3 , 1 , 80 , 75683 , 75469 , 0
26267143.4 , 2 , 83 , 66596 , 70343 , 0
26285944.0 , 1 , 80 , 75660 , 75469 , 0
26535305.0 , 2 , 83 , 66589 , 70327 , 0
26548568.4 , 1 , 80 , 75653 , 75477 , 0
26791919.9 , 2 , 83 , 66589 , 70320 , 0
26811836.7 , 1 , 80 , 75691 , 75477 , 0
27060503.9 , 2 , 83 , 66574 , 70320 , 0
27075777.4 , 1 , 80 , 75668 , 75469 , 0
27320527.8 , 2 , 83 , 66558 , 70320 , 0
27338443.1 , 1 , 80 , 75683 , 75477 , 0
27588526.7 , 2 , 83 , 66589 , 70320 , 0
27600889.4 , 1 , 80 , 75675 , 75485 , 0
27847532.5 , 2 , 83 , 66581 , 70327 , 0
27862543.2 , 1 , 80 , 75706 , 75485 , 0
28112289.6 , 2 , 83 , 66566 , 70312 , 0
28124622.0 , 1 , 80 , 75683 , 75485 , 0
28370530.4 , 2 , 83 , 66581 , 70343 , 0
28382503.6 , 1 , 80 , 75660 , 75485 , 0
28637095.1 , 2 , 83 , 66551 , 70327 , 0
28649034.2 , 1 , 80 , 75668 , 75485 , 0
28891739.0 , 2 , 83 , 66581 , 70343 , 0
28911362.2 , 1 , 80 , 75675 , 75485 , 0
29161691.6 , 2 , 83 , 66566 , 70335 , 0
29177649.2 , 1 , 80 , 75691 , 75508 , 0
29426169.4 , 2 , 83 , 66558 , 70343 , 0
29439083.6 , 1 , 80 , 75706 , 75508 , 0
29689879.0 , 2 , 83 , 66581 , 70327 , 0
29702026.1 , 1 , 80 , 75683 , 75500 , 0
29939424.7 , 2 , 83 , 66596 , 70335 , 0
29956999.9 , 1 , 80 , 75683 , 75485 , 0
30213883.1 , 2 , 83 , 66604 , 70343 , 0
30225792.2 , 1 , 80 , 75683 , 75485 , 0
30472245.9 , 2 , 83 , 66604 , 70343 , 0
30488075.3 , 1 , 80 , 75660 , 75485 , 0
30738245.3 , 2 , 83 , 66619 , 70335 , 0
30750187.3 , 1 , 80 , 75683 , 75477 , 0
30991661.4 , 2 , 83 , 66604 , 70327 , 0
31008500.8 , 1 , 80 , 75683 , 75500 , 0
31261703.4 , 2 , 83 , 66581 , 70350 , 0
31278748.4 , 1 , 80 , 75691 , 75477 , 0
31528127.4 , 2 , 83 , 66612 , 70358 , 0
31536373.0 , 1 , 80 , 75675 , 75485 , 0
31790749.5 , 2 , 83 , 66581 , 70335 , 0
31803068.6 , 1 , 80 , 75691 , 75485 , 0
32044868.2 , 2 , 83 , 66619 , 70335 , 0
32065314.8 , 1 , 80 , 75698 , 75492 , 0
32314482.0 , 2 , 83 , 66604 , 70358 , 0
32327420.0 , 1 , 80 , 75714 , 75500 , 0
32575843.3 , 2 , 83 , 66574 , 70365 , 0
32589218.0 , 1 , 80 , 75698 , 75485 , 0
32829153.3 , 2 , 83 , 66596 , 70365 , 0
32851858.9 , 1 , 80 , 75668 , 75477 , 0
33100133.8 , 2 , 83 , 66581 , 70343 , 0
33112390.8 , 1 , 80 , 75675 , 75492 , 0
33363410.6 , 2 , 83 , 66612 , 70335 , 0
33380050.5 , 1 , 80 , 75691 , 75485 , 0
33625547.4 , 2 , 83 , 66612 , 70327 , 0
33634752.0 , 1 , 80 , 75668 , 75469 , 0
33891893.8 , 2 , 83 , 66581 , 70327 , 0
33904188.0 , 1 , 80 , 75668 , 75477 , 0
34144339.7 , 2 , 83 , 66604 , 70327 , 0
34165602.0 , 1 , 80 , 75668 , 75477 , 0
34415306.6 , 2 , 83 , 66619 , 70320 , 0
34428017.9 , 1 , 80 , 75660 , 75500 , 0
34671745.3 , 2 , 83 , 66589 , 70335 , 0
34690009.2 , 1 , 80 , 75675 , 75485 , 0
34933732.8 , 2 , 83 , 66543 , 70327 , 0
34952318.3 , 1 , 80 , 75653 , 75485 , 0
35199423.7 , 2 , 83 , 66574 , 70335 , 0
35205302.0 , 1 , 80 , 75675 , 75477 , 0
35461234.7 , 2 , 83 , 66619 , 70335 , 0
35479638.8 , 1 , 80 , 75691 , 75500 , 0
