2622000.5 , ---------------------
2622987.0 , SENSOR 2
2624002.2 , window_factor 7.63
2625978.2 , sensitivity: high
3146604.3 , target (90000) , 85937.50
3150586.4 , threshold (50000) , 46875.00
3150586.4 , 
3424851.5 , SENSOR 1
3424851.5 , window_factor 7.63
3425850.3 , sensitivity: high
3949476.5 , target (90000) , 85937.50
3950446.4 , threshold (50000) , 46875.00
3951453.7 , 
4229703.0 , Sensor, Temp , F_sens , F_ref, Rech_Count
4230698.9 , 1 , 80 , 123779 , 75500 , 0
4231695.5 , 2 , 83 , 131256 , 70350 , 0
4461080.9 , 2 , 83 , 131233 , 70358 , 0
4474046.5 , 1 , 80 , 123931 , 75500 , 0
4723380.8 , 2 , 83 , 131332 , 70358 , 0
4739362.0 , 1 , 80 , 123947 , 75485 , 0
4985706.3 , 2 , 83 , 131195 , 70335 , 0
5001636.9 , 1 , 80 , 124015 , 75477 , 0
5248005.2 , 2 , 83 , 131202 , 70358 , 0
5263936.1 , 1 , 80 , 124008 , 75477 , 0
5513362.3 , 2 , 83 , 131217 , 70381 , 0
5525452.3 , 1 , 80 , 123931 , 75477 , 0
5775782.2 , 2 , 83 , 131240 , 70365 , 0
5787750.2 , 1 , 80 , 123947 , 75477 , 0
6038080.6 , 2 , 83 , 131202 , 70373 , 0
6050049.0 , 1 , 80 , 123977 , 75469 , 0
6300379.2 , 2 , 83 , 131217 , 70365 , 0
6312348.9 , 1 , 80 , 123962 , 75485 , 0
6562677.0 , 2 , 83 , 131240 , 70358 , 0
6577637.5 , 1 , 80 , 123992 , 75492 , 0
6823979.5 , 2 , 83 , 131202 , 70373 , 0
6839935.8 , 1 , 80 , 123970 , 75500 , 0
7086277.4 , 2 , 83 , 131256 , 70358 , 0
7102228.4 , 1 , 80 , 124008 , 75500 , 0
7348571.6 , 2 , 83 , 131187 , 70373 , 0
7365550.7 , 1 , 80 , 123939 , 75477 , 0
7613794.8 , 2 , 83 , 131233 , 70381 , 0
7626765.3 , 1 , 80 , 123939 , 75477 , 0
7877121.8 , 2 , 83 , 131278 , 70365 , 0
7890060.7 , 1 , 80 , 123924 , 75492 , 0
8139395.6 , 2 , 83 , 131217 , 70350 , 0
8151360.3 , 1 , 80 , 123962 , 75492 , 0
8401004.5 , 2 , 83 , 131210 , 70335 , 0
8413971.9 , 1 , 80 , 123939 , 75492 , 0
8663305.2 , 2 , 83 , 131217 , 70343 , 0
8679263.0 , 1 , 80 , 123931 , 75485 , 0
8925603.7 , 2 , 83 , 131225 , 70335 , 0
8941560.8 , 1 , 80 , 123939 , 75485 , 0
9187902.9 , 2 , 83 , 131248 , 70358 , 0
9203740.7 , 1 , 80 , 124000 , 75485 , 0
9450023.3 , 2 , 83 , 131278 , 70358 , 0
9466100.4 , 1 , 80 , 123939 , 75477 , 0
9715352.0 , 2 , 83 , 131248 , 70350 , 0
9728322.3 , 1 , 80 , 124000 , 75477 , 0
9977689.5 , 2 , 83 , 131240 , 70373 , 0
9990620.9 , 1 , 80 , 123916 , 75492 , 0
10239954.4 , 2 , 83 , 131248 , 70358 , 0
10251922.5 , 1 , 80 , 123924 , 75477 , 0
10501886.4 , 2 , 83 , 131301 , 70365 , 0
10514787.6 , 1 , 80 , 123924 , 75462 , 0
10764122.4 , 2 , 83 , 131240 , 70350 , 0
10780077.0 , 1 , 80 , 123931 , 75477 , 0
11026418.6 , 2 , 83 , 131248 , 70365 , 0
11042376.9 , 1 , 80 , 123924 , 75492 , 0
11288739.3 , 2 , 83 , 131324 , 70365 , 0
11304879.7 , 1 , 80 , 123924 , 75492 , 0
