2628969.3 , ---------------------
2632986.1 , SENSOR 2
2633956.4 , window_factor 0.95
2633956.4 , sensitivity: high
6831520.3 , target (90000) , 85937.50
6832518.4 , threshold (50000) , 46875.00
6833543.8 , 
9034629.2 , SENSOR 1
9035627.1 , window_factor 0.95
9035627.1 , sensitivity: high
13233412.5 , target (90000) , 85937.50
13234407.4 , threshold (50000) , 46875.00
13235407.0 , 
15441506.9 , Sensor, Temp , F_sens , F_ref, Rech_Count
15442504.5 , 1 , 82 , 120631 , 74544 , 0
15444499.5 , 2 , 85 , 130855 , 70096 , 0
17410279.2 , 2 , 85 , 123228 , 70108 , 0
17412238.8 , 1 , 82 , 120622 , 74551 , 0
19507634.6 , 2 , 85 , 130861 , 70099 , 0
19510625.6 , 1 , 82 , 120637 , 74544 , 0
21609014.7 , 1 , 82 , 120623 , 74560 , 0
21610009.7 , 2 , 85 , 130842 , 70107 , 0
23705916.4 , 1 , 82 , 120647 , 74546 , 0
23709904.6 , 2 , 85 , 130826 , 70101 , 0
25807297.9 , 2 , 85 , 130808 , 70091 , 0
25808293.9 , 1 , 82 , 120644 , 74543 , 0
27907764.6 , 2 , 85 , 130826 , 70103 , 0
27908762.4 , 1 , 82 , 120596 , 74508 , 0
30005155.6 , 1 , 82 , 120651 , 74535 , 0
30006154.3 , 2 , 85 , 130849 , 70103 , 0
32106535.3 , 2 , 85 , 130818 , 70081 , 0
32106535.3 , 1 , 82 , 120644 , 74521 , 0
34203927.8 , 1 , 82 , 120635 , 74512 , 0
34206919.3 , 2 , 85 , 130837 , 70089 , 0
36304312.0 , 1 , 82 , 120631 , 74532 , 0
36305308.2 , 2 , 85 , 130817 , 70095 , 0
38400704.9 , 1 , 82 , 120628 , 74517 , 0
38405693.0 , 2 , 85 , 130805 , 70097 , 0
40502086.4 , 2 , 85 , 130813 , 70103 , 0
40504082.0 , 1 , 82 , 120616 , 74528 , 0
42603465.8 , 1 , 82 , 120628 , 74517 , 0
42604463.5 , 2 , 85 , 130814 , 70097 , 0
44700857.0 , 2 , 85 , 130791 , 70084 , 0
44701855.6 , 1 , 82 , 120632 , 74534 , 0
46801242.1 , 1 , 82 , 120629 , 74535 , 0
46803236.7 , 2 , 85 , 130811 , 70068 , 0
48898631.3 , 2 , 85 , 130815 , 70058 , 0
48902635.9 , 1 , 82 , 120632 , 74500 , 0
51000012.9 , 1 , 82 , 120639 , 74516 , 0
51001011.5 , 2 , 85 , 130835 , 70058 , 0
53100395.2 , 1 , 82 , 120654 , 74526 , 0
53101392.6 , 2 , 85 , 130835 , 70103 , 0
55197786.7 , 2 , 85 , 130839 , 70086 , 0
55198784.2 , 1 , 82 , 120645 , 74528 , 0
57299174.5 , 2 , 85 , 130806 , 70089 , 0
57300170.4 , 1 , 82 , 120635 , 74514 , 0
59396564.0 , 2 , 85 , 130847 , 70069 , 0
59399555.9 , 1 , 82 , 120638 , 74530 , 0
61496948.7 , 2 , 85 , 130828 , 70093 , 0
61497945.9 , 1 , 82 , 120650 , 74528 , 0
63594339.9 , 2 , 85 , 130822 , 70085 , 0
63598330.3 , 1 , 82 , 120648 , 74518 , 0
65695732.8 , 1 , 82 , 120632 , 74542 , 0
65696731.0 , 2 , 85 , 130835 , 70096 , 0
67796116.4 , 2 , 85 , 130812 , 70083 , 0
67797114.8 , 1 , 82 , 120660 , 74523 , 0
69893506.3 , 1 , 82 , 120631 , 74515 , 0
69894503.6 , 2 , 85 , 130837 , 70102 , 0
71994887.1 , 2 , 85 , 130831 , 70089 , 0
71995884.5 , 1 , 82 , 120638 , 74514 , 0
74092280.1 , 1 , 82 , 120650 , 74523 , 0
74095271.3 , 2 , 85 , 130826 , 70095 , 0
76192661.0 , 2 , 85 , 130826 , 70087 , 0
76193659.4 , 1 , 82 , 120658 , 74519 , 0
78290053.3 , 1 , 82 , 120655 , 74522 , 0
78294042.7 , 2 , 85 , 130830 , 70083 , 0
80390456.4 , 2 , 85 , 130818 , 70080 , 0
80391453.0 , 1 , 82 , 120645 , 74530 , 0
82491837.2 , 2 , 85 , 130826 , 70080 , 0
82492834.8 , 1 , 82 , 120602 , 74523 , 0
84589571.3 , 1 , 82 , 120599 , 74538 , 0
84592560.1 , 2 , 85 , 130822 , 70068 , 0
86690371.7 , 2 , 85 , 130821 , 70091 , 0
86692364.8 , 1 , 82 , 120622 , 74530 , 0
88786761.9 , 1 , 82 , 120591 , 74545 , 0
88791757.3 , 2 , 85 , 130820 , 70082 , 0
90887819.3 , 2 , 85 , 130831 , 70052 , 0
90888816.2 , 1 , 82 , 120620 , 74504 , 0
92988801.9 , 1 , 82 , 120610 , 74512 , 0
92989800.4 , 2 , 85 , 130839 , 70043 , 0
95086488.5 , 2 , 85 , 130821 , 70053 , 0
95088482.4 , 1 , 82 , 120636 , 74529 , 0
97187870.4 , 2 , 85 , 130824 , 70058 , 0
97188866.4 , 1 , 82 , 120586 , 74524 , 0
99284703.3 , 2 , 85 , 130826 , 70029 , 0
99288697.8 , 1 , 82 , 120602 , 74524 , 0
101386084.4 , 1 , 82 , 120574 , 74517 , 0
101389075.6 , 2 , 85 , 130826 , 70055 , 0
103482476.4 , 2 , 85 , 130818 , 70076 , 0
103486465.9 , 1 , 82 , 120586 , 74523 , 0
105583858.5 , 2 , 85 , 130826 , 70087 , 0
105584856.1 , 1 , 82 , 120583 , 74505 , 0
107684241.9 , 2 , 85 , 130839 , 70053 , 0
107686236.9 , 1 , 82 , 120574 , 74528 , 0
109781634.6 , 1 , 82 , 120587 , 74531 , 0
109782630.7 , 2 , 85 , 130826 , 70056 , 0
111884010.2 , 2 , 85 , 130834 , 70058 , 0
111885009.7 , 1 , 82 , 120590 , 74535 , 0
113980404.8 , 1 , 82 , 120614 , 74540 , 0
113983395.9 , 2 , 85 , 130841 , 70058 , 0
116080787.2 , 2 , 85 , 130852 , 70058 , 0
116081784.4 , 1 , 82 , 120598 , 74530 , 0
118178180.0 , 1 , 82 , 120585 , 74517 , 0
118182168.3 , 2 , 85 , 130859 , 70083 , 0
120279560.0 , 1 , 82 , 120601 , 74526 , 0
120280557.7 , 2 , 85 , 130856 , 70098 , 0
122379943.6 , 2 , 85 , 130833 , 70095 , 0
122381937.7 , 1 , 82 , 120609 , 74545 , 0
124477333.3 , 1 , 82 , 120615 , 74519 , 0
124481322.9 , 2 , 85 , 130855 , 70107 , 0
126578715.1 , 2 , 85 , 130838 , 70085 , 0
126579712.7 , 1 , 82 , 120611 , 74510 , 0
128676106.6 , 2 , 85 , 130883 , 70082 , 0
128680096.3 , 1 , 82 , 120592 , 74504 , 0
130776488.9 , 1 , 82 , 120602 , 74524 , 0
130777487.5 , 2 , 85 , 130885 , 70084 , 0
132877868.8 , 1 , 82 , 120643 , 74547 , 0
132878868.4 , 2 , 85 , 130872 , 70098 , 0
134975263.2 , 1 , 82 , 120622 , 74539 , 0
134976258.5 , 2 , 85 , 130882 , 70108 , 0
137075643.6 , 1 , 82 , 120620 , 74544 , 0
137076642.0 , 2 , 85 , 130873 , 70089 , 0
139173034.0 , 1 , 82 , 120636 , 74531 , 0
139177023.6 , 2 , 85 , 130857 , 70079 , 0
141274414.8 , 1 , 82 , 120584 , 74522 , 0
141275412.1 , 2 , 85 , 130867 , 70072 , 0
143370811.2 , 1 , 82 , 120599 , 74524 , 0
143374799.7 , 2 , 85 , 130847 , 70074 , 0
145472191.4 , 1 , 82 , 120596 , 74522 , 0
145473187.8 , 2 , 85 , 130873 , 70088 , 0
