2622205.7 , ---------------------
2622205.7 , SENSOR 2
2629119.2 , window_factor 7.63
2630130.4 , sensitivity: high
3154022.8 , target (90000) , 85937.50
3155052.7 , threshold (50000) , 46875.00
3156039.5 , 
3423832.8 , SENSOR 1
3423832.8 , window_factor 7.63
3429807.9 , sensitivity: high
3949447.7 , target (90000) , 85937.50
3949447.7 , threshold (50000) , 46875.00
3954368.2 , 
4231332.5 , Sensor, Temp , F_sens , F_ref, Rech_Count
4235201.4 , 1 , 81 , 150833 , 150543 , 0
4236221.4 , 2 , 83 , 132888 , 140396 , 0
4464039.7 , 2 , 83 , 132904 , 140396 , 0
4472074.7 , 1 , 81 , 150817 , 150512 , 0
4713600.8 , 2 , 83 , 132858 , 140396 , 0
4741022.3 , 1 , 81 , 150817 , 150482 , 0
4986285.2 , 2 , 83 , 132904 , 140426 , 0
5005045.0 , 1 , 81 , 150787 , 150497 , 0
5251386.0 , 2 , 83 , 132965 , 140396 , 0
5267298.8 , 1 , 81 , 150756 , 150512 , 0
5516710.9 , 2 , 83 , 132919 , 140411 , 0
5529217.3 , 1 , 81 , 150802 , 150527 , 0
5772854.0 , 2 , 83 , 132873 , 140380 , 0
5791073.7 , 1 , 81 , 150833 , 150543 , 0
6036883.0 , 2 , 83 , 132858 , 140380 , 0
6055314.7 , 1 , 81 , 150787 , 150512 , 0
6302361.4 , 2 , 84 , 132873 , 140350 , 0
6317098.3 , 1 , 81 , 150802 , 150527 , 0
6558790.7 , 2 , 84 , 132904 , 140411 , 0
6580266.6 , 1 , 81 , 150802 , 150527 , 0
6821782.1 , 2 , 84 , 132919 , 140396 , 0
6841387.6 , 1 , 81 , 150802 , 150543 , 0
7094027.6 , 2 , 84 , 132965 , 140396 , 0
7104987.1 , 1 , 81 , 150863 , 150512 , 0
7356373.7 , 2 , 84 , 132934 , 140396 , 0
7368352.8 , 1 , 81 , 150833 , 150512 , 0
7618278.5 , 2 , 84 , 132934 , 140396 , 0
7630092.1 , 1 , 81 , 150817 , 150527 , 0
7881132.9 , 2 , 84 , 132934 , 140396 , 0
7893126.8 , 1 , 81 , 150878 , 150512 , 0
8142424.2 , 2 , 84 , 132949 , 140380 , 0
8158157.5 , 1 , 81 , 150863 , 150482 , 0
8403933.4 , 2 , 84 , 132919 , 140396 , 0
8420602.5 , 1 , 81 , 150833 , 150482 , 0
8666983.6 , 2 , 84 , 132934 , 140365 , 0
8677675.8 , 1 , 81 , 150802 , 150466 , 0
