0.0 , 4986.6 , 	6004.8 , I11968.4 , 	13968.5 , I18955.5 , 	2630294.1 , ---------------------
2631272.0 , SENSOR 2
2632261.7 , window_factor 7.63
2634256.3 , sensitivity: low
3158615.2 , target (180000) , 179687.50
3159623.1 , threshold (140000) , 132812.50
3159623.1 , 
3432476.1 , SENSOR 1
3433447.1 , window_factor 7.63
3434441.6 , sensitivity: low
3957044.0 , target (180000) , 179687.50
3961045.1 , threshold (140000) , 132812.50
3961045.1 , 
4236297.9 , Sensor, Temp , F_sens , F_ref, Rech_Count
4239289.6 , 1 , 80 , 169326 , 169891 , 0
4240293.2 , 2 , 83 , 169342 , 170471 , 0
4469318.0 , 2 , 83 , 169387 , 170471 , 0
4485255.2 , 1 , 80 , 169334 , 169891 , 0
4731622.9 , 2 , 83 , 169311 , 170471 , 0
4751580.4 , 1 , 80 , 169311 , 169898 , 0
4992911.8 , 2 , 83 , 169311 , 170471 , 0
5009894.4 , 1 , 80 , 169319 , 169898 , 0
5259233.2 , 2 , 83 , 169326 , 170471 , 0
5272193.5 , 1 , 80 , 169326 , 169906 , 0
5521526.6 , 2 , 83 , 169326 , 170471 , 0
5534492.3 , 1 , 80 , 169334 , 169914 , 0
5783842.3 , 2 , 83 , 169326 , 170463 , 0
5795938.3 , 1 , 80 , 169433 , 169906 , 0
6045758.3 , 2 , 83 , 169296 , 170471 , 0
6061678.7 , 1 , 80 , 169303 , 169906 , 0
6308586.1 , 2 , 83 , 169281 , 170471 , 0
6324516.5 , 1 , 80 , 169326 , 169906 , 0
6570897.0 , 2 , 83 , 169273 , 170471 , 0
6586820.7 , 1 , 80 , 169433 , 169914 , 0
6832740.3 , 2 , 83 , 169303 , 170471 , 0
6848758.5 , 1 , 80 , 169326 , 169914 , 0
7094104.8 , 2 , 83 , 169288 , 170471 , 0
7111059.8 , 1 , 80 , 169319 , 169914 , 0
7360497.7 , 2 , 83 , 169319 , 170463 , 0
7373467.7 , 1 , 80 , 169342 , 169921 , 0
7622810.4 , 2 , 83 , 169311 , 170463 , 0
7634770.4 , 1 , 80 , 169380 , 169921 , 0
7885081.1 , 2 , 83 , 169319 , 170463 , 0
7898061.9 , 1 , 80 , 169349 , 169914 , 0
8146919.4 , 2 , 83 , 169296 , 170463 , 0
8159852.9 , 1 , 80 , 169342 , 169914 , 0
8409185.4 , 2 , 83 , 169319 , 170463 , 0
8425171.1 , 1 , 80 , 169372 , 169914 , 0
8671745.2 , 2 , 83 , 169319 , 170471 , 0
8687745.0 , 1 , 80 , 169342 , 169914 , 0
8933503.2 , 2 , 83 , 169395 , 170463 , 0
8953440.9 , 1 , 80 , 169349 , 169921 , 0
9195858.2 , 2 , 83 , 169342 , 170463 , 0
9212024.4 , 1 , 80 , 169342 , 169914 , 0
9460862.8 , 2 , 83 , 169364 , 170463 , 0
9473828.4 , 1 , 80 , 169349 , 169914 , 0
9724160.6 , 2 , 83 , 169296 , 170471 , 0
9736128.5 , 1 , 80 , 169319 , 169921 , 0
9986459.3 , 2 , 83 , 169319 , 170471 , 0
9998428.3 , 1 , 80 , 169334 , 169921 , 0
10247790.9 , 2 , 83 , 169326 , 170471 , 0
10260724.6 , 1 , 80 , 169342 , 169921 , 0
10510936.3 , 2 , 83 , 169326 , 170463 , 0
10522900.1 , 1 , 80 , 169364 , 169921 , 0
10773135.5 , 2 , 83 , 169319 , 170471 , 0
10788095.8 , 1 , 80 , 169357 , 169921 , 0
11034654.3 , 2 , 83 , 169326 , 170486 , 0
11050610.9 , 1 , 80 , 169349 , 169921 , 0
11296357.8 , 2 , 83 , 169311 , 170478 , 0
11313309.6 , 1 , 80 , 169387 , 169921 , 0
11562642.8 , 2 , 83 , 169326 , 170471 , 0
11575608.7 , 1 , 80 , 169349 , 169929 , 0
11824941.9 , 2 , 83 , 169296 , 170478 , 0
11836910.3 , 1 , 80 , 169349 , 169929 , 0
12087544.5 , 2 , 83 , 169349 , 170478 , 0
12099510.6 , 1 , 80 , 169464 , 169929 , 0
12348972.2 , 2 , 83 , 169372 , 170478 , 0
12361937.8 , 1 , 80 , 169342 , 169929 , 0
12611794.5 , 2 , 83 , 169296 , 170478 , 0
12624396.1 , 1 , 80 , 169342 , 169921 , 0
12874246.7 , 2 , 83 , 169288 , 170471 , 0
12889208.4 , 1 , 80 , 169342 , 169929 , 0
13136103.1 , 2 , 83 , 169288 , 170478 , 0
13151632.8 , 1 , 80 , 169387 , 169929 , 0
13397678.5 , 2 , 83 , 169281 , 170478 , 0
13413636.5 , 1 , 80 , 169357 , 169937 , 0
13659977.5 , 2 , 83 , 169281 , 170471 , 0
13675935.4 , 1 , 80 , 169364 , 169937 , 0
13925669.4 , 2 , 83 , 169311 , 170478 , 0
13938633.4 , 1 , 80 , 169387 , 169929 , 0
14188712.7 , 2 , 83 , 169319 , 170478 , 0
14200680.0 , 1 , 80 , 169364 , 169929 , 0
14450054.8 , 2 , 83 , 169319 , 170471 , 0
14463020.2 , 1 , 80 , 169364 , 169937 , 0
14713087.2 , 2 , 83 , 169326 , 170478 , 0
14725055.0 , 1 , 80 , 169441 , 169929 , 0
14975141.1 , 2 , 83 , 169326 , 170478 , 0
14987108.8 , 1 , 80 , 169357 , 169937 , 0
15236441.9 , 2 , 83 , 169303 , 170471 , 0
15252325.1 , 1 , 80 , 169364 , 169937 , 0
15498669.3 , 2 , 83 , 169265 , 170471 , 0
15514626.7 , 1 , 80 , 169364 , 169937 , 0
15761966.0 , 2 , 83 , 169281 , 170471 , 0
15776924.8 , 1 , 80 , 169357 , 169944 , 0
16027121.0 , 2 , 83 , 169265 , 170478 , 0
16040086.4 , 1 , 80 , 169364 , 169937 , 0
16289240.2 , 2 , 83 , 169273 , 170478 , 0
16301209.6 , 1 , 80 , 169403 , 169944 , 0
16551685.5 , 2 , 83 , 169326 , 170471 , 0
16563653.6 , 1 , 80 , 169372 , 169944 , 0
16814224.2 , 2 , 83 , 169303 , 170478 , 0
16826193.1 , 1 , 80 , 169380 , 169952 , 0
17076526.1 , 2 , 83 , 169303 , 170478 , 0
17088519.1 , 1 , 80 , 169380 , 169944 , 0
17337855.3 , 2 , 83 , 169326 , 170478 , 0
17350418.7 , 1 , 80 , 169372 , 169952 , 0
17599731.4 , 2 , 83 , 169303 , 170478 , 0
17615907.0 , 1 , 80 , 169342 , 169944 , 0
17862254.5 , 2 , 83 , 169311 , 170478 , 0
17878886.7 , 1 , 80 , 169342 , 169944 , 0
18124004.1 , 2 , 83 , 169281 , 170478 , 0
18140784.6 , 1 , 80 , 169349 , 169952 , 0
18390116.1 , 2 , 83 , 169326 , 170471 , 0
18403088.5 , 1 , 80 , 169364 , 169952 , 0
18652482.6 , 2 , 83 , 169303 , 170478 , 0
18665450.8 , 1 , 80 , 169372 , 169944 , 0
18914884.0 , 2 , 83 , 169273 , 170478 , 0
18927827.1 , 1 , 80 , 169487 , 169944 , 0
19176734.1 , 2 , 83 , 169311 , 170478 , 0
19189704.9 , 1 , 80 , 169364 , 169944 , 0
19439250.4 , 2 , 83 , 169334 , 170478 , 0
19451231.6 , 1 , 80 , 169349 , 169944 , 0
