2624852.7 , ---------------------
2625574.1 , SENSOR 2
2626574.2 , window_factor 7.63
2628575.4 , sensitivity: low
3153078.9 , target (180000) , 179687.50
3154093.6 , threshold (140000) , 132812.50
3155077.2 , 
3427350.7 , SENSOR 1
3428327.8 , window_factor 7.63
3429324.9 , sensitivity: low
3951513.6 , target (180000) , 179687.50
3955495.5 , threshold (140000) , 132812.50
3956496.5 , 
4230481.9 , Sensor, Temp , F_sens , F_ref, Rech_Count
4234666.8 , 1 , 79 , 178039 , 170539 , 0
4235664.0 , 2 , 82 , 169868 , 170989 , 0
4463208.7 , 2 , 82 , 169929 , 170982 , 0
4480136.9 , 1 , 79 , 178092 , 170539 , 0
4725507.0 , 2 , 82 , 169845 , 170989 , 0
4742369.5 , 1 , 79 , 178070 , 170539 , 0
4987738.9 , 2 , 82 , 169845 , 170982 , 0
5003701.7 , 1 , 79 , 178054 , 170547 , 0
5254048.5 , 2 , 82 , 169853 , 170989 , 0
5266046.2 , 1 , 79 , 178077 , 170539 , 0
5516184.6 , 2 , 82 , 169837 , 170989 , 0
5528184.9 , 1 , 79 , 178070 , 170555 , 0
5778331.8 , 2 , 82 , 169860 , 170982 , 0
5790335.8 , 1 , 79 , 178062 , 170539 , 0
6041018.9 , 2 , 82 , 169860 , 170989 , 0
6056585.4 , 1 , 79 , 178047 , 170547 , 0
6302087.0 , 2 , 82 , 169860 , 170982 , 0
6318181.8 , 1 , 79 , 178100 , 170555 , 0
6564525.9 , 2 , 82 , 169898 , 170982 , 0
6581184.1 , 1 , 79 , 178062 , 170547 , 0
6826528.1 , 2 , 82 , 169837 , 170982 , 0
6843300.4 , 1 , 79 , 178077 , 170555 , 0
7089017.8 , 2 , 82 , 169845 , 170982 , 0
7104880.1 , 1 , 79 , 178100 , 170547 , 0
7355086.7 , 2 , 82 , 169830 , 170982 , 0
7367058.8 , 1 , 79 , 178070 , 170547 , 0
7617468.8 , 2 , 82 , 169853 , 170989 , 0
7629436.5 , 1 , 79 , 178077 , 170547 , 0
7879884.0 , 2 , 82 , 169830 , 170982 , 0
7891855.5 , 1 , 79 , 178092 , 170539 , 0
8141812.0 , 2 , 82 , 169853 , 170989 , 0
8153770.3 , 1 , 79 , 178077 , 170547 , 0
8403132.5 , 2 , 82 , 169830 , 170982 , 0
8419960.9 , 1 , 79 , 178085 , 170547 , 0
8665850.3 , 2 , 82 , 169860 , 170989 , 0
8681919.1 , 1 , 79 , 178062 , 170547 , 0
8928291.1 , 2 , 82 , 169853 , 170982 , 0
8944372.5 , 1 , 79 , 178070 , 170547 , 0
9190298.7 , 2 , 82 , 169921 , 170982 , 0
9206649.8 , 1 , 79 , 178092 , 170539 , 0
9456190.1 , 2 , 82 , 169807 , 170989 , 0
9468218.5 , 1 , 79 , 178070 , 170547 , 0
9718422.5 , 2 , 82 , 169792 , 170982 , 0
9730427.0 , 1 , 79 , 178077 , 170547 , 0
9980626.0 , 2 , 82 , 169807 , 170982 , 0
9992626.7 , 1 , 79 , 178062 , 170547 , 0
10242985.0 , 2 , 82 , 169822 , 170982 , 0
10254991.9 , 1 , 79 , 178054 , 170547 , 0
10504868.1 , 2 , 82 , 169815 , 170982 , 0
10520827.1 , 1 , 79 , 178054 , 170547 , 0
10766702.9 , 2 , 82 , 169822 , 170982 , 0
10782632.4 , 1 , 79 , 178054 , 170547 , 0
11029006.1 , 2 , 82 , 169853 , 170982 , 0
11045562.3 , 1 , 79 , 178070 , 170555 , 0
11291601.0 , 2 , 82 , 169830 , 170982 , 0
11307427.3 , 1 , 79 , 178039 , 170547 , 0
11554766.3 , 2 , 82 , 169853 , 170982 , 0
11569726.2 , 1 , 79 , 178077 , 170555 , 0
11819387.8 , 2 , 82 , 169815 , 170982 , 0
11831935.5 , 1 , 79 , 178077 , 170547 , 0
12081822.1 , 2 , 82 , 169822 , 170982 , 0
12093824.5 , 1 , 79 , 178085 , 170555 , 0
12216493.3 , STANDBY 2
12356140.3 , 1 , 79 , 178100 , 170562 , 0
12618438.8 , 1 , 79 , 178085 , 170562 , 0
12883730.2 , 1 , 79 , 178077 , 170555 , 0
13146028.2 , 1 , 79 , 178070 , 170555 , 0
13408999.2 , 1 , 79 , 178092 , 170547 , 0
13670893.1 , 1 , 79 , 178077 , 170547 , 0
13933135.4 , 1 , 79 , 178077 , 170555 , 0
14194632.4 , 1 , 79 , 178100 , 170555 , 0
14457389.8 , 1 , 79 , 178077 , 170562 , 0
14719253.2 , 1 , 79 , 178062 , 170555 , 0
14980969.2 , 1 , 79 , 178062 , 170562 , 0
15247572.2 , 1 , 79 , 178054 , 170555 , 0
15509722.6 , 1 , 79 , 178085 , 170555 , 0
15772018.9 , 1 , 79 , 178085 , 170555 , 0
16033824.2 , 1 , 79 , 178085 , 170555 , 0
16296053.2 , 1 , 79 , 178092 , 170555 , 0
16558582.4 , 1 , 79 , 178077 , 170555 , 0
16820890.6 , 1 , 79 , 178077 , 170547 , 0
