2635930.5, ---------------------
2635930.5, SENSOR 2
2639746.7, window_factor 7.63
2640764.7, sensitivity: high
3164201.7, target (90000) ,85937.5
3166200.1, threshold (50000) ,46875
3166200.1, 
3438487.3, SENSOR 1
3439486.3, window_factor 7.63
3440466.3, sensitivity: high
3962635.1, target (90000) ,85937.5
3964628.9, threshold (50000) ,46875
3964628.9,
4241727.9, Sensor, Temp , F_sens , F_ref, Rech_Count
4242746.3,1,82,87966,74951,0
4245721.6,2,84,87478,69808,0
4475109.2,2,84,87493,69816,0
4491139.6,1,82,88020,74920,0
4737511.4,2,84,87501,69824,0
4753204.6,1,82,87997,74920,0
4997463,2,84,87486,69854,0
5015258.6,1,82,88012,74943,0
5260733.5,2,84,87478,69839,0
5277537.6,1,82,88005,74943,0
5517523.9,2,84,87493,69831,0
5539764.9,1,82,88012,74920,0
5779045,2,84,87448,69847,0
5802307.9,1,82,88012,74928,0
6051987.3,2,84,87486,69847,0
6064517.9,1,82,88027,74974,0
6304372,2,84,87471,69831,0
6330275.5,1,82,88066,74974,0
6573350,2,84,87478,69816,0
6592130.9,1,82,88058,74981,0
6838275.5,2,84,87486,69839,0
6854657.1,1,82,88043,74958,0
7100441,2,84,87448,69831,0
7117449.9,1,82,88058,74958,0
7359672.9,2,84,87455,69847,0
7378809.5,1,82,88066,74974,0
7627805.8,2,84,87478,69854,0
7641480.2,1,82,88027,74958,0
7890823.2,2,84,87471,69847,0
7902791.4,1,82,88066,74958,0
8153140,2,84,87448,69839,0
8165123.2,1,82,88035,74943,0
8414659.2,2,84,87493,69839,0
8430628.3,1,82,88020,74958,0
8677016.9,2,84,87471,69831,0
8693666.2,1,82,88027,74958,0
8937327.2,2,84,87463,69831,0
8955596.4,1,82,88058,74958,0
9201649.1,2,84,87463,69816,0
9217725.9,1,82,88050,74974,0
9467634.9,2,84,87486,69824,0
9480288.6,1,82,88035,74958,0
9726957,2,84,87455,69831,0
9742056.7,1,82,88020,74951,0
9991715.2,2,84,87478,69831,0
10003687.4,1,82,88058,74958,0
10254014.1,2,84,87463,69824,0
10265972.5,1,82,88096,74951,0
10516351,2,84,87463,69839,0
10528317.7,1,82,88027,74958,0
10777617.1,2,84,87455,69847,0
10794650.7,1,82,88043,74974,0
11034381.6,2,84,87463,69816,0
11056853,1,82,88058,74974,0
11300385.4,2,84,87409,69816,0
11318983.8,1,82,88066,74966,0
11566535.5,2,84,87440,69831,0
11580935.5,1,82,88081,74943,0
11828130.2,2,84,87455,69824,0
11843192.5,1,82,88012,74951,0
12089786,2,84,87455,69808,0
12105574.4,1,82,88050,74981,0
12347213.5,2,84,87478,69808,0
12367185.7,1,82,88096,74989,0
12611224,2,84,87402,69808,0
12633402.4,1,82,88081,74966,0
