2629984.7 , ---------------------
2630990.2 , SENSOR 2
2632010.3 , window_factor 7.63
2632980.0 , sensitivity: low
3154618.2 , target (180000) , 179687.50
3155582.2 , threshold (140000) , 132812.50
3156586.3 , 
3428162.6 , SENSOR 1
3432360.9 , window_factor 7.63
3433329.5 , sensitivity: low
3957086.8 , target (180000) , 179687.50
3958074.7 , threshold (140000) , 132812.50
3958074.7 , 
4235455.2 , Sensor, Temp , F_sens , F_ref, Rech_Count
4237280.7 , 1 , 82 , 169670 , 168128 , 0
4238276.3 , 2 , 85 , 171157 , 168785 , 0
4468215.9 , 2 , 85 , 171218 , 168777 , 0
4481075.0 , 1 , 82 , 169693 , 168128 , 0
4730876.3 , 2 , 85 , 171234 , 168785 , 0
4742684.2 , 1 , 82 , 169685 , 168144 , 0
4993103.6 , 2 , 85 , 171150 , 168785 , 0
5009353.1 , 1 , 82 , 169685 , 168144 , 0
5255257.3 , 2 , 85 , 171134 , 168785 , 0
5271177.4 , 1 , 82 , 169693 , 168144 , 0
5517519.2 , 2 , 85 , 171157 , 168792 , 0
5534476.8 , 1 , 82 , 169693 , 168151 , 0
5778857.2 , 2 , 85 , 171203 , 168785 , 0
5795548.3 , 1 , 82 , 169700 , 168151 , 0
6041907.8 , 2 , 85 , 171165 , 168785 , 0
6057863.8 , 1 , 82 , 169654 , 168151 , 0
6306918.2 , 2 , 85 , 171150 , 168785 , 0
6319883.3 , 1 , 82 , 169761 , 168159 , 0
6569888.7 , 2 , 85 , 171249 , 168785 , 0
6582437.7 , 1 , 82 , 169708 , 168151 , 0
6832045.0 , 2 , 85 , 171119 , 168792 , 0
6844016.0 , 1 , 82 , 169715 , 168159 , 0
7094253.3 , 2 , 85 , 171165 , 168792 , 0
7106224.4 , 1 , 82 , 169708 , 168167 , 0
7356586.0 , 2 , 85 , 171165 , 168792 , 0
7372082.9 , 1 , 82 , 169708 , 168167 , 0
7618394.2 , 2 , 85 , 171157 , 168800 , 0
7634348.9 , 1 , 82 , 169715 , 168174 , 0
7881199.3 , 2 , 85 , 171180 , 168807 , 0
7897159.3 , 1 , 82 , 169708 , 168174 , 0
8142505.2 , 2 , 85 , 171180 , 168807 , 0
8159456.8 , 1 , 82 , 169715 , 168159 , 0
8404950.2 , 2 , 85 , 171157 , 168807 , 0
8420907.6 , 1 , 82 , 169715 , 168174 , 0
8670419.4 , 2 , 85 , 171173 , 168800 , 0
8683386.5 , 1 , 82 , 169830 , 168174 , 0
8933607.0 , 2 , 85 , 171173 , 168800 , 0
8949629.5 , 1 , 82 , 169715 , 168167 , 0
9195081.8 , 2 , 85 , 171127 , 168800 , 0
9207168.4 , 1 , 82 , 169715 , 168174 , 0
9457566.4 , 2 , 85 , 171173 , 168800 , 0
9473524.2 , 1 , 82 , 169723 , 168174 , 0
9719765.7 , 2 , 85 , 171150 , 168792 , 0
9735722.1 , 1 , 82 , 169746 , 168182 , 0
9986468.5 , 2 , 85 , 171150 , 168800 , 0
10000129.5 , 1 , 82 , 169723 , 168174 , 0
10243279.3 , 2 , 85 , 171142 , 168800 , 0
10260233.9 , 1 , 82 , 169731 , 168174 , 0
10506897.3 , 2 , 85 , 171157 , 168807 , 0
10523852.0 , 1 , 82 , 169731 , 168182 , 0
10771761.8 , 2 , 85 , 171173 , 168800 , 0
10784731.1 , 1 , 82 , 169723 , 168174 , 0
11034312.9 , 2 , 85 , 171150 , 168807 , 0
11046278.7 , 1 , 82 , 169731 , 168174 , 0
11295926.6 , 2 , 85 , 171142 , 168800 , 0
11308891.3 , 1 , 82 , 169731 , 168174 , 0
11558575.5 , 2 , 85 , 171142 , 168800 , 0
11574536.2 , 1 , 82 , 169731 , 168182 , 0
11820557.4 , 2 , 85 , 171150 , 168807 , 0
11837516.1 , 1 , 82 , 169731 , 168182 , 0
12083991.0 , 2 , 85 , 171150 , 168800 , 0
