2630307.7 , ---------------------
2637283.7 , SENSOR 2
2640277.7 , window_factor 7.63
2641273.1 , sensitivity: high
3151907.5 , target (90000) , 85937.50
3155899.2 , threshold (50000) , 46875.00
3155899.2 , 
3426174.8 , SENSOR 1
3430168.6 , window_factor 7.63
3431192.0 , sensitivity: high
3954761.9 , target (90000) , 85937.50
3955758.3 , threshold (50000) , 46875.00
3955758.3 , 
4234015.7 , Sensor, Temp , F_sens , F_ref, Rech_Count
4236011.0 , 1 , 78 , 89622 , 75698 , 0
4237007.4 , 2 , 80 , 88958 , 70411 , 0
4466394.4 , 2 , 80 , 88958 , 70419 , 0
4479359.0 , 1 , 78 , 89698 , 75691 , 0
4729690.4 , 2 , 80 , 88981 , 70434 , 0
4741657.7 , 1 , 78 , 89683 , 75691 , 0
4991615.1 , 2 , 80 , 88912 , 70426 , 0
5003584.3 , 1 , 78 , 89714 , 75714 , 0
5253914.9 , 2 , 80 , 88943 , 70434 , 0
5269871.3 , 1 , 78 , 89698 , 75698 , 0
5515216.0 , 2 , 81 , 88951 , 70449 , 0
5531172.7 , 1 , 78 , 89729 , 75706 , 0
5777513.3 , 2 , 81 , 88951 , 70442 , 0
5793646.7 , 1 , 78 , 89714 , 75675 , 0
6042981.0 , 2 , 81 , 88920 , 70434 , 0
6055945.6 , 1 , 78 , 89729 , 75683 , 0
6305577.2 , 2 , 81 , 88958 , 70434 , 0
6318545.0 , 1 , 78 , 89729 , 75691 , 0
6567946.9 , 2 , 81 , 88951 , 70419 , 0
6579847.3 , 1 , 78 , 89714 , 75698 , 0
6829865.3 , 2 , 81 , 88928 , 70411 , 0
6841833.2 , 1 , 78 , 89698 , 75683 , 0
7092164.8 , 2 , 81 , 88943 , 70411 , 0
7105129.2 , 1 , 78 , 89714 , 75683 , 0
7354463.0 , 2 , 81 , 88920 , 70404 , 0
7370420.1 , 1 , 78 , 89744 , 75691 , 0
7616761.2 , 2 , 81 , 88966 , 70449 , 0
7632675.5 , 1 , 78 , 89698 , 75691 , 0
7879049.4 , 2 , 81 , 88951 , 70426 , 0
7894974.2 , 1 , 78 , 89675 , 75698 , 0
8140318.6 , 2 , 81 , 88928 , 70411 , 0
8157272.8 , 1 , 78 , 89691 , 75683 , 0
8406606.0 , 2 , 81 , 88958 , 70426 , 0
8419572.6 , 1 , 78 , 89691 , 75698 , 0
8668905.8 , 2 , 81 , 88905 , 70426 , 0
8682867.2 , 1 , 78 , 89691 , 75706 , 0
8930631.1 , 2 , 81 , 88920 , 70426 , 0
8943597.5 , 1 , 78 , 89683 , 75706 , 0
9192931.5 , 2 , 81 , 88943 , 70442 , 0
9205897.1 , 1 , 78 , 89729 , 75698 , 0
9455232.1 , 2 , 81 , 88935 , 70434 , 0
9471189.5 , 1 , 78 , 89683 , 75683 , 0
9718527.7 , 2 , 81 , 88958 , 70442 , 0
9733671.1 , 1 , 78 , 89729 , 75691 , 0
9980011.4 , 2 , 81 , 88935 , 70442 , 0
9995969.5 , 1 , 78 , 89714 , 75698 , 0
10242310.9 , 2 , 81 , 88951 , 70434 , 0
10259265.6 , 1 , 78 , 89698 , 75691 , 0
10507603.0 , 2 , 81 , 88928 , 70434 , 0
10520567.5 , 1 , 78 , 89714 , 75691 , 0
10769903.7 , 2 , 81 , 88912 , 70442 , 0
10782865.2 , 1 , 78 , 89698 , 75698 , 0
11032198.6 , 2 , 81 , 88958 , 70449 , 0
11045164.3 , 1 , 78 , 89698 , 75683 , 0
11294643.6 , 2 , 81 , 88928 , 70434 , 0
11306611.2 , 1 , 78 , 89721 , 75698 , 0
11556943.4 , 2 , 81 , 88912 , 70434 , 0
11572901.7 , 1 , 78 , 89721 , 75714 , 0
11819240.8 , 2 , 81 , 88905 , 70442 , 0
11835197.4 , 1 , 78 , 89721 , 75691 , 0
12080541.2 , 2 , 81 , 88928 , 70465 , 0
12097497.9 , 1 , 78 , 89721 , 75691 , 0
12342841.7 , 2 , 81 , 88928 , 70442 , 0
12359796.1 , 1 , 78 , 89698 , 75691 , 0
12608134.8 , 2 , 81 , 88935 , 70442 , 0
12621100.2 , 1 , 78 , 89706 , 75691 , 0
12871427.6 , 2 , 81 , 88935 , 70449 , 0
12883396.3 , 1 , 78 , 89706 , 75668 , 0
13133727.0 , 2 , 81 , 88897 , 70426 , 0
13145709.8 , 1 , 78 , 89683 , 75653 , 0
13396026.0 , 2 , 81 , 88882 , 70434 , 0
13407997.3 , 1 , 78 , 89675 , 75653 , 0
13657328.5 , 2 , 81 , 88890 , 70426 , 0
13670292.0 , 1 , 78 , 89668 , 75668 , 0
13919625.0 , 2 , 81 , 88897 , 70449 , 0
13935596.5 , 1 , 78 , 89706 , 75683 , 0
14181937.2 , 2 , 81 , 88943 , 70434 , 0
14198242.2 , 1 , 78 , 89706 , 75691 , 0
14443589.4 , 2 , 81 , 88920 , 70434 , 0
14460462.8 , 1 , 78 , 89706 , 75706 , 0
14705810.7 , 2 , 81 , 88897 , 70449 , 0
14722763.9 , 1 , 78 , 89759 , 75691 , 0
14972671.9 , 2 , 81 , 88897 , 70442 , 0
14984638.9 , 1 , 78 , 89691 , 75714 , 0
15234468.0 , 2 , 81 , 88905 , 70434 , 0
15247435.5 , 1 , 78 , 89736 , 75714 , 0
15496768.9 , 2 , 81 , 88912 , 70426 , 0
15509736.5 , 1 , 78 , 89729 , 75706 , 0
15759068.4 , 2 , 81 , 88920 , 70442 , 0
15771034.9 , 1 , 78 , 89714 , 75691 , 0
16021365.6 , 2 , 81 , 88912 , 70426 , 0
16037297.7 , 1 , 78 , 89691 , 75706 , 0
16283567.8 , 2 , 81 , 88905 , 70449 , 0
16299525.4 , 1 , 78 , 89706 , 75706 , 0
16544878.4 , 2 , 81 , 88920 , 70419 , 0
16561825.2 , 1 , 78 , 89714 , 75714 , 0
16807195.5 , 2 , 81 , 88912 , 70411 , 0
16823125.1 , 1 , 78 , 89729 , 75714 , 0
17073456.7 , 2 , 81 , 88890 , 70419 , 0
17086424.5 , 1 , 78 , 89706 , 75698 , 0
17335774.3 , 2 , 81 , 88890 , 70411 , 0
17348721.9 , 1 , 78 , 89775 , 75691 , 0
17598090.8 , 2 , 81 , 88882 , 70404 , 0
17610022.7 , 1 , 78 , 89706 , 75698 , 0
17860352.8 , 2 , 81 , 88943 , 70419 , 0
17872321.6 , 1 , 78 , 89706 , 75706 , 0
18121653.6 , 2 , 81 , 88912 , 70419 , 0
18137611.1 , 1 , 78 , 89714 , 75706 , 0
18383952.5 , 2 , 81 , 88905 , 70426 , 0
18400907.9 , 1 , 78 , 89706 , 75706 , 0
18647250.9 , 2 , 81 , 88890 , 70419 , 0
18663207.3 , 1 , 78 , 89706 , 75691 , 0
18908549.1 , 2 , 81 , 88943 , 70426 , 0
18924506.3 , 1 , 78 , 89691 , 75675 , 0
19174481.4 , 2 , 81 , 88867 , 70419 , 0
19186451.6 , 1 , 78 , 89721 , 75691 , 0
19436781.4 , 2 , 81 , 88897 , 70388 , 0
19449747.6 , 1 , 78 , 89698 , 75675 , 0
19698881.8 , 2 , 81 , 88912 , 70388 , 0
19710851.6 , 1 , 78 , 89706 , 75660 , 0
19961292.2 , 2 , 81 , 88920 , 70381 , 0
19973279.3 , 1 , 78 , 89744 , 75668 , 0
20223593.5 , 2 , 81 , 88897 , 70381 , 0
20239534.5 , 1 , 78 , 89675 , 75668 , 0
20484878.9 , 2 , 81 , 88912 , 70388 , 0
20501834.5 , 1 , 78 , 89721 , 75683 , 0
20747177.3 , 2 , 81 , 88912 , 70381 , 0
20764132.7 , 1 , 78 , 89691 , 75675 , 0
21009474.9 , 2 , 81 , 88920 , 70396 , 0
21025431.7 , 1 , 78 , 89683 , 75698 , 0
21274789.0 , 2 , 81 , 88897 , 70396 , 0
21287754.2 , 1 , 78 , 89698 , 75698 , 0
