Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
1.007100,2,83,553253,17677,0,7.630000,h,0,0 
230.001600,2,83,553077,17677,0,7.630000,h,0,0 
492.046600,2,83,553222,17669,0,7.630000,h,0,0 
757.973300,2,83,553215,17677,0,7.630000,h,0,0 
1019.942200,2,83,553474,17677,0,7.630000,h,0,0 
1282.211100,2,83,553169,17677,0,7.630000,h,0,0 
1806.736800,2,83,553451,17669,0,7.630000,h,0,0 
2068.038900,2,83,553009,17677,0,7.630000,h,0,0 
2330.336000,2,83,553169,17669,0,7.630000,h,0,0 
2593.255600,2,83,553176,17677,0,7.630000,h,0,0 
2858.880400,2,83,553169,17669,0,7.630000,h,0,0 
3120.941200,2,83,553176,17669,0,7.630000,h,0,0 
3383.262500,2,83,553184,17669,0,7.630000,h,0,0 
