Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,81,121330,74974,0,7.630000,h,0,0 
244.374400,1,81,121498,74943,0,7.630000,h,0,0 
509.638000,1,81,121513,74951,0,7.630000,h,0,0 
771.934600,1,81,121498,74966,0,7.630000,h,0,0 
1034.234200,1,81,121505,74951,0,7.630000,h,0,0 
1296.532000,1,81,121513,74966,0,7.630000,h,0,0 
1558.832400,1,81,121559,74966,0,7.630000,h,0,0 
1821.128900,1,81,121490,74951,0,7.630000,h,0,0 
2082.993500,1,81,121482,74951,0,7.630000,h,0,0 
2610.110500,1,81,121505,74958,0,7.630000,h,0,0 
2873.410500,1,81,121482,74951,0,7.630000,h,0,0 
3135.703800,1,81,121490,74958,0,7.630000,h,0,0 
3398.015300,1,81,121513,74974,0,7.630000,h,0,0 
3660.071700,1,81,121475,74966,0,7.630000,h,0,0 
3921.552500,1,81,121505,74943,0,7.630000,h,0,0 
4184.361900,1,81,121475,74958,0,7.630000,h,0,0 
4446.660900,1,81,121490,74966,0,7.630000,h,0,0 
4711.953100,1,81,121444,74958,0,7.630000,h,0,0 
5236.579800,1,81,121452,74935,0,7.630000,h,0,0 
5498.409400,1,81,121467,74935,0,7.630000,h,0,0 
5760.975600,1,81,121482,74951,0,7.630000,h,0,0 
6023.275900,1,81,121490,74943,0,7.630000,h,0,0 
6285.574600,1,81,121498,74943,0,7.630000,h,0,0 
6546.874100,1,81,121543,74958,0,7.630000,h,0,0 
6808.828300,1,81,121490,74951,0,7.630000,h,0,0 
7075.440400,1,81,121459,74958,0,7.630000,h,0,0 
7337.729600,1,81,121490,74951,0,7.630000,h,0,0 
7599.710000,1,81,121444,74943,0,7.630000,h,0,0 
7861.976100,1,81,121437,74935,0,7.630000,h,0,0 
8124.274200,1,81,121467,74951,0,7.630000,h,0,0 
8386.573000,1,81,121437,74966,0,7.630000,h,0,0 
8647.888300,1,81,121498,74966,0,7.630000,h,0,0 
8910.719000,1,81,121551,74966,0,7.630000,h,0,0 
9176.195600,1,81,121498,74951,0,7.630000,h,0,0 
9438.492700,1,81,121459,74951,0,7.630000,h,0,0 
9700.791200,1,81,121452,74958,0,7.630000,h,0,0 
9964.088700,1,81,121505,74966,0,7.630000,h,0,0 
10225.392000,1,81,121498,74974,0,7.630000,h,0,0 
10486.837800,1,81,121521,74958,0,7.630000,h,0,0 
10749.134200,1,81,121482,74943,0,7.630000,h,0,0 
11011.938900,1,81,121498,74974,0,7.630000,h,0,0 
11273.516300,1,81,121482,74958,0,7.630000,h,0,0 
11539.553300,1,81,121475,74951,0,7.630000,h,0,0 
11801.869700,1,81,121521,74958,0,7.630000,h,0,0 
12064.160100,1,81,121513,74958,0,7.630000,h,0,0 
12326.449900,1,81,121521,74966,0,7.630000,h,0,0 
12588.748400,1,81,121505,74943,0,7.630000,h,0,0 
13113.198700,1,81,121498,74935,0,7.630000,h,0,0 
13374.499900,1,81,121482,74943,0,7.630000,h,0,0 
13640.787600,1,81,121498,74951,0,7.630000,h,0,0 
13902.680700,1,81,121521,74951,0,7.630000,h,0,0 
14165.399800,1,81,121505,74951,0,7.630000,h,0,0 
14427.698800,1,81,121482,74943,0,7.630000,h,0,0 
14689.719800,1,81,121475,74943,0,7.630000,h,0,0 
14952.523800,1,81,121490,74935,0,7.630000,h,0,0 
15213.825000,1,81,121467,74928,0,7.630000,h,0,0 
15476.123100,1,81,121482,74943,0,7.630000,h,0,0 
15741.920100,1,81,121475,74951,0,7.630000,h,0,0 
16004.774800,1,81,121490,74958,0,7.630000,h,0,0 
16267.074700,1,81,121467,74920,0,7.630000,h,0,0 
16528.064300,1,81,121452,74935,0,7.630000,h,0,0 
16791.362500,1,81,121475,74943,0,7.630000,h,0,0 
17052.662600,1,81,121521,74943,0,7.630000,h,0,0 
17314.960400,1,81,121505,74935,0,7.630000,h,0,0 
17577.257600,1,81,121498,74951,0,7.630000,h,0,0 
17842.592600,1,81,121513,74951,0,7.630000,h,0,0 
18105.549000,1,81,121505,74943,0,7.630000,h,0,0 
18367.369100,1,81,121513,74951,0,7.630000,h,0,0 
18629.657000,1,81,121505,74943,0,7.630000,h,0,0 
18891.958200,1,81,121498,74951,0,7.630000,h,0,0 
19154.131200,1,81,121482,74943,0,7.630000,h,0,0 
19416.429000,1,81,121505,74966,0,7.630000,h,0,0 
19679.950700,1,81,121521,74958,0,7.630000,h,0,0 
19943.547000,1,81,121498,74966,0,7.630000,h,0,0 
20205.873800,1,81,121551,74966,0,7.630000,h,0,0 
20469.141000,1,81,121513,74966,0,7.630000,h,0,0 
21254.578700,1,81,121521,74966,0,7.630000,h,0,0 
21516.774200,1,81,121505,74974,0,7.630000,h,0,0 
21779.071300,1,81,121543,74974,0,7.630000,h,0,0 
22045.359000,1,81,121505,74966,0,7.630000,h,0,0 
22307.657700,1,81,121490,74966,0,7.630000,h,0,0 
22570.190400,1,81,121482,74974,0,7.630000,h,0,0 
23094.422200,1,81,121490,74951,0,7.630000,h,0,0 
23355.872800,1,81,121475,74943,0,7.630000,h,0,0 
23618.172000,1,81,121467,74951,0,7.630000,h,0,0 
23880.469700,1,81,121498,74966,0,7.630000,h,0,0 
24142.808300,1,81,121467,74951,0,7.630000,h,0,0 
24408.613300,1,81,121490,74958,0,7.630000,h,0,0 
25457.045800,1,81,121475,74943,0,7.630000,h,0,0 
25719.373100,1,81,121452,74951,0,7.630000,h,0,0 
25981.643400,1,81,121475,74935,0,7.630000,h,0,0 
26244.450100,1,81,121459,74951,0,7.630000,h,0,0 
26509.344400,1,81,121490,74943,0,7.630000,h,0,0 
26771.682000,1,81,121505,74951,0,7.630000,h,0,0 
27033.942400,1,81,121559,74951,0,7.630000,h,0,0 
27297.239300,1,81,121490,74935,0,7.630000,h,0,0 
27558.538400,1,81,121475,74943,0,7.630000,h,0,0 
27820.837600,1,81,121498,74943,0,7.630000,h,0,0 
28082.978000,1,81,121482,74958,0,7.630000,h,0,0 
28344.797100,1,81,121513,74966,0,7.630000,h,0,0 
28873.379100,1,81,121498,74943,0,7.630000,h,0,0 
29135.676700,1,81,121467,74958,0,7.630000,h,0,0 
29397.483100,1,81,121482,74951,0,7.630000,h,0,0 
29659.316500,1,81,121490,74943,0,7.630000,h,0,0 
29921.623500,1,81,121513,74966,0,7.630000,h,0,0 
30183.965200,1,81,121498,74966,0,7.630000,h,0,0 
30445.771600,1,81,121559,74974,0,7.630000,h,0,0 
30712.059500,1,81,121482,74958,0,7.630000,h,0,0 
31236.681900,1,81,121513,74951,0,7.630000,h,0,0 
31498.902300,1,81,121505,74966,0,7.630000,h,0,0 
31760.413800,1,81,121498,74958,0,7.630000,h,0,0 
32023.672200,1,81,121459,74958,0,7.630000,h,0,0 
32284.796600,1,81,121475,74943,0,7.630000,h,0,0 
32547.115000,1,81,121498,74958,0,7.630000,h,0,0 
32812.386900,1,81,121505,74958,0,7.630000,h,0,0 
33074.684600,1,81,121482,74974,0,7.630000,h,0,0 
33337.982900,1,81,121505,74974,0,7.630000,h,0,0 
33599.872600,1,81,121521,74966,0,7.630000,h,0,0 
34124.484500,1,81,121505,74958,0,7.630000,h,0,0 
34385.812100,1,81,121513,74943,0,7.630000,h,0,0 
34648.642300,1,81,121482,74958,0,7.630000,h,0,0 
34913.673300,1,81,121475,74958,0,7.630000,h,0,0 
35176.487400,1,81,121482,74966,0,7.630000,h,0,0 
35438.775300,1,81,121498,74958,0,7.630000,h,0,0 
35701.073600,1,81,121482,74935,0,7.630000,h,0,0 
35963.373300,1,81,121467,74935,0,7.630000,h,0,0 
36225.670300,1,81,121475,74928,0,7.630000,h,0,0 
36487.542900,1,81,121444,74943,0,7.630000,h,0,0 
36749.841400,1,81,121490,74943,0,7.630000,h,0,0 
37015.134000,1,81,121475,74943,0,7.630000,h,0,0 
37277.431000,1,81,121498,74943,0,7.630000,h,0,0 
37539.729400,1,81,121521,74951,0,7.630000,h,0,0 
37802.033700,1,81,121566,74974,0,7.630000,h,0,0 
38064.331400,1,81,121521,74958,0,7.630000,h,0,0 
38325.637400,1,81,121475,74943,0,7.630000,h,0,0 
38587.936300,1,81,121490,74951,0,7.630000,h,0,0 
38850.234300,1,81,121475,74943,0,7.630000,h,0,0 
39378.437900,1,81,121498,74943,0,7.630000,h,0,0 
39640.261600,1,81,121513,74951,0,7.630000,h,0,0 
39903.124500,1,81,121444,74935,0,7.630000,h,0,0 
40165.425000,1,81,121490,74943,0,7.630000,h,0,0 
40426.724800,1,81,121475,74958,0,7.630000,h,0,0 
40689.583900,1,81,121498,74958,0,7.630000,h,0,0 
40951.303100,1,81,121513,74958,0,7.630000,h,0,0 
