Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,79,75653,75508,0,7.630000,h,0,0 
243.566400,1,79,75683,75515,0,7.630000,h,0,0 
506.717400,1,79,75737,75508,0,7.630000,h,0,0 
768.032800,1,79,75691,75515,0,7.630000,h,0,0 
1558.701100,1,80,75706,75515,0,7.630000,h,0,0 
1820.987900,1,80,75683,75508,0,7.630000,h,0,0 
2083.001900,1,80,75721,75508,0,7.630000,h,0,0 
2345.402900,1,80,75660,75500,0,7.630000,h,0,0 
2607.417300,1,80,75683,75500,0,7.630000,h,0,0 
2869.602000,1,80,75660,75492,0,7.630000,h,0,0 
3131.185600,1,80,75683,75508,0,7.630000,h,0,0 
3396.862500,1,80,75691,75515,0,7.630000,h,0,0 
3659.280600,1,80,75668,75523,0,7.630000,h,0,0 
3921.694000,1,80,75706,75508,0,7.630000,h,0,0 
4445.886100,1,80,75683,75492,0,7.630000,h,0,0 
4708.669700,1,80,75675,75500,0,7.630000,h,0,0 
4970.356000,1,80,75645,75508,0,7.630000,h,0,0 
5227.223900,1,80,75668,75500,0,7.630000,h,0,0 
5498.830600,1,80,75683,75485,0,7.630000,h,0,0 
6022.323000,1,80,75668,75492,0,7.630000,h,0,0 
6283.958900,1,80,75698,75500,0,7.630000,h,0,0 
6547.567100,1,80,75675,75492,0,7.630000,h,0,0 
7071.993400,1,80,75660,75515,0,7.630000,h,0,0 
7333.671200,1,80,75675,75508,0,7.630000,h,0,0 
7860.363300,1,80,75706,75531,0,7.630000,h,0,0 
8121.315700,1,80,75691,75500,0,7.630000,h,0,0 
8386.819000,1,80,75675,75508,0,7.630000,h,0,0 
8648.495400,1,80,75691,75492,0,7.630000,h,0,0 
8910.339000,1,80,75683,75500,0,7.630000,h,0,0 
9172.609900,1,80,75637,75485,0,7.630000,h,0,0 
9434.602800,1,80,75668,75500,0,7.630000,h,0,0 
9698.986500,1,80,75691,75500,0,7.630000,h,0,0 
9962.707000,1,80,75675,75500,0,7.630000,h,0,0 
10487.639200,1,80,75645,75508,0,7.630000,h,0,0 
10746.848700,1,80,75660,75523,0,7.630000,h,0,0 
11012.112100,1,80,75683,75515,0,7.630000,h,0,0 
11274.231500,1,80,75668,75492,0,7.630000,h,0,0 
11535.900700,1,80,75675,75485,0,7.630000,h,0,0 
11794.264000,1,80,75668,75500,0,7.630000,h,0,0 
12063.577400,1,80,75691,75508,0,7.630000,h,0,0 
12588.570700,1,80,75698,75500,0,7.630000,h,0,0 
12850.785200,1,80,75668,75508,0,7.630000,h,0,0 
13112.879000,1,80,75698,75515,0,7.630000,h,0,0 
13374.942700,1,80,75691,75515,0,7.630000,h,0,0 
13637.057900,1,80,75637,75500,0,7.630000,h,0,0 
13902.845200,1,80,75683,75500,0,7.630000,h,0,0 
14165.793700,1,80,75660,75492,0,7.630000,h,0,0 
14430.444100,1,80,75653,75485,0,7.630000,h,0,0 
14685.177800,1,80,75637,75485,0,7.630000,h,0,0 
14951.632000,1,80,75668,75477,0,7.630000,h,0,0 
15211.084600,1,80,75698,75477,0,7.630000,h,0,0 
15475.835000,1,80,75668,75485,0,7.630000,h,0,0 
15739.173400,1,80,75653,75492,0,7.630000,h,0,0 
16000.275400,1,80,75660,75477,0,7.630000,h,0,0 
16266.563800,1,80,75668,75477,0,7.630000,h,0,0 
16528.875900,1,80,75653,75492,0,7.630000,h,0,0 
16790.991900,1,80,75729,75508,0,7.630000,h,0,0 
17053.127400,1,80,75653,75469,0,7.630000,h,0,0 
17315.334200,1,80,75622,75462,0,7.630000,h,0,0 
17577.346000,1,80,75668,75469,0,7.630000,h,0,0 
17839.226200,1,80,75683,75485,0,7.630000,h,0,0 
18101.256000,1,80,75698,75492,0,7.630000,h,0,0 
18367.708400,1,80,75683,75492,0,7.630000,h,0,0 
18629.511200,1,80,75698,75492,0,7.630000,h,0,0 
18892.360500,1,80,75714,75492,0,7.630000,h,0,0 
19154.265400,1,80,75683,75500,0,7.630000,h,0,0 
19678.152000,1,80,75653,75477,0,7.630000,h,0,0 
19935.589500,1,80,75675,75485,0,7.630000,h,0,0 
20202.911700,1,80,75660,75485,0,7.630000,h,0,0 
20468.818400,1,80,75698,75485,0,7.630000,h,0,0 
20719.256100,1,80,75668,75485,0,7.630000,h,0,0 
20993.270000,1,80,75698,75492,0,7.630000,h,0,0 
21253.580600,1,80,75752,75469,0,7.630000,h,0,0 
21517.450700,1,80,75683,75485,0,7.630000,h,0,0 
22041.586400,1,80,75660,75469,0,7.630000,h,0,0 
22304.210800,1,80,75653,75477,0,7.630000,h,0,0 
22567.479100,1,80,75691,75477,0,7.630000,h,0,0 
22831.419800,1,80,75668,75469,0,7.630000,h,0,0 
23094.085500,1,80,75683,75477,0,7.630000,h,0,0 
23356.531800,1,80,75675,75485,0,7.630000,h,0,0 
23618.185600,1,80,75706,75485,0,7.630000,h,0,0 
23880.264400,1,80,75683,75485,0,7.630000,h,0,0 
24138.146000,1,80,75660,75485,0,7.630000,h,0,0 
24404.676600,1,80,75668,75485,0,7.630000,h,0,0 
24667.004600,1,80,75675,75485,0,7.630000,h,0,0 
24933.291600,1,80,75691,75508,0,7.630000,h,0,0 
25194.726000,1,80,75706,75508,0,7.630000,h,0,0 
25457.668500,1,80,75683,75500,0,7.630000,h,0,0 
26243.717700,1,80,75660,75485,0,7.630000,h,0,0 
26505.829700,1,80,75683,75477,0,7.630000,h,0,0 
27034.390800,1,80,75691,75477,0,7.630000,h,0,0 
27292.015400,1,80,75675,75485,0,7.630000,h,0,0 
27558.711000,1,80,75691,75485,0,7.630000,h,0,0 
27820.957200,1,80,75698,75492,0,7.630000,h,0,0 
28083.062400,1,80,75714,75500,0,7.630000,h,0,0 
28344.860400,1,80,75698,75485,0,7.630000,h,0,0 
28607.501300,1,80,75668,75477,0,7.630000,h,0,0 
28868.033200,1,80,75675,75492,0,7.630000,h,0,0 
29135.692900,1,80,75691,75485,0,7.630000,h,0,0 
29390.394400,1,80,75668,75469,0,7.630000,h,0,0 
30183.660300,1,80,75660,75500,0,7.630000,h,0,0 
30445.651600,1,80,75675,75485,0,7.630000,h,0,0 
30707.960700,1,80,75653,75485,0,7.630000,h,0,0 
30960.944400,1,80,75675,75477,0,7.630000,h,0,0 
31235.281200,1,80,75691,75500,0,7.630000,h,0,0 
31498.939900,1,80,75653,75492,0,7.630000,h,0,0 
31758.473800,1,80,75714,75508,0,7.630000,h,0,0 
32023.054300,1,80,75721,75485,0,7.630000,h,0,0 
32285.302000,1,80,75698,75492,0,7.630000,h,0,0 
32547.179600,1,80,75645,75500,0,7.630000,h,0,0 
32809.328100,1,80,75668,75492,0,7.630000,h,0,0 
33071.357900,1,80,75653,75477,0,7.630000,h,0,0 
33337.671900,1,80,75668,75485,0,7.630000,h,0,0 
33603.511700,1,80,75683,75500,0,7.630000,h,0,0 
33862.147600,1,80,75698,75485,0,7.630000,h,0,0 
34124.131400,1,80,75675,75500,0,7.630000,h,0,0 
34386.375800,1,80,75683,75492,0,7.630000,h,0,0 
