Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.000000,1,80,121751,74942,0,0.950000,h,0,0 
1968.735600,1,80,121734,74934,0,0.950000,h,0,0 
4065.129300,1,80,121736,74938,0,0.950000,h,0,0 
6167.506500,1,80,121737,74939,0,0.950000,h,0,0 
8262.902000,1,81,121723,74928,0,0.950000,h,0,0 
10365.027900,1,81,121718,74918,0,0.950000,h,0,0 
12461.420700,1,81,121713,74932,0,0.950000,h,0,0 
14563.799600,1,81,121719,74932,0,0.950000,h,0,0 
16663.185300,1,81,121698,74930,0,0.950000,h,0,0 
18760.579000,1,81,121683,74911,0,0.950000,h,0,0 
20860.959600,1,81,121693,74915,0,0.950000,h,0,0 
22959.358900,1,81,121711,74929,0,0.950000,h,0,0 
25059.734800,1,81,121682,74925,0,0.950000,h,0,0 
27160.147900,1,81,121697,74930,0,0.950000,h,0,0 
29257.506100,1,81,121705,74923,0,0.950000,h,0,0 
31357.889200,1,81,121702,74929,0,0.950000,h,0,0 
33455.914900,1,81,121701,74908,0,0.950000,h,0,0 
35556.298000,1,81,121704,74917,0,0.950000,h,0,0 
39754.073300,1,81,121702,74919,0,0.950000,h,0,0 
41854.456700,1,81,121736,74946,0,0.950000,h,0,0 
43952.850300,1,81,121699,74925,0,0.950000,h,0,0 
46051.241300,1,81,121689,74916,0,0.950000,h,0,0 
48151.846100,1,81,121685,74932,0,0.950000,h,0,0 
50248.238900,1,81,121677,74931,0,0.950000,h,0,0 
52351.617300,1,81,121689,74922,0,0.950000,h,0,0 
54446.013900,1,81,121682,74929,0,0.950000,h,0,0 
56547.394400,1,81,121683,74928,0,0.950000,h,0,0 
58648.774600,1,81,121653,74906,0,0.950000,h,0,0 
60746.167300,1,81,121657,74923,0,0.950000,h,0,0 
62847.548500,1,81,121683,74932,0,0.950000,h,0,0 
64943.941400,1,81,121670,74925,0,0.950000,h,0,0 
67046.320800,1,81,121676,74927,0,0.950000,h,0,0 
69141.714800,1,81,121636,74916,0,0.950000,h,0,0 
71243.100400,1,81,121687,74910,0,0.950000,h,0,0 
73343.480600,1,81,121654,74917,0,0.950000,h,0,0 
75440.870500,1,81,121665,74922,0,0.950000,h,0,0 
79640.639600,1,81,121644,74911,0,0.950000,h,0,0 
81740.025300,1,81,121645,74923,0,0.950000,h,0,0 
83838.414300,1,81,121657,74917,0,0.950000,h,0,0 
85938.797500,1,81,121625,74914,0,0.950000,h,0,0 
88036.188100,1,81,121651,74913,0,0.950000,h,0,0 
90137.568900,1,81,121628,74911,0,0.950000,h,0,0 
92236.984900,1,81,121632,74923,0,0.950000,h,0,0 
94335.344500,1,81,121643,74926,0,0.950000,h,0,0 
96435.726800,1,81,121648,74926,0,0.950000,h,0,0 
98534.127800,1,81,121664,74917,0,0.950000,h,0,0 
100630.509300,1,81,121663,74933,0,0.950000,h,0,0 
102731.892100,1,81,121689,74941,0,0.950000,h,0,0 
104832.281900,1,81,121672,74925,0,0.950000,h,0,0 
106930.662500,1,81,121689,74934,0,0.950000,h,0,0 
109030.049300,1,81,121669,74938,0,0.950000,h,0,0 
111129.436000,1,81,121667,74916,0,0.950000,h,0,0 
113229.000500,1,81,121653,74932,0,0.950000,h,0,0 
115329.424200,1,81,121665,74914,0,0.950000,h,0,0 
117427.773200,1,81,121691,74923,0,0.950000,h,0,0 
119527.368500,1,81,121666,74908,0,0.950000,h,0,0 
121625.765600,1,81,121671,74894,0,0.950000,h,0,0 
123726.138100,1,81,121640,74915,0,0.950000,h,0,0 
125823.528200,1,81,121635,74893,0,0.950000,h,0,0 
127923.911300,1,81,121665,74926,0,0.950000,h,0,0 
130022.299700,1,81,121642,74914,0,0.950000,h,0,0 
132123.681800,1,81,121643,74928,0,0.950000,h,0,0 
134220.344000,1,81,121610,74904,0,0.950000,h,0,0 
136321.717700,1,81,121613,74914,0,0.950000,h,0,0 
138421.102800,1,81,121644,74915,0,0.950000,h,0,0 
140518.494900,1,81,121621,74935,0,0.950000,h,0,0 
144717.266600,1,81,121628,74913,0,0.950000,h,0,0 
146818.299400,1,81,121627,74918,0,0.950000,h,0,0 
148915.691900,1,81,121645,74930,0,0.950000,h,0,0 
151018.070300,1,81,121640,74915,0,0.950000,h,0,0 
153113.470500,1,81,121634,74924,0,0.950000,h,0,0 
155214.846200,1,81,121637,74921,0,0.950000,h,0,0 
157318.224600,1,81,121630,74923,0,0.950000,h,0,0 
159413.619700,1,81,121620,74913,0,0.950000,h,0,0 
161509.016000,1,81,121652,74940,0,0.950000,h,0,0 
163611.393600,1,81,121637,74939,0,0.950000,h,0,0 
165710.778600,1,81,121630,74932,0,0.950000,h,0,0 
167810.175300,1,81,121624,74929,0,0.950000,h,0,0 
169910.547700,1,81,121603,74918,0,0.950000,h,0,0 
172008.937600,1,81,121635,74935,0,0.950000,h,0,0 
174109.321800,1,81,121611,74921,0,0.950000,h,0,0 
176205.001000,1,81,121607,74913,0,0.950000,h,0,0 
178305.848300,1,81,121631,74925,0,0.950000,h,0,0 
180407.230400,1,81,121603,74925,0,0.950000,h,0,0 
182505.617900,1,81,121617,74910,0,0.950000,h,0,0 
184605.004900,1,81,121600,74904,0,0.950000,h,0,0 
188802.779000,1,81,121580,74893,0,0.950000,h,0,0 
190901.166400,1,81,121618,74885,0,0.950000,h,0,0 
193002.547800,1,81,121607,74883,0,0.950000,h,0,0 
