Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
1.020000,2,83,132888,140396,0,7.630000,h,0,0 
228.838300,2,83,132904,140396,0,7.630000,h,0,0 
478.399400,2,83,132858,140396,0,7.630000,h,0,0 
751.083800,2,83,132904,140426,0,7.630000,h,0,0 
1016.184600,2,83,132965,140396,0,7.630000,h,0,0 
1281.509500,2,83,132919,140411,0,7.630000,h,0,0 
1537.652600,2,83,132873,140380,0,7.630000,h,0,0 
1801.681600,2,83,132858,140380,0,7.630000,h,0,0 
2067.160000,2,84,132873,140350,0,7.630000,h,0,0 
2323.589300,2,84,132904,140411,0,7.630000,h,0,0 
2586.580700,2,84,132919,140396,0,7.630000,h,0,0 
2858.826200,2,84,132965,140396,0,7.630000,h,0,0 
3121.172300,2,84,132934,140396,0,7.630000,h,0,0 
3907.222800,2,84,132949,140380,0,7.630000,h,0,0 
4168.732000,2,84,132919,140396,0,7.630000,h,0,0 
4431.782200,2,84,132934,140365,0,7.630000,h,0,0 
