Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.997200,2,82,169868,170989,0,7.630000,l,0,0 
228.541900,2,82,169929,170982,0,7.630000,l,0,0 
490.840200,2,82,169845,170989,0,7.630000,l,0,0 
1019.381700,2,82,169853,170989,0,7.630000,l,0,0 
1281.517800,2,82,169837,170989,0,7.630000,l,0,0 
1543.665000,2,82,169860,170982,0,7.630000,l,0,0 
2329.859100,2,82,169898,170982,0,7.630000,l,0,0 
2591.861300,2,82,169837,170982,0,7.630000,l,0,0 
2854.351000,2,82,169845,170982,0,7.630000,l,0,0 
3120.419900,2,82,169830,170982,0,7.630000,l,0,0 
3382.802000,2,82,169853,170989,0,7.630000,l,0,0 
3645.217200,2,82,169830,170982,0,7.630000,l,0,0 
3907.145200,2,82,169853,170989,0,7.630000,l,0,0 
4168.465700,2,82,169830,170982,0,7.630000,l,0,0 
4431.183500,2,82,169860,170989,0,7.630000,l,0,0 
4693.624300,2,82,169853,170982,0,7.630000,l,0,0 
4955.631900,2,82,169921,170982,0,7.630000,l,0,0 
5221.523300,2,82,169807,170989,0,7.630000,l,0,0 
5483.755700,2,82,169792,170982,0,7.630000,l,0,0 
5745.959200,2,82,169807,170982,0,7.630000,l,0,0 
6008.318200,2,82,169822,170982,0,7.630000,l,0,0 
6270.201300,2,82,169815,170982,0,7.630000,l,0,0 
6532.036100,2,82,169822,170982,0,7.630000,l,0,0 
6794.339300,2,82,169853,170982,0,7.630000,l,0,0 
7056.934200,2,82,169830,170982,0,7.630000,l,0,0 
7320.099500,2,82,169853,170982,0,7.630000,l,0,0 
7584.721000,2,82,169815,170982,0,7.630000,l,0,0 
7847.155300,2,82,169822,170982,0,7.630000,l,0,0 
