Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
2.975300,2,84,87478,69808,0,7.630000,h,0,0 
232.362900,2,84,87493,69816,0,7.630000,h,0,0 
494.765100,2,84,87501,69824,0,7.630000,h,0,0 
754.716700,2,84,87486,69854,0,7.630000,h,0,0 
1017.987200,2,84,87478,69839,0,7.630000,h,0,0 
1274.777600,2,84,87493,69831,0,7.630000,h,0,0 
1536.298700,2,84,87448,69847,0,7.630000,h,0,0 
1809.241000,2,84,87486,69847,0,7.630000,h,0,0 
2061.625700,2,84,87471,69831,0,7.630000,h,0,0 
2330.603700,2,84,87478,69816,0,7.630000,h,0,0 
2595.529200,2,84,87486,69839,0,7.630000,h,0,0 
2857.694700,2,84,87448,69831,0,7.630000,h,0,0 
3116.926600,2,84,87455,69847,0,7.630000,h,0,0 
3385.059500,2,84,87478,69854,0,7.630000,h,0,0 
3648.076900,2,84,87471,69847,0,7.630000,h,0,0 
3910.393700,2,84,87448,69839,0,7.630000,h,0,0 
4171.912900,2,84,87493,69839,0,7.630000,h,0,0 
4434.270600,2,84,87471,69831,0,7.630000,h,0,0 
4694.580900,2,84,87463,69831,0,7.630000,h,0,0 
5224.888600,2,84,87486,69824,0,7.630000,h,0,0 
5484.210700,2,84,87455,69831,0,7.630000,h,0,0 
5748.968900,2,84,87478,69831,0,7.630000,h,0,0 
6011.267800,2,84,87463,69824,0,7.630000,h,0,0 
6534.870800,2,84,87455,69847,0,7.630000,h,0,0 
6791.635300,2,84,87463,69816,0,7.630000,h,0,0 
7057.639100,2,84,87409,69816,0,7.630000,h,0,0 
7323.789200,2,84,87440,69831,0,7.630000,h,0,0 
7585.383900,2,84,87455,69824,0,7.630000,h,0,0 
8104.467200,2,84,87478,69808,0,7.630000,h,0,0 
8368.477700,2,84,87402,69808,0,7.630000,h,0,0 
8626.240800,2,84,87440,69824,0,7.630000,h,0,0 
8895.910900,2,84,87448,69824,0,7.630000,h,0,0 
9420.329800,2,84,87440,69816,0,7.630000,h,0,0 
9951.213500,2,85,87448,69824,0,7.630000,h,0,0 
10213.517300,2,85,87463,69854,0,7.630000,h,0,0 
10475.814800,2,85,87455,69839,0,7.630000,h,0,0 
10738.112200,2,85,87448,69847,0,7.630000,h,0,0 
10999.595700,2,85,87478,69831,0,7.630000,h,0,0 
11261.895000,2,85,87432,69831,0,7.630000,h,0,0 
11527.199100,2,85,87425,69808,0,7.630000,h,0,0 
12052.396000,2,85,87417,69801,0,7.630000,h,0,0 
12314.731600,2,85,87425,69801,0,7.630000,h,0,0 
12576.407500,2,85,87409,69816,0,7.630000,h,0,0 
12838.705100,2,85,87440,69808,0,7.630000,h,0,0 
13101.344200,2,85,87501,69801,0,7.630000,h,0,0 
13362.887000,2,85,87463,69808,0,7.630000,h,0,0 
13629.174400,2,85,87425,69801,0,7.630000,h,0,0 
13891.479700,2,85,87432,69808,0,7.630000,h,0,0 
14153.452800,2,85,87440,69816,0,7.630000,h,0,0 
14940.331500,2,85,87417,69793,0,7.630000,h,0,0 
15464.336100,2,85,87432,69801,0,7.630000,h,0,0 
15729.769500,2,85,87402,69786,0,7.630000,h,0,0 
15992.182000,2,85,87409,69793,0,7.630000,h,0,0 
16254.290000,2,85,87417,69793,0,7.630000,h,0,0 
16516.948000,2,85,87409,69801,0,7.630000,h,0,0 
17302.757000,2,85,87455,69786,0,7.630000,h,0,0 
17566.053100,2,85,87432,69778,0,7.630000,h,0,0 
18093.554200,2,85,87402,69816,0,7.630000,h,0,0 
18355.731700,2,85,87432,69824,0,7.630000,h,0,0 
18879.952100,2,85,87417,69816,0,7.630000,h,0,0 
19142.250300,2,85,87425,69816,0,7.630000,h,0,0 
19404.549100,2,85,87448,69801,0,7.630000,h,0,0 
19666.794600,2,85,87440,69824,0,7.630000,h,0,0 
19932.083000,2,85,87402,69808,0,7.630000,h,0,0 
20194.114300,2,85,87463,69808,0,7.630000,h,0,0 
20457.017600,2,85,87417,69824,0,7.630000,h,0,0 
20719.313000,2,85,87432,69808,0,7.630000,h,0,0 
20981.612000,2,85,87417,69801,0,7.630000,h,0,0 
22033.367200,2,85,87387,69786,0,7.630000,h,0,0 
22295.663800,2,85,87409,69786,0,7.630000,h,0,0 
22557.959500,2,85,87394,69778,0,7.630000,h,0,0 
23082.810500,2,85,87409,69786,0,7.630000,h,0,0 
23344.112700,2,85,87425,69786,0,7.630000,h,0,0 
23607.061900,2,85,87440,69793,0,7.630000,h,0,0 
23868.761800,2,85,87409,69793,0,7.630000,h,0,0 
24131.064600,2,85,87425,69801,0,7.630000,h,0,0 
24396.801200,2,85,87409,69786,0,7.630000,h,0,0 
24659.101800,2,85,87440,69801,0,7.630000,h,0,0 
24921.926000,2,85,87409,69808,0,7.630000,h,0,0 
25445.497300,2,85,87402,69793,0,7.630000,h,0,0 
25707.905000,2,85,87417,69786,0,7.630000,h,0,0 
25969.205600,2,85,87432,69786,0,7.630000,h,0,0 
26231.504500,2,85,87417,69793,0,7.630000,h,0,0 
26497.513600,2,85,87409,69778,0,7.630000,h,0,0 
26759.815000,2,85,87425,69786,0,7.630000,h,0,0 
27022.161600,2,85,87402,69770,0,7.630000,h,0,0 
27284.462900,2,85,87417,69808,0,7.630000,h,0,0 
27546.475800,2,85,87432,69816,0,7.630000,h,0,0 
27809.173500,2,85,87402,69816,0,7.630000,h,0,0 
