Time (ms),Sensor,Temperature (° C),Sensor Frequency (Hz),Reference Frequency (Hz),Recharge Register,Window Factor,Sensitivity,Passive,Standby
0.995600,2,85,171157,168785,0,7.630000,l,0,0 
230.935200,2,85,171218,168777,0,7.630000,l,0,0 
493.595600,2,85,171234,168785,0,7.630000,l,0,0 
755.822900,2,85,171150,168785,0,7.630000,l,0,0 
1017.976600,2,85,171134,168785,0,7.630000,l,0,0 
1280.238500,2,85,171157,168792,0,7.630000,l,0,0 
1541.576500,2,85,171203,168785,0,7.630000,l,0,0 
1804.627100,2,85,171165,168785,0,7.630000,l,0,0 
2069.637500,2,85,171150,168785,0,7.630000,l,0,0 
2332.608000,2,85,171249,168785,0,7.630000,l,0,0 
2594.764300,2,85,171119,168792,0,7.630000,l,0,0 
2856.972600,2,85,171165,168792,0,7.630000,l,0,0 
3381.113500,2,85,171157,168800,0,7.630000,l,0,0 
3643.918600,2,85,171180,168807,0,7.630000,l,0,0 
4167.669500,2,85,171157,168807,0,7.630000,l,0,0 
4433.138700,2,85,171173,168800,0,7.630000,l,0,0 
4957.801100,2,85,171127,168800,0,7.630000,l,0,0 
5220.285700,2,85,171173,168800,0,7.630000,l,0,0 
5482.485000,2,85,171150,168792,0,7.630000,l,0,0 
6005.998600,2,85,171142,168800,0,7.630000,l,0,0 
6269.616600,2,85,171157,168807,0,7.630000,l,0,0 
6534.481100,2,85,171173,168800,0,7.630000,l,0,0 
6797.032200,2,85,171150,168807,0,7.630000,l,0,0 
7058.645900,2,85,171142,168800,0,7.630000,l,0,0 
7583.276700,2,85,171150,168807,0,7.630000,l,0,0 
8107.802300,2,85,171157,168800,0,7.630000,l,0,0 
8369.682300,2,85,171188,168807,0,7.630000,l,0,0 
8635.672900,2,85,171173,168807,0,7.630000,l,0,0 
8907.672000,2,85,171165,168807,0,7.630000,l,0,0 
9160.073400,2,85,171180,168807,0,7.630000,l,0,0 
9422.210900,2,85,171134,168807,0,7.630000,l,0,0 
9684.174000,2,85,171165,168815,0,7.630000,l,0,0 
9946.355300,2,85,171188,168807,0,7.630000,l,0,0 
10223.215400,2,85,171134,168807,0,7.630000,l,0,0 
10471.109600,2,85,171180,168815,0,7.630000,l,0,0 
10736.025600,2,85,171150,168815,0,7.630000,l,0,0 
10998.989200,2,85,171157,168807,0,7.630000,l,0,0 
11261.577700,2,85,171188,168815,0,7.630000,l,0,0 
11786.259800,2,85,171180,168815,0,7.630000,l,0,0 
12048.071200,2,85,171157,168815,0,7.630000,l,0,0 
12310.126100,2,85,171165,168807,0,7.630000,l,0,0 
12571.877000,2,85,171188,168815,0,7.630000,l,0,0 
13099.551800,2,85,171180,168800,0,7.630000,l,0,0 
13362.303100,2,85,171165,168815,0,7.630000,l,0,0 
13624.603500,2,85,171157,168807,0,7.630000,l,0,0 
13886.391200,2,85,171165,168815,0,7.630000,l,0,0 
14169.652600,2,85,171180,168807,0,7.630000,l,0,0 
14411.005500,2,85,171188,168815,0,7.630000,l,0,0 
14938.690800,2,85,171180,168807,0,7.630000,l,0,0 
15200.990400,2,85,171142,168815,0,7.630000,l,0,0 
15463.212600,2,85,171157,168807,0,7.630000,l,0,0 
15725.634700,2,85,171203,168815,0,7.630000,l,0,0 
15987.951400,2,85,171142,168815,0,7.630000,l,0,0 
16250.234300,2,85,171165,168807,0,7.630000,l,0,0 
16511.684600,2,85,171180,168807,0,7.630000,l,0,0 
16774.538600,2,85,171142,168807,0,7.630000,l,0,0 
17036.351600,2,85,171211,168807,0,7.630000,l,0,0 
17301.907000,2,85,171134,168807,0,7.630000,l,0,0 
17564.205400,2,85,171165,168807,0,7.630000,l,0,0 
17826.504900,2,85,171157,168807,0,7.630000,l,0,0 
18088.799400,2,85,171188,168823,0,7.630000,l,0,0 
18351.096000,2,85,171127,168815,0,7.630000,l,0,0 
18613.400900,2,85,171218,168823,0,7.630000,l,0,0 
18875.726300,2,85,171142,168823,0,7.630000,l,0,0 
19137.386200,2,85,171165,168815,0,7.630000,l,0,0 
19399.695700,2,85,171188,168815,0,7.630000,l,0,0 
19676.956300,2,85,171173,168815,0,7.630000,l,0,0 
20190.116100,2,85,171165,168823,0,7.630000,l,0,0 
20452.414300,2,85,171195,168823,0,7.630000,l,0,0 
20713.716200,2,85,171272,168823,0,7.630000,l,0,0 
20976.167500,2,85,171165,168815,0,7.630000,l,0,0 
21238.465400,2,85,171173,168823,0,7.630000,l,0,0 
21766.656700,2,85,171279,168823,0,7.630000,l,0,0 
22028.996400,2,85,171195,168823,0,7.630000,l,0,0 
22291.525800,2,85,171188,168815,0,7.630000,l,0,0 
22815.132200,2,85,171173,168823,0,7.630000,l,0,0 
23077.929700,2,85,171165,168823,0,7.630000,l,0,0 
23339.234800,2,85,171188,168815,0,7.630000,l,0,0 
23867.777400,2,85,171180,168823,0,7.630000,l,0,0 
24130.329700,2,85,171165,168823,0,7.630000,l,0,0 
24392.324900,2,85,171195,168823,0,7.630000,l,0,0 
24654.618300,2,85,171279,168830,0,7.630000,l,0,0 
24916.917800,2,85,171188,168838,0,7.630000,l,0,0 
25178.219300,2,85,171203,168823,0,7.630000,l,0,0 
25440.549300,2,85,171150,168830,0,7.630000,l,0,0 
25704.315300,2,85,171188,168830,0,7.630000,l,0,0 
25968.612100,2,85,171195,168830,0,7.630000,l,0,0 
26230.625000,2,85,171188,168823,0,7.630000,l,0,0 
26493.273200,2,85,171203,168830,0,7.630000,l,0,0 
26755.573200,2,85,171279,168823,0,7.630000,l,0,0 
27017.873300,2,85,171180,168823,0,7.630000,l,0,0 
27280.360800,2,85,171173,168823,0,7.630000,l,0,0 
27541.689800,2,85,171180,168823,0,7.630000,l,0,0 
27804.131400,2,85,171173,168815,0,7.630000,l,0,0 
28069.422800,2,85,171165,168823,0,7.630000,l,0,0 
28331.722100,2,85,171195,168823,0,7.630000,l,0,0 
28856.840800,2,85,171157,168815,0,7.630000,l,0,0 
29118.702700,2,85,171188,168823,0,7.630000,l,0,0 
29381.017200,2,85,171195,168830,0,7.630000,l,0,0 
29642.821000,2,85,171211,168830,0,7.630000,l,0,0 
30170.413000,2,85,171279,168838,0,7.630000,l,0,0 
30432.852400,2,85,171180,168830,0,7.630000,l,0,0 
31743.809100,2,85,171173,168830,0,7.630000,l,0,0 
32006.701600,2,85,171180,168830,0,7.630000,l,0,0 
32268.001600,2,85,171203,168838,0,7.630000,l,0,0 
32533.881100,2,85,171188,168838,0,7.630000,l,0,0 
32796.605700,2,85,171180,168830,0,7.630000,l,0,0 
33058.906400,2,85,171195,168838,0,7.630000,l,0,0 
33321.264000,2,85,171211,168830,0,7.630000,l,0,0 
33583.597800,2,85,171279,168830,0,7.630000,l,0,0 
33844.898700,2,85,171195,168830,0,7.630000,l,0,0 
34107.706200,2,85,171211,168838,0,7.630000,l,0,0 
34370.003300,2,85,171218,168830,0,7.630000,l,0,0 
34897.238000,2,85,171310,168838,0,7.630000,l,0,0 
35160.051700,2,85,171203,168830,0,7.630000,l,0,0 
35422.224600,2,85,171188,168830,0,7.630000,l,0,0 
35684.487800,2,85,171203,168830,0,7.630000,l,0,0 
35964.746600,2,85,171249,168830,0,7.630000,l,0,0 
36208.086200,2,85,171188,168838,0,7.630000,l,0,0 
36471.069800,2,85,171218,168838,0,7.630000,l,0,0 
36998.834900,2,85,171188,168846,0,7.630000,l,0,0 
37261.214400,2,85,171180,168838,0,7.630000,l,0,0 
37523.587500,2,85,171195,168838,0,7.630000,l,0,0 
37784.955200,2,85,171218,168846,0,7.630000,l,0,0 
38309.521200,2,85,171257,168838,0,7.630000,l,0,0 
38572.061400,2,85,171195,168846,0,7.630000,l,0,0 
38837.374200,2,85,171188,168838,0,7.630000,l,0,0 
39099.653600,2,85,171218,168838,0,7.630000,l,0,0 
39362.648900,2,85,171295,168838,0,7.630000,l,0,0 
39623.939400,2,85,171218,168846,0,7.630000,l,0,0 
40150.031600,2,85,171211,168838,0,7.630000,l,0,0 
40410.327000,2,85,171150,168838,0,7.630000,l,0,0 
40672.625200,2,85,171180,168838,0,7.630000,l,0,0 
40938.922000,2,85,171195,168838,0,7.630000,l,0,0 
41201.202500,2,85,171218,168838,0,7.630000,l,0,0 
41463.428700,2,85,171180,168838,0,7.630000,l,0,0 
41725.060300,2,85,171195,168838,0,7.630000,l,0,0 
41987.861500,2,85,171218,168838,0,7.630000,l,0,0 
42250.160500,2,85,171203,168838,0,7.630000,l,0,0 
42511.461600,2,85,171180,168838,0,7.630000,l,0,0 
42773.961800,2,85,171188,168838,0,7.630000,l,0,0 
43036.258900,2,85,171310,168838,0,7.630000,l,0,0 
43302.421300,2,85,171195,168838,0,7.630000,l,0,0 
43563.909500,2,85,171211,168846,0,7.630000,l,0,0 
