,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
0,15,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
1,24,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
2,33,Vs1(uV),420,Vb1(mV),4984,4200.0,20.9328,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
3,42,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
4,51,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
5,60,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
6,69,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
7,78,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
8,87,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
9,96,Vs1(uV),400,Vb1(mV),4984,4000.0,19.936,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
10,105,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
11,114,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
12,123,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
13,131,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
14,140,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
15,149,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
16,158,Vs1(uV),390,Vb1(mV),4984,3900.0,19.4376,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
17,167,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
18,176,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
19,185,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
20,194,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),390,Vb2(mV),4992,3900.0,19.4688
21,203,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4984,4200.0,20.9328
22,212,Vs1(uV),390,Vb1(mV),4988,3900.0,19.4532,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
23,221,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
24,230,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),410,Vb2(mV),4988,4100.0,20.4508
25,238,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
26,247,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
27,256,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),420,Vb2(mV),4984,4200.0,20.9328
28,265,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),400,Vb2(mV),4988,4000.0,19.952
