,Time (ms),V_shunt_1,V_s1 (µV),V_bus_1,V_b1 (mV),I_s1 (µA),P_1 (mW),V_shunt_2,V_s2 (µV),V_bus_2,V_b2 (mV),I_s2 (µA),P_2 (mW)
0,16,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
1,25,Vs1(uV),410,Vb1(mV),4992,4100.0,20.4672,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
2,34,Vs1(uV),380,Vb1(mV),4988,3800.0,18.9544,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
3,43,Vs1(uV),380,Vb1(mV),4992,3800.0,18.9696,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
4,52,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
5,61,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
6,69,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
7,78,Vs1(uV),400,Vb1(mV),4992,4000.0,19.968,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
8,87,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
9,96,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
10,105,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
11,114,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4992,4400.0,21.9648
12,123,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),430,Vb2(mV),4988,4300.0,21.4484
13,132,Vs1(uV),360,Vb1(mV),4988,3600.0,17.9568,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
14,141,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
15,149,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),420,Vb2(mV),4988,4200.0,20.9496
16,159,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
17,167,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),430,Vb2(mV),4992,4300.0,21.4656
18,176,Vs1(uV),420,Vb1(mV),4988,4200.0,20.9496,Vs2(uV),460,Vb2(mV),4992,4600.0,22.9632
19,185,Vs1(uV),400,Vb1(mV),4988,4000.0,19.952,Vs2(uV),460,Vb2(mV),4992,4600.0,22.9632
20,194,Vs1(uV),400,Vb1(mV),4992,4000.0,19.968,Vs2(uV),420,Vb2(mV),4992,4200.0,20.9664
21,203,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
22,212,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
23,221,Vs1(uV),410,Vb1(mV),4988,4100.0,20.4508,Vs2(uV),410,Vb2(mV),4992,4100.0,20.4672
24,230,Vs1(uV),400,Vb1(mV),4992,4000.0,19.968,Vs2(uV),440,Vb2(mV),4988,4400.0,21.9472
25,239,Vs1(uV),370,Vb1(mV),4988,3700.0,18.4556,Vs2(uV),450,Vb2(mV),4992,4500.0,22.464
26,248,Vs1(uV),380,Vb1(mV),4992,3800.0,18.9696,Vs2(uV),450,Vb2(mV),4988,4500.0,22.446
